Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,7:00 PM ET,Fri,12/29/23 @ 7:00 PM ET,,Scheduled,NY,,False,ORL,,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/ORL.png,,,,,,,,,,3,-115,-105,-1,1,-110,-110,224.5,-110,-110,,,,,-119,-101,-1.5,1.5,-111,-110,227.5,-110,-110,,,,,-118,-102,-1.5,1.5,-110,-110,228,-110,-110,,,,,-120,102,-1.5,1.5,-110,-110,228,-110,-110,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,-120,-103,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,,,,,,,,,,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,228,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,227.5,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,227.5,-110,-110,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:00 PM ET,Fri,12/29/23 @ 7:00 PM ET,,Scheduled,BKN,,False,WAS,,False,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/WAS.png,,,,,,,,,,3,164,-198,5.5,-5.5,-110,-110,239,-110,-110,,,,,203,-250,6,-6,-110,-112,241.5,-110,-110,,,,,200,-245,6.5,-6.5,-112,-108,242,-108,-112,,,,,210,-255,6,-6,-106,-114,241,-110,-110,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,,,,,,,,,,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,205,-250,6,-6,-110,-110,241.5,-110,-110,,,,,200,-250,6,-6,-110,-110,242,-110,-110,,,,,200,-250,6.5,-6.5,-115,-105,241.5,-115,-105,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,SAC,,False,ATL,,False,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/ATL.png,,,,,,,,,,3,-120,100,-1.5,1.5,-110,-110,252.5,-110,-110,,,,,-115,-105,-1.5,1.5,-109,-112,250,-110,-110,,,,,-112,-108,-1,1,-105,-115,250.5,-110,-110,,,,,-104,-112,1,-1,-114,-108,251,-110,-110,,,,,-115,-104,-1.5,1.5,-109,-112,250,-110,-110,,,,,-117,-105,-1.5,1.5,-109,-112,250,-110,-110,,,,,,,,,,,,,,,,,,-115,-104,-1.5,1.5,-109,-112,250,-110,-110,,,,,-115,-105,-1,1,-110,-110,250.5,-110,-110,,,,,-115,-105,-1,1,-110,-110,249.5,-110,-110,,,,,-115,-105,-0.5,0.5,-115,-105,250.5,-110,-110,,,,,-115,-104,-1.5,1.5,-109,-112,250,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,TOR,,False,BOS,,False,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/BOS.png,,,,,,,,,,3,-1000,650,-12.5,12.5,-110,-110,223.5,-110,-110,,,,,-454,346,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-390,310,-9,9,-110,-110,224.5,-108,-112,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,-455,330,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-450,350,-9.5,9.5,-110,-110,222.5,-110,-110,,,,,,,,,,,,,,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,MIL,,False,CLE,,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/CLE.png,,,,,,,,,,3,175,-210,5,-5,-110,-110,239,-110,-110,,,,,182,-223,5,-5,-109,-112,239,-109,-112,,,,,205,-250,5.5,-5.5,-112,-108,239.5,-110,-110,,,,,200,-245,5.5,-5.5,-110,-110,238,-110,-110,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,170,-210,5,-5,-109,-112,239,-109,-112,,,,,,,,,,,,,,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,185,-225,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,185,-225,5,-5,-110,-110,239.5,-110,-110,,,,,190,-250,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,8:00 PM ET,Fri,12/29/23 @ 8:00 PM ET,,Scheduled,PHI,,False,HOU,,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/HOU.png,,,,,,,,,,3,-115,-105,-1,1,-110,-110,216,-110,-110,,,,,-103,-117,1,-1,-111,-111,218.5,-109,-112,,,,,102,-122,1,-1,-102,-118,220,-110,-110,,,,,100,-118,1.5,-1.5,-110,-110,220,-110,-110,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,-107,-114,1,-1,-112,-109,218.5,-109,-112,,,,,,,,,,,,,,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,105,-125,1,-1,-105,-115,220,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,219.5,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,219.5,-115,-105,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,9:00 PM ET,Fri,12/29/23 @ 9:00 PM ET,,Scheduled,OKC,,False,DEN,,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/DEN.png,,,,,,,,,,3,-162,136,-4,4,-110,-110,229.5,-110,-110,,,,,-162,134,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-162,136,-3.5,3.5,-110,-110,232,-110,-110,,,,,-158,134,-3.5,3.5,-110,-110,232,-110,-110,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-162,132,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,,,,,,,,,,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-165,140,-3.5,3.5,-110,-110,231.5,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,231,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,231.5,-115,-105,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,9:00 PM ET,Fri,12/29/23 @ 9:00 PM ET,,Scheduled,CHA,,False,PHO,,False,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/PHO.png,,,,,,,,,,3,-850,575,-13.5,13.5,-110,-110,233.5,-110,-110,,,,,-1389,762,-15.5,15.5,-110,-110,232.5,-112,-109,,,,,-1200,750,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1200,750,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,-1667,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,-1400,800,-15.5,15.5,-110,-110,232,-110,-110,,,,,-1399,800,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1400,800,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,10:00 PM ET,Fri,12/29/23 @ 10:00 PM ET,,Scheduled,SA,,False,POR,,False,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/POR.png,,,,,,,,,,3,-190,155,-5,5,-110,-110,232.5,-110,-118,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-255,210,-6,6,-112,-108,226,-110,-110,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-240,190,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,-190,155,-4.5,4.5,-115,-105,234.5,-105,-115,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,10:30 PM ET,Fri,12/29/23 @ 10:30 PM ET,,Scheduled,MEM,,False,LAC,,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/LAC.png,,,,,,,,,,3,-275,225,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,-286,229,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-290,235,-7,7,-110,-110,225.5,-112,-108,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,-286,225,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-260,210,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,,,,,,,,,,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,
