Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,7:30 PM ET,Mon,1/15/24 @ 7:30 PM ET,,Scheduled,BOS,,False,TOR,,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/TOR.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,160,-192,4.5,-4.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,TOR,,False,BOS,,False,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/BOS.png,,,,,,,,,,3,-1000,650,-12.5,12.5,-110,-110,223.5,-110,-110,,,,,-454,346,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-390,310,-9,9,-110,-110,224.5,-108,-112,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,-455,330,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-450,350,-9.5,9.5,-110,-110,222.5,-110,-110,,,,,,,,,,,,,,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,7:30 PM ET,Thu,12/28/23 @ 7:30 PM ET,,F/OT,DET,122,False,BOS,128,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4, OT","27, 20, 35, 26, 20","30, 36, 16, 26, 14",3,-1698,1000,-17.5,17.5,-110,-110,234,-110,-110,,,,,-1545,853,-17,17,-112,-110,233.5,-110,-112,,,,,-1350,800,-17,17,-112,-108,233,-108,-112,,,,,-1400,830,-17,17,-110,-110,233.5,-112,-108,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,,,,,,,,,,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,-1400,800,-17,17,-110,-110,234,-115,-105,,,,,-1499,800,-17,17,-110,-110,234.5,-110,-110,,,,,-1400,800,-17.5,17.5,-105,-115,233.5,-110,-110,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,5:00 PM ET,Mon,12/25/23 @ 5:00 PM ET,,Final,BOS,126,True,LAL,115,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/LAL.png,,,,,,,"Q1, Q2, Q3, Q4","23, 34, 33, 25","32, 26, 41, 27",3,103,-125,1.5,-1.5,-109,-113,239.5,-110,-114,,,,,161,-197,5,-5,-111,-110,235,-109,-112,,,,,160,-192,5,-5,-118,-102,234.5,-115,-105,,,,,166,-198,5,-5,-112,-108,235,-110,-110,,,,,163,-195,5,-5,-110,-110,235,-109,-112,,,,,163,-200,5,-5,-110,-110,235,-109,-112,,,,,,,,,,,,,,,,,,163,-195,5,-5,-110,-110,235,-109,-112,,,,,175,-210,5,-5,-105,-115,236,-110,-110,,,,,165,-200,5,-5,-110,-110,234.5,-110,-110,,,,,155,-190,4.5,-4.5,-105,-115,234.5,-115,-105,,,,,163,-195,5,-5,-110,-110,235,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,3:30 PM ET,Sat,12/23/23 @ 3:30 PM ET,,Final,BOS,145,True,LAC,108,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","21, 30, 30, 27","28, 40, 38, 39",3,-102,-116,1,-1,-110,-110,229.5,-110,-110,,,,,141,-172,4.5,-4.5,-112,-109,232,-110,-112,,,,,154,-185,4.5,-4.5,-110,-110,232,-110,-110,,,,,148,-176,4.5,-4.5,-110,-110,232,-110,-110,,,,,135,-162,4.5,-4.5,-113,-108,232,-109,-112,,,,,133,-165,4.5,-4.5,-113,-108,232,-109,-112,,,,,,,,,,,,,,,,,,135,-162,4.5,-4.5,-113,-108,232,-109,-112,,,,,118,-140,2.5,-2.5,-105,-115,231,-110,-110,,,,,150,-180,4.5,-4.5,-110,-110,232.5,-110,-110,,,,,155,-190,4.5,-4.5,-110,-110,231.5,-115,-105,,,,,135,-162,4.5,-4.5,-113,-108,232,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,10:00 PM ET,Wed,12/20/23 @ 10:00 PM ET,,Final,BOS,144,True,SAC,119,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","41, 25, 24, 29","38, 36, 39, 31",3,110,-130,2.5,-2.5,-110,-110,231.5,-110,-110,,,,,-163,136,-3.5,3.5,-112,-110,239,-109,-112,,,,,-170,142,-4,4,-110,-110,239,-110,-110,,,,,-166,140,-3.5,3.5,-108,-112,238.5,-110,-110,,,,,-159,135,-3.5,3.5,-112,-109,239,-109,-112,,,,,-162,133,-3.5,3.5,-112,-109,239,-109,-112,,,,,,,,,,,,,,,,,,-159,135,-3.5,3.5,-112,-109,239,-109,-112,,,,,-170,143,-3.5,3.5,-115,-105,238.5,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,238.5,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,238.5,-110,-110,,,,,-159,135,-3.5,3.5,-112,-109,239,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,10:00 PM ET,Tue,12/19/23 @ 10:00 PM ET,,F/OT,BOS,126,False,GS,132,True,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4, OT","30, 32, 24, 35, 11","40, 25, 32, 24, 5",3,200,-245,5.5,-5.5,-110,-110,231.5,-110,-110,,,,,162,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,170,-205,4.5,-4.5,-102,-118,233.5,-112,-108,,,,,172,-205,5,-5,-110,-110,233.5,-112,-108,,,,,163,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,160,-200,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,,,,,,,,,,,,,,163,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,162,-195,5,-5,-105,-115,233.5,-110,-110,,,,,165,-200,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,165,-200,4.5,-4.5,-105,-115,233.5,-110,-110,,,,,163,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,3:00 PM ET,Sun,12/17/23 @ 3:00 PM ET,,Final,ORL,97,False,BOS,114,True,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","27, 34, 22, 31","31, 19, 24, 23",3,-238,195,-6.5,6.5,-110,-110,227.5,-110,-110,,,,,-358,279,-8.5,8.5,-111,-110,227.5,-110,-110,,,,,-360,285,-8.5,8.5,-112,-108,227,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,227,-108,-112,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,,,,,,,,,,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,-385,300,-9,9,-110,-110,226.5,-105,-115,,,,,-350,260,-8.5,8.5,-110,-110,227,-110,-110,,,,,-400,310,-8.5,8.5,-110,-110,226.5,-110,-110,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:30 PM ET,Fri,12/15/23 @ 7:30 PM ET,,Final,ORL,111,False,BOS,128,True,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","30, 34, 37, 27","24, 27, 27, 33",3,-218,180,-6,6,-110,-110,222.5,-110,-110,,,,,-211,174,-5,5,-112,-109,225.5,-112,-110,,,,,-218,180,-6,6,-108,-112,226,-110,-110,,,,,-225,188,-5.5,5.5,-110,-110,226.5,-110,-110,,,,,-205,170,-5,5,-112,-109,225.5,-112,-109,,,,,-210,170,-5,5,-112,-109,225.5,-112,-109,,,,,,,,,,,,,,,,,,-205,170,-5,5,-112,-109,225.5,-112,-109,,,,,-240,196,-5.5,5.5,-110,-110,226,-110,-110,,,,,-200,165,-5.5,5.5,-110,-110,225.5,-110,-110,,,,,-225,185,-5.5,5.5,-115,-105,225.5,-110,-110,,,,,-205,170,-5,5,-112,-109,225.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,7:30 PM ET,Thu,12/14/23 @ 7:30 PM ET,,Final,CLE,107,False,BOS,116,True,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","33, 32, 25, 26","24, 30, 33, 20",3,-600,440,,,,,225,-110,-110,,,,,-390,303,-9,9,-107,-114,226.5,-110,-110,,,,,-380,300,-8.5,8.5,-112,-108,227.5,-112,-108,,,,,-360,290,-8.5,8.5,-110,-110,227,-110,-110,,,,,-400,310,-9,9,-107,-114,226.5,-110,-110,,,,,-400,300,-9,9,-107,-114,226.5,-110,-110,,,,,,,,,,,,,,,,,,-400,310,-9,9,-107,-114,226.5,-110,-110,,,,,-365,285,-8.5,8.5,-105,-115,227.5,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,227,-110,-110,,,,,-400,310,-8.5,8.5,-110,-110,226.5,-110,-110,,,,,-400,310,-9,9,-107,-114,226.5,-110,-110,,,,,,,,,,,,,,,,,
