Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,7:30 PM ET,Mon,1/15/24 @ 7:30 PM ET,,Scheduled,MIA,,False,BKN,,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/BKN.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,110,-130,2,-2,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:00 PM ET,Fri,12/29/23 @ 7:00 PM ET,,Scheduled,BKN,,False,WAS,,False,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/WAS.png,,,,,,,,,,3,164,-198,5.5,-5.5,-110,-110,239,-110,-110,,,,,203,-250,6,-6,-110,-112,241.5,-110,-110,,,,,200,-245,6.5,-6.5,-112,-108,242,-108,-112,,,,,210,-255,6,-6,-106,-114,241,-110,-110,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,,,,,,,,,,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,205,-250,6,-6,-110,-110,241.5,-110,-110,,,,,200,-250,6,-6,-110,-110,242,-110,-110,,,,,200,-250,6.5,-6.5,-115,-105,241.5,-115,-105,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,7:30 PM ET,Wed,12/27/23 @ 7:30 PM ET,,Final,MIL,144,True,BKN,122,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","31, 28, 33, 30","32, 34, 34, 44",3,120,-142,2.5,-2.5,-110,-110,241,-110,-110,,,,,348,-455,9.5,-9.5,-108,-113,244,-109,-112,,,,,360,-470,10,-10,-105,-115,244,-115,-105,,,,,350,-450,10,-10,-110,-110,244,-110,-110,,,,,340,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,330,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,,340,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,360,-480,10,-10,-110,-110,244,-110,-110,,,,,375,-500,10,-10,-110,-110,244,-110,-110,,,,,360,-500,10.5,-10.5,-115,-105,244.5,-110,-110,,,,,340,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,7:00 PM ET,Tue,12/26/23 @ 7:00 PM ET,,Final,BKN,118,True,DET,112,False,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","31, 23, 31, 27","25, 36, 27, 30",3,220,-270,6.5,-6.5,-110,-110,232.5,-110,-110,,,,,203,-250,6.5,-6.5,-110,-111,228.5,-110,-112,,,,,205,-250,6.5,-6.5,-105,-115,228.5,-108,-112,,,,,205,-250,6.5,-6.5,-106,-114,228,-110,-110,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,,,,,,,,,,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,196,-240,6.5,-6.5,-110,-110,228.5,-110,-110,,,,,200,-250,6.5,-6.5,-110,-110,228.5,-110,-110,,,,,200,-250,6.5,-6.5,-110,-110,227.5,-115,-105,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:30 PM ET,Sat,12/23/23 @ 7:30 PM ET,,Final,DET,115,False,BKN,126,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","32, 33, 33, 28","21, 35, 26, 33",3,-355,280,-9,9,-110,-110,233.5,-110,-110,,,,,-455,346,-9,9,-109,-112,231,-110,-110,,,,,-440,340,-9.5,9.5,-112,-108,232,-105,-115,,,,,-490,380,-9.5,9.5,-110,-110,231,-114,-108,,,,,-455,350,-9,9,-109,-112,231,-110,-110,,,,,-480,350,-9,9,-109,-112,231,-110,-110,,,,,,,,,,,,,,,,,,-455,350,-9,9,-109,-112,231,-110,-110,,,,,-455,345,-9.5,9.5,-110,-110,231,-110,-110,,,,,-425,330,-10,10,-110,-110,231,-110,-110,,,,,-450,333,-9.5,9.5,-110,-110,231.5,-110,-110,,,,,-455,350,-9,9,-109,-112,231,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,7:30 PM ET,Fri,12/22/23 @ 7:30 PM ET,,Final,DEN,122,True,BKN,117,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","28, 32, 26, 31","28, 30, 30, 34",3,175,-210,4.5,-4.5,-110,-110,231,-110,-110,,,,,154,-186,4.5,-4.5,-112,-110,230,-112,-109,,,,,160,-192,4.5,-4.5,-105,-115,231,-110,-110,,,,,166,-198,4.5,-4.5,-108,-112,230.5,-110,-110,,,,,150,-180,4.5,-4.5,-113,-108,230,-112,-109,,,,,150,-182,4.5,-4.5,-113,-108,230,-112,-109,,,,,,,,,,,,,,,,,,150,-180,4.5,-4.5,-113,-108,230,-112,-109,,,,,158,-190,5,-5,-105,-115,231,-110,-110,,,,,165,-200,5,-5,-110,-110,230.5,-110,-110,,,,,155,-190,4.5,-4.5,-105,-115,231.5,-110,-110,,,,,150,-180,4.5,-4.5,-113,-108,230,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:30 PM ET,Wed,12/20/23 @ 7:30 PM ET,,Final,NY,121,True,BKN,102,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","20, 31, 26, 25","32, 28, 30, 31",3,,,1,-1,-110,-110,233,-110,-110,,,,,-105,-114,1,-1,-110,-110,232.5,-112,-110,,,,,-105,-115,1,-1,-110,-110,233,-110,-110,,,,,-104,-112,1,-1,-110,-110,232.5,-110,-110,,,,,-105,-113,1,-1,-110,-110,232.5,-112,-109,,,,,-107,-114,1,-1,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,,-105,-113,1,-1,-110,-110,232.5,-112,-109,,,,,-105,-115,1,-1,-110,-110,232.5,-110,-110,,,,,-105,-115,1,-1,-110,-110,232,-110,-110,,,,,-105,-115,1.5,-1.5,-115,-105,233.5,-105,-115,,,,,-105,-113,1,-1,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,9:00 PM ET,Mon,12/18/23 @ 9:00 PM ET,,Final,BKN,108,False,UTA,125,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/UTA.png,,,,,,,"Q1, Q2, Q3, Q4","28, 26, 34, 37","28, 31, 23, 26",3,140,-170,3.5,-3.5,-110,-110,231.5,-110,-110,,,,,133,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,130,-155,3,-3,-110,-110,233,-112,-108,,,,,130,-154,3,-3,-106,-114,233,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,133,-162,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,,,,,,,,,,,,,,135,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,135,-160,3.5,-3.5,-115,-105,234.5,-110,-110,,,,,130,-160,3,-3,-110,-110,233,-110,-110,,,,,140,-165,3.5,-3.5,-105,-115,233.5,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,8:30 PM ET,Sat,12/16/23 @ 8:30 PM ET,,Final,BKN,120,False,GS,124,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","32, 38, 25, 29","25, 29, 35, 31",3,-162,136,-3.5,3.5,-110,-110,234.5,-110,-110,,,,,-159,134,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,-162,136,-3.5,3.5,-112,-108,235,-108,-112,,,,,-162,136,-3.5,3.5,-110,-110,235.5,-108,-112,,,,,-159,135,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,-162,132,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,,,,,,,,,,,,,,-159,135,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,-155,130,-3,3,-110,-110,235,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,234.5,-110,-110,,,,,-155,130,-3.5,3.5,-105,-115,234.5,-115,-105,,,,,-159,135,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,9:00 PM ET,Thu,12/14/23 @ 9:00 PM ET,,Final,BKN,101,False,DEN,124,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","29, 23, 38, 34","22, 17, 28, 34",3,-425,330,-9,9,-110,-110,227.5,-110,-110,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,-410,320,-9,9,-112,-108,231,-112,-108,,,,,-420,330,-9.5,9.5,-110,-110,231,-110,-110,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,-435,325,-9.5,9.5,-107,-114,231,-112,-109,,,,,,,,,,,,,,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,-455,345,-9.5,9.5,-110,-110,231.5,-110,-110,,,,,-400,310,-9.5,9.5,-110,-110,231.5,-110,-110,,,,,-400,310,-9.5,9.5,-110,-110,230.5,-110,-110,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,,,,,,,,,,,,,
