Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,7:00 PM ET,Mon,1/15/24 @ 7:00 PM ET,,Scheduled,CHI,,False,CLE,,False,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/CLE.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-265,215,-6.5,6.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,8:00 PM ET,Thu,12/28/23 @ 8:00 PM ET,,Final,IND,120,True,CHI,104,False,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","31, 21, 25, 27","37, 26, 22, 35",3,125,-150,3,-3,-110,-110,239.5,-110,-110,,,,,-105,-115,1,-1,-110,-110,238.5,-109,-112,,,,,-108,-112,1,-1,-112,-108,239.5,-110,-110,,,,,-102,-116,1,-1,-110,-110,238.5,-110,-110,,,,,-104,-114,1,-1,-110,-110,238.5,-108,-113,,,,,-106,-115,1,-1,-110,-110,238.5,-108,-113,,,,,,,,,,,,,,,,,,-104,-114,1,-1,-110,-110,238.5,-108,-113,,,,,-105,-115,1,-1,-110,-110,238.5,-110,-110,,,,,-105,-115,1,-1,-110,-110,238.5,-110,-110,,,,,-105,-115,1.5,-1.5,-120,100,239.5,-105,-115,,,,,-104,-114,1,-1,-110,-110,238.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,Final,ATL,113,False,CHI,118,True,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","28, 22, 33, 35","17, 39, 29, 28",3,-102,-116,1,-1,-110,-110,235,-110,-110,,,,,109,-131,2,-2,-109,-112,237,-110,-110,,,,,114,-135,2.5,-2.5,-110,-110,237.5,-110,-110,,,,,114,-134,2.5,-2.5,-110,-110,238,-110,-110,,,,,105,-124,2,-2,-109,-112,237,-110,-110,,,,,104,-125,2,-2,-109,-112,237,-110,-110,,,,,,,,,,,,,,,,,,105,-124,2,-2,-109,-112,237,-110,-110,,,,,122,-145,2.5,-2.5,-110,-110,237,-110,-110,,,,,115,-140,2.5,-2.5,-110,-110,237.5,-110,-110,,,,,115,-140,2.5,-2.5,-110,-110,237.5,-110,-110,,,,,105,-124,2,-2,-109,-112,237,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:00 PM ET,Sat,12/23/23 @ 8:00 PM ET,,Final,CLE,109,True,CHI,95,False,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","30, 26, 16, 23","32, 25, 25, 27",3,-115,-105,-1,1,-110,-110,220.5,-110,-110,,,,,-239,193,-6,6,-110,-110,214.5,-112,-109,,,,,-245,200,-6.5,6.5,-108,-112,214,-112,-108,,,,,-255,210,-6.5,6.5,-110,-110,213.5,-112,-108,,,,,-230,190,-6,6,-110,-110,214.5,-112,-109,,,,,-250,190,-6,6,-110,-110,214.5,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-6,6,-110,-110,214.5,-112,-109,,,,,-225,185,-6,6,-115,-105,215,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,215,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,214.5,-105,-115,,,,,-230,190,-6,6,-110,-110,214.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,8:00 PM ET,Thu,12/21/23 @ 8:00 PM ET,,Final,SA,95,False,CHI,114,True,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","27, 25, 25, 37","28, 20, 22, 25",3,-162,136,-4,4,-110,-110,229.5,-110,-110,,,,,-229,186,-5.5,5.5,-112,-109,229,-113,-108,,,,,-238,195,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-240,198,-6.5,6.5,-108,-112,229.5,-110,-110,,,,,-220,180,-5.5,5.5,-112,-109,229,-113,-108,,,,,-220,175,-5.5,5.5,-112,-109,229,-113,-108,,,,,,,,,,,,,,,,,,-220,180,-5.5,5.5,-112,-109,229,-113,-108,,,,,-235,192,-6,6,-115,-105,229.5,-110,-110,,,,,-240,190,-6,6,-110,-110,229,-110,-110,,,,,-250,195,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-220,180,-5.5,5.5,-112,-109,229,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,8:00 PM ET,Wed,12/20/23 @ 8:00 PM ET,,Final,LAL,108,False,CHI,124,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","33, 28, 29, 34","22, 33, 23, 30",3,215,-265,7,-7,-110,-110,223.5,-110,-110,,,,,141,-170,3.5,-3.5,-111,-110,224,-112,-109,,,,,145,-175,3.5,-3.5,-108,-112,225.5,-110,-110,,,,,142,-168,3.5,-3.5,-108,-112,225,-110,-110,,,,,138,-165,3.5,-3.5,-112,-109,224,-112,-109,,,,,135,-167,3.5,-3.5,-112,-109,224,-112,-109,,,,,,,,,,,,,,,,,,138,-165,3.5,-3.5,-112,-109,224,-112,-109,,,,,150,-178,4,-4,-115,-105,224,-110,-110,,,,,145,-175,3.5,-3.5,-110,-110,225.5,-110,-110,,,,,145,-175,3.5,-3.5,-105,-115,224.5,-115,-105,,,,,138,-165,3.5,-3.5,-112,-109,224,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:00 PM ET,Mon,12/18/23 @ 7:00 PM ET,,Final,CHI,108,True,PHI,104,False,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","24, 20, 25, 35","25, 30, 26, 27",3,-450,350,-10,10,-110,-110,229,-110,-110,,,,,-538,397,-11,11,-108,-113,227,-109,-112,,,,,-485,370,-10,10,-112,-108,227.5,-110,-110,,,,,-480,370,-10,10,-112,-108,227.5,-110,-110,,,,,-560,410,-11,11,-108,-113,227,-109,-112,,,,,-590,410,-11,11,-108,-113,227,-109,-112,,,,,,,,,,,,,,,,,,-560,410,-11,11,-108,-113,227,-109,-112,,,,,-550,400,-10,10,-110,-110,225.5,-105,-115,,,,,-425,330,-10.5,10.5,-110,-110,226.5,-110,-110,,,,,-550,400,-10.5,10.5,-110,-110,227.5,-105,-115,,,,,-560,410,-11,11,-108,-113,227,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,8:00 PM ET,Sat,12/16/23 @ 8:00 PM ET,,Final,CHI,116,False,MIA,118,True,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","36, 22, 33, 27","24, 33, 23, 36",3,-200,168,-5,5,-110,-110,215.5,-110,-110,,,,,-226,186,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,-192,160,-4.5,4.5,-115,-105,219.5,-115,-105,,,,,-194,162,-5,5,-110,-110,219.5,-110,-110,,,,,-230,190,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,-235,185,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,-210,175,-5,5,-110,-110,218,-110,-110,,,,,-210,175,-5.5,5.5,-110,-110,220,-110,-110,,,,,-190,155,-4.5,4.5,-110,-110,219.5,-110,-110,,,,,-230,190,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,7:30 PM ET,Thu,12/14/23 @ 7:30 PM ET,,Final,CHI,124,True,MIA,116,False,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","22, 34, 32, 28","36, 24, 33, 31",3,-225,185,-5.5,5.5,-110,-110,216,-110,-110,,,,,-166,138,-3.5,3.5,-112,-109,214,-112,-108,,,,,-166,140,-3.5,3.5,-110,-110,213,-110,-110,,,,,-162,136,-3.5,3.5,-110,-110,213,-110,-110,,,,,-167,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,-175,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,,,,,,,,,,,,,,-167,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,-165,140,-3.5,3.5,-110,-110,213,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,213,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,212.5,-115,-105,,,,,-167,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,8:00 PM ET,Tue,12/12/23 @ 8:00 PM ET,,Final,DEN,114,True,CHI,106,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","25, 25, 30, 26","32, 25, 35, 22",3,270,-335,8,-8,-110,-110,213.5,-110,-110,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,200,-245,6.5,-6.5,-110,-110,219.5,-118,-102,,,,,215,-260,6.5,-6.5,-110,-110,220,-110,-110,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,,,,,,,,,,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,210,-260,6.5,-6.5,-105,-115,219.5,-115,-105,,,,,220,-275,6.5,-6.5,-110,-110,220.5,-110,-110,,,,,200,-250,6.5,-6.5,-115,-105,219.5,-115,-105,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,,,,,,,,,,,,,
