Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,9:00 PM ET,Fri,12/29/23 @ 9:00 PM ET,,Scheduled,CHA,,False,PHO,,False,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/PHO.png,,,,,,,,,,3,-850,575,-13.5,13.5,-110,-110,233.5,-110,-110,,,,,-1389,762,-15.5,15.5,-110,-110,232.5,-112,-109,,,,,-1200,750,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1200,750,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,-1667,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,-1400,800,-15.5,15.5,-110,-110,232,-110,-110,,,,,-1399,800,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1400,800,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,10:30 PM ET,Thu,12/28/23 @ 10:30 PM ET,,Final,CHA,112,False,LAL,133,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/LAL.png,,,,,,,"Q1, Q2, Q3, Q4","28, 30, 41, 34","31, 26, 23, 32",3,-850,590,-12.5,12.5,-110,-110,228.5,-110,-110,,,,,-982,613,-13.5,13.5,-108,-113,228,-109,-112,,,,,-750,525,-13,13,-108,-112,226.5,-112,-108,,,,,-900,610,-13,13,-114,-106,227,-110,-110,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,,,,,,,,,,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,-800,550,-12.5,12.5,-110,-110,226.5,-110,-110,,,,,-899,600,-13,13,-110,-110,227,-110,-110,,,,,-800,550,-13.5,13.5,-105,-115,227.5,-105,-115,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,10:30 PM ET,Tue,12/26/23 @ 10:30 PM ET,,Final,CHA,104,False,LAC,113,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","26, 29, 27, 31","27, 23, 30, 24",3,-670,490,-11,11,-112,-108,228.5,-108,-112,,,,,-579,420,-11.5,11.5,-110,-110,226,-113,-108,,,,,-520,390,-11,11,-110,-110,226.5,-110,-110,,,,,-550,410,-11,11,-112,-108,226.5,-112,-108,,,,,-590,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,-625,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,,,,,,,,,,,,,,-590,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,-600,430,-11.5,11.5,-110,-110,226.5,-105,-115,,,,,-550,400,-11,11,-110,-110,226.5,-110,-110,,,,,-550,400,-11.5,11.5,-105,-115,226.5,-110,-110,,,,,-590,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:00 PM ET,Sat,12/23/23 @ 7:00 PM ET,,Final,DEN,102,True,CHA,95,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","27, 33, 9, 26","25, 29, 30, 18",3,220,-270,7,-7,-110,-110,226.5,-110,-110,,,,,427,-595,11,-11,-110,-112,224.5,-110,-112,,,,,410,-550,11,-11,-110,-110,225,-110,-110,,,,,420,-560,11,-11,-112,-108,224,-112,-108,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,,,,,,,,,,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,430,-600,11,-11,-110,-110,224.5,-115,-105,,,,,400,-550,10.5,-10.5,-110,-110,224.5,-110,-110,,,,,400,-550,10.5,-10.5,-105,-115,224.5,-110,-110,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:00 PM ET,Wed,12/20/23 @ 7:00 PM ET,,Final,CHA,113,False,IND,144,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/IND.png,,,,,,,"Q1, Q2, Q3, Q4","31, 40, 36, 37","29, 31, 26, 27",3,-410,320,-9.5,9.5,-110,-110,249.5,-110,-110,,,,,-487,371,-10,10,-109,-112,246,-112,-109,,,,,-520,390,-10.5,10.5,-110,-110,245.5,-105,-115,,,,,-500,385,-10.5,10.5,-110,-110,245.5,-110,-110,,,,,-480,370,-10,10,-109,-112,246,-112,-109,,,,,-480,350,-10,10,-109,-112,246,-112,-109,,,,,,,,,,,,,,,,,,-480,370,-10,10,-109,-112,246,-112,-109,,,,,-480,360,-10,10,-110,-110,248,-110,-110,,,,,-500,375,-10.5,10.5,-110,-110,245.5,-110,-110,,,,,-500,375,-10.5,10.5,-110,-110,245.5,-110,-110,,,,,-480,370,-10,10,-109,-112,246,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:30 PM ET,Mon,12/18/23 @ 7:30 PM ET,,Final,CHA,99,False,TOR,114,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","19, 29, 31, 35","27, 25, 29, 18",3,-500,385,-10,10,-110,-110,227,-110,-110,,,,,-835,566,-12,12,-112,-109,223.5,-113,-108,,,,,-750,525,-12.5,12.5,-112,-108,224,-110,-110,,,,,-750,530,-12.5,12.5,-112,-108,224,-112,-110,,,,,-835,575,-12,12,-112,-109,223.5,-113,-108,,,,,-835,540,-12,12,-112,-109,223.5,-113,-108,,,,,,,,,,,,,,,,,,-835,575,-12,12,-112,-109,223.5,-113,-108,,,,,-700,500,-12,12,-115,-105,224,-110,-110,,,,,-800,550,-12.5,12.5,-110,-110,224,-110,-110,,,,,-750,525,-12.5,12.5,-110,-110,223.5,-110,-110,,,,,-835,575,-12,12,-112,-109,223.5,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,7:00 PM ET,Sat,12/16/23 @ 7:00 PM ET,,Final,PHI,135,True,CHA,82,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","17, 27, 15, 23","33, 40, 27, 35",3,285,-360,9,-9,-110,-110,234.5,-110,-110,,,,,457,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,500,-700,12,-12,-110,-110,230,-108,-112,,,,,490,-670,12,-12,-110,-110,230,-110,-110,,,,,460,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,450,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,,,,,,,,,,,,,,460,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,430,-600,11,-11,-105,-115,230,-105,-115,,,,,450,-625,12,-12,-110,-110,230,-110,-110,,,,,525,-750,11.5,-11.5,-110,-110,229.5,-110,-110,,,,,460,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:00 PM ET,Fri,12/15/23 @ 7:00 PM ET,,Final,NO,112,True,CHA,107,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","20, 19, 37, 31","21, 29, 26, 36",3,176,-210,5,-5,-110,-110,233,-110,-110,,,,,308,-396,9,-9,-108,-113,233.5,-109,-112,,,,,330,-425,9.5,-9.5,-105,-115,233,-108,-112,,,,,320,-405,9.5,-9.5,-112,-108,234,-110,-110,,,,,300,-385,9,-9,-108,-113,233.5,-108,-113,,,,,295,-385,9,-9,-108,-113,233.5,-108,-113,,,,,,,,,,,,,,,,,,300,-385,9,-9,-108,-113,233.5,-108,-113,,,,,320,-420,9.5,-9.5,-110,-110,233.5,-110,-110,,,,,300,-375,9,-9,-110,-110,233.5,-110,-110,,,,,350,-450,9.5,-9.5,-110,-110,233.5,-110,-110,,,,,300,-385,9,-9,-108,-113,233.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,7:30 PM ET,Wed,12/13/23 @ 7:30 PM ET,,Final,CHA,104,False,MIA,115,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","22, 34, 35, 24","23, 22, 25, 34",3,-400,315,-9,9,-110,-110,226.5,-110,-110,,,,,-336,270,-8,8,-107,-114,222.5,-109,-112,,,,,-340,270,-7.5,7.5,-115,-105,222,-115,-105,,,,,-320,260,-7.5,7.5,-110,-110,222.5,-108,-112,,,,,-335,270,-8,8,-107,-114,222.5,-109,-112,,,,,-335,265,-8,8,-107,-114,222.5,-109,-112,,,,,,,,,,,,,,,,,,-335,270,-8,8,-107,-114,222.5,-109,-112,,,,,-345,270,-7.5,7.5,-120,100,222,-110,-110,,,,,-350,280,-8,8,-110,-110,222,-110,-110,,,,,-350,270,-7.5,7.5,-115,-105,222.5,-105,-115,,,,,-335,270,-8,8,-107,-114,222.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,7:00 PM ET,Mon,12/11/23 @ 7:00 PM ET,,Final,MIA,116,True,CHA,114,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","24, 26, 27, 37","29, 30, 30, 27",3,126,-148,3,-3,-110,-110,219.5,-111,-109,,,,,146,-179,4,-4,-110,-110,221,-110,-110,,,,,154,-185,4.5,-4.5,-112,-108,222.5,-112,-108,,,,,158,-188,4.5,-4.5,-110,-110,222.5,-112,-108,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,,,,,,,,,,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,140,-165,3.5,-3.5,-110,-110,221,-110,-110,,,,,150,-180,4.5,-4.5,-110,-110,222.5,-110,-110,,,,,150,-185,3.5,-3.5,-105,-115,222.5,-115,-105,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,,,,,,,,,,,,,
