Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,7:00 PM ET,Mon,1/15/24 @ 7:00 PM ET,,Scheduled,CHI,,False,CLE,,False,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/CLE.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-265,215,-6.5,6.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,MIL,,False,CLE,,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/CLE.png,,,,,,,,,,3,175,-210,5,-5,-110,-110,239,-110,-110,,,,,182,-223,5,-5,-109,-112,239,-109,-112,,,,,205,-250,5.5,-5.5,-112,-108,239.5,-110,-110,,,,,200,-245,5.5,-5.5,-110,-110,238,-110,-110,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,170,-210,5,-5,-109,-112,239,-109,-112,,,,,,,,,,,,,,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,185,-225,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,185,-225,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,190,-250,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,8:30 PM ET,Wed,12/27/23 @ 8:30 PM ET,,Final,CLE,113,True,DAL,110,False,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","39, 30, 21, 20","27, 27, 28, 31",3,-310,250,-7,7,-114,-106,234,-110,-110,,,,,-260,208,-6.5,6.5,-109,-113,232,-110,-112,,,,,-238,195,-6,6,-108,-112,232,-112,-108,,,,,-270,220,-6.5,6.5,-110,-110,232,-110,-110,,,,,-265,215,-6.5,6.5,-108,-113,232,-109,-112,,,,,-265,200,-6.5,6.5,-108,-113,232,-109,-112,,,,,,,,,,,,,,,,,,-265,215,-6.5,6.5,-108,-113,232,-109,-112,,,,,-260,210,-6.5,6.5,-110,-110,232,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,232.5,-110,-110,,,,,-250,200,-6.5,6.5,-105,-115,231.5,-115,-105,,,,,-265,215,-6.5,6.5,-108,-113,232,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:00 PM ET,Sat,12/23/23 @ 8:00 PM ET,,Final,CLE,109,True,CHI,95,False,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","30, 26, 16, 23","32, 25, 25, 27",3,-115,-105,-1,1,-110,-110,220.5,-110,-110,,,,,-239,193,-6,6,-110,-110,214.5,-112,-109,,,,,-245,200,-6.5,6.5,-108,-112,214,-112,-108,,,,,-255,210,-6.5,6.5,-110,-110,213.5,-112,-108,,,,,-230,190,-6,6,-110,-110,214.5,-112,-109,,,,,-250,190,-6,6,-110,-110,214.5,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-6,6,-110,-110,214.5,-112,-109,,,,,-225,185,-6,6,-115,-105,215,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,215,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,214.5,-105,-115,,,,,-230,190,-6,6,-110,-110,214.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,7:30 PM ET,Thu,12/21/23 @ 7:30 PM ET,,Final,NO,123,True,CLE,104,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","28, 24, 24, 28","36, 30, 28, 29",3,-120,102,-1.5,1.5,-110,-110,226.5,-110,-110,,,,,131,-157,3.5,-3.5,-110,-112,224.5,-112,-109,,,,,140,-166,3.5,-3.5,-105,-115,224.5,-110,-110,,,,,134,-158,3.5,-3.5,-110,-110,225,-110,-110,,,,,128,-152,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,128,-155,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,,,,,,,,,,,,,,128,-152,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,140,-165,3.5,-3.5,-110,-110,224.5,-110,-110,,,,,125,-150,3.5,-3.5,-110,-110,226.5,-110,-110,,,,,135,-165,3.5,-3.5,-105,-115,224.5,-110,-110,,,,,128,-152,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:00 PM ET,Wed,12/20/23 @ 7:00 PM ET,,Final,UTA,116,False,CLE,124,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","36, 26, 30, 32","27, 29, 37, 23",3,-330,265,-7.5,7.5,-110,-110,227.5,-110,-110,,,,,-160,133,-3,3,-113,-108,225.5,-111,-110,,,,,-148,124,-3,3,-112,-108,226,-112,-108,,,,,-158,134,-3.5,3.5,-108,-112,225.5,-112,-108,,,,,-159,135,-3,3,-113,-108,225.5,-110,-110,,,,,-162,132,-3,3,-113,-108,225.5,-110,-110,,,,,,,,,,,,,,,,,,-159,135,-3,3,-113,-108,225.5,-110,-110,,,,,-205,170,-5,5,-105,-115,227,-110,-110,,,,,-170,140,-3.5,3.5,-110,-110,226,-110,-110,,,,,-150,125,-2.5,2.5,-115,-105,225.5,-115,-105,,,,,-159,135,-3,3,-113,-108,225.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:00 PM ET,Mon,12/18/23 @ 7:00 PM ET,,F/OT,HOU,130,False,CLE,135,True,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4, OT","33, 24, 42, 23, 13","34, 25, 39, 24, 8",3,-196,164,-4.5,4.5,-115,-105,214.5,-108,-112,,,,,-176,146,-4,4,-113,-109,215.5,-112,-109,,,,,-170,142,-4,4,-108,-112,215,-112,-108,,,,,-164,138,-3.5,3.5,-112,-108,215.5,-110,-110,,,,,-182,150,-4,4,-114,-107,215.5,-112,-109,,,,,-186,150,-4,4,-114,-107,215.5,-112,-109,,,,,,,,,,,,,,,,,,-182,150,-4,4,-114,-107,215.5,-112,-109,,,,,-170,143,-4,4,-105,-115,215,-110,-110,,,,,-175,145,-4,4,-110,-110,215,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,214.5,-110,-110,,,,,-182,150,-4,4,-114,-107,215.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,7:30 PM ET,Sat,12/16/23 @ 7:30 PM ET,,Final,ATL,119,False,CLE,127,True,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","41, 29, 22, 35","28, 24, 29, 38",3,-132,112,-2,2,-110,-110,240.5,-110,-110,,,,,-195,159,-4.5,4.5,-114,-107,236,-110,-110,,,,,-192,160,-4.5,4.5,-115,-105,236.5,-110,-110,,,,,-184,154,-4.5,4.5,-112,-108,236.5,-110,-110,,,,,-195,160,-4.5,4.5,-114,-107,236,-110,-110,,,,,-195,155,-4.5,4.5,-114,-107,236,-110,-110,,,,,,,,,,,,,,,,,,-195,160,-4.5,4.5,-114,-107,236,-110,-110,,,,,-170,143,-4,4,-110,-110,235.5,-110,-110,,,,,-200,165,-4.5,4.5,-110,-110,236.5,-110,-110,,,,,-185,150,-4.5,4.5,-110,-110,236.5,-110,-110,,,,,-195,160,-4.5,4.5,-114,-107,236,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,7:30 PM ET,Thu,12/14/23 @ 7:30 PM ET,,Final,CLE,107,False,BOS,116,True,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","33, 32, 25, 26","24, 30, 33, 20",3,-600,440,,,,,225,-110,-110,,,,,-390,303,-9,9,-107,-114,226.5,-110,-110,,,,,-380,300,-8.5,8.5,-112,-108,227.5,-112,-108,,,,,-360,290,-8.5,8.5,-110,-110,227,-110,-110,,,,,-400,310,-9,9,-107,-114,226.5,-110,-110,,,,,-400,300,-9,9,-107,-114,226.5,-110,-110,,,,,,,,,,,,,,,,,,-400,310,-9,9,-107,-114,226.5,-110,-110,,,,,-365,285,-8.5,8.5,-105,-115,227.5,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,227,-110,-110,,,,,-400,310,-8.5,8.5,-110,-110,226.5,-110,-110,,,,,-400,310,-9,9,-107,-114,226.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,7:30 PM ET,Tue,12/12/23 @ 7:30 PM ET,,Final,CLE,113,False,BOS,120,True,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","21, 38, 35, 26","31, 29, 32, 21",3,-420,330,-9.5,9.5,-110,-110,221,-110,-110,,,,,-682,483,-11.5,11.5,-112,-109,226,-112,-109,,,,,-625,455,-11,11,-112,-108,226,-115,-105,,,,,-620,460,-11,11,-110,-110,226,-112,-108,,,,,-715,500,-11.5,11.5,-113,-108,226,-110,-110,,,,,-715,500,-11.5,11.5,-113,-108,226,-110,-110,,,,,,,,,,,,,,,,,,-715,500,-11.5,11.5,-113,-108,226,-110,-110,,,,,-700,500,-11.5,11.5,-110,-110,226,-115,-105,,,,,-625,450,-11.5,11.5,-110,-110,226.5,-110,-110,,,,,-650,450,-11.5,11.5,-110,-110,226.5,-110,-110,,,,,-715,500,-11.5,11.5,-113,-108,226,-110,-110,,,,,,,,,,,,,,,,,
