Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,2:30 PM ET,Mon,1/15/24 @ 2:30 PM ET,,Scheduled,NO,,False,DAL,,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/DAL.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-162,136,-3.5,3.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,8:00 PM ET,Thu,12/28/23 @ 8:00 PM ET,,Final,DAL,110,False,MIN,118,True,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/MIN.png,,,,,,,"Q1, Q2, Q3, Q4","37, 24, 37, 20","26, 30, 35, 19",3,-360,290,-8.5,8.5,-110,-110,228.5,-110,-110,,,,,-710,497,-12,12,-113,-107,227.5,-112,-109,,,,,-750,525,-12,12,-115,-105,228,-112,-108,,,,,-750,530,-12.5,12.5,-106,-114,228,-110,-110,,,,,-670,475,-12,12,-113,-107,227.5,-112,-109,,,,,-670,460,-12,12,-113,-107,227.5,-112,-109,,,,,,,,,,,,,,,,,,-670,475,-12,12,-113,-107,227.5,-112,-109,,,,,-900,600,-12.5,12.5,-110,-110,228,-110,-110,,,,,-750,500,-12,12,-110,-110,228,-110,-110,,,,,-750,525,-12.5,12.5,-105,-115,228.5,-105,-115,,,,,-670,475,-12,12,-113,-107,227.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,8:30 PM ET,Wed,12/27/23 @ 8:30 PM ET,,Final,CLE,113,True,DAL,110,False,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","39, 30, 21, 20","27, 27, 28, 31",3,-310,250,-7,7,-114,-106,234,-110,-110,,,,,-260,208,-6.5,6.5,-109,-113,232,-110,-112,,,,,-238,195,-6,6,-108,-112,232,-112,-108,,,,,-270,220,-6.5,6.5,-110,-110,232,-110,-110,,,,,-265,215,-6.5,6.5,-108,-113,232,-109,-112,,,,,-265,200,-6.5,6.5,-108,-113,232,-109,-112,,,,,,,,,,,,,,,,,,-265,215,-6.5,6.5,-108,-113,232,-109,-112,,,,,-260,210,-6.5,6.5,-110,-110,232,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,232.5,-110,-110,,,,,-250,200,-6.5,6.5,-105,-115,231.5,-115,-105,,,,,-265,215,-6.5,6.5,-108,-113,232,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,10:30 PM ET,Mon,12/25/23 @ 10:30 PM ET,,Final,DAL,128,True,PHO,114,False,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","24, 30, 38, 22","36, 28, 27, 37",3,-245,195,-6.5,6.5,-108,-113,225.5,-110,-110,,,,,-175,146,-4.5,4.5,-107,-114,243.5,-109,-113,,,,,-175,150,-4,4,-112,-108,243,-110,-110,,,,,-174,146,-4,4,-112,-108,243,-110,-110,,,,,-175,145,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,-175,143,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,,,,,,,,,,,,,,-175,145,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,-175,148,-4,4,-110,-110,243.5,-110,-110,,,,,-180,150,-4.5,4.5,-110,-110,243,-110,-110,,,,,-175,145,-4.5,4.5,-105,-115,243.5,-110,-110,,,,,-175,145,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:30 PM ET,Sat,12/23/23 @ 8:30 PM ET,,Final,SA,119,False,DAL,144,True,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","40, 32, 45, 27","29, 37, 20, 33",3,-295,240,-7,7,-110,-110,239.5,-110,-110,,,,,-365,285,-8,8,-114,-108,243,-108,-113,,,,,-355,280,-8,8,-112,-108,243.5,-110,-110,,,,,-340,275,-8.5,8.5,-110,-110,243,-110,-110,,,,,-375,295,-8,8,-114,-107,243,-108,-113,,,,,-375,285,-8,8,-114,-107,243,-108,-113,,,,,,,,,,,,,,,,,,-375,295,-8,8,-114,-107,243,-108,-113,,,,,-355,278,-8.5,8.5,-110,-110,242.5,-115,-105,,,,,-350,260,-8,8,-110,-110,243.5,-110,-110,,,,,-350,275,-7.5,7.5,-115,-105,243.5,-110,-110,,,,,-375,295,-8,8,-114,-107,243,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,8:00 PM ET,Fri,12/22/23 @ 8:00 PM ET,,Final,DAL,96,False,HOU,122,True,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","23, 33, 33, 33","17, 22, 21, 36",3,-145,120,-2.5,2.5,-110,-110,233,-110,-110,,,,,-348,274,-8.5,8.5,-110,-112,222,-113,-108,,,,,-355,280,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-340,275,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-345,275,-8.5,8.5,-109,-112,222,-113,-108,,,,,-360,270,-8.5,8.5,-109,-112,222,-113,-108,,,,,,,,,,,,,,,,,,-345,275,-8.5,8.5,-109,-112,222,-113,-108,,,,,-355,278,-8.5,8.5,-115,-105,222,-105,-115,,,,,-350,260,-8,8,-110,-110,222.5,-110,-110,,,,,-350,275,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-345,275,-8.5,8.5,-109,-112,222,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,8:30 PM ET,Wed,12/20/23 @ 8:30 PM ET,,Final,LAC,120,True,DAL,111,False,/assets/images/nba/logos/LAC.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","22, 34, 27, 28","35, 32, 18, 35",3,,,3.5,-3.5,-110,-110,240.5,-110,-110,,,,,101,-122,1,-1,-110,-110,237,-110,-110,,,,,105,-125,2,-2,-112,-108,237.5,-112,-108,,,,,112,-132,2,-2,-108,-112,237.5,-108,-112,,,,,-104,-115,1,-1,-110,-110,237,-110,-110,,,,,-105,-117,1,-1,-110,-110,237,-110,-110,,,,,,,,,,,,,,,,,,-104,-115,1,-1,-110,-110,237,-110,-110,,,,,110,-130,2,-2,-105,-115,236.5,-110,-110,,,,,105,-125,2,-2,-110,-110,238,-110,-110,,,,,105,-130,1.5,-1.5,-105,-115,237.5,-110,-110,,,,,-104,-115,1,-1,-110,-110,237,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,9:00 PM ET,Mon,12/18/23 @ 9:00 PM ET,,Final,DAL,104,False,DEN,130,True,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","28, 40, 30, 32","20, 39, 21, 24",3,-275,220,-7,7,-110,-110,238.5,-110,-110,,,,,-353,279,-8.5,8.5,-108,-114,239.5,-109,-113,,,,,-345,275,-8,8,-115,-105,239.5,-110,-110,,,,,-330,265,-8,8,-112,-108,239.5,-112,-108,,,,,-360,285,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,-360,275,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,,,,,,,,,,,,,,-360,285,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,-385,300,-8.5,8.5,-110,-110,238,-115,-105,,,,,-325,250,-8.5,8.5,-110,-110,239,-110,-110,,,,,-350,260,-8.5,8.5,-105,-115,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,9:00 PM ET,Sat,12/16/23 @ 9:00 PM ET,,Final,DAL,131,True,POR,120,False,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","39, 24, 36, 21","36, 38, 36, 21",3,205,-250,6,-6,-110,-110,231,-110,-110,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,160,-192,4.5,-4.5,-110,-110,232.5,-115,-105,,,,,158,-188,4.5,-4.5,-110,-110,233,-112,-108,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,175,-220,5,-5,-110,-110,233.5,-112,-109,,,,,,,,,,,,,,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,170,-205,5,-5,-110,-110,233,-110,-110,,,,,165,-200,4.5,-4.5,-110,-110,232.5,-110,-110,,,,,155,-190,4.5,-4.5,-110,-110,232.5,-110,-110,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,8:30 PM ET,Thu,12/14/23 @ 8:30 PM ET,,Final,MIN,119,True,DAL,101,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","30, 30, 22, 19","26, 33, 28, 32",3,-136,116,-2.5,2.5,-110,-110,229.5,-110,-110,,,,,104,-123,1.5,-1.5,-108,-113,231,-108,-113,,,,,110,-130,1.5,-1.5,-102,-118,231,-108,-112,,,,,106,-124,2,-2,-112,-108,231,-108,-112,,,,,102,-120,1.5,-1.5,-108,-113,231,-108,-113,,,,,100,-121,1.5,-1.5,-108,-113,231,-108,-113,,,,,,,,,,,,,,,,,,102,-120,1.5,-1.5,-108,-113,231,-108,-113,,,,,115,-135,2,-2,-110,-110,231.5,-110,-110,,,,,105,-125,2,-2,-110,-110,231.5,-110,-110,,,,,110,-135,2.5,-2.5,-110,-110,230.5,-115,-105,,,,,102,-120,1.5,-1.5,-108,-113,231,-108,-113,,,,,,,,,,,,,,,,,
