Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,9:00 PM ET,Fri,12/29/23 @ 9:00 PM ET,,Scheduled,OKC,,False,DEN,,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/DEN.png,,,,,,,,,,3,-162,136,-4,4,-110,-110,229.5,-110,-110,,,,,-162,134,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-162,136,-3.5,3.5,-110,-110,232,-110,-110,,,,,-158,134,-3.5,3.5,-110,-110,232,-110,-110,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-162,132,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,,,,,,,,,,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-165,140,-3.5,3.5,-110,-110,231.5,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,231,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,231.5,-115,-105,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,9:00 PM ET,Thu,12/28/23 @ 9:00 PM ET,,Final,MEM,105,False,DEN,142,True,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","33, 32, 41, 36","27, 21, 35, 22",3,-250,205,-6,6,-110,-110,227.5,-110,-110,,,,,-408,316,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,-395,310,-9,9,-110,-110,222.5,-112,-108,,,,,-375,300,-9,9,-110,-110,223,-108,-112,,,,,-420,325,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,-420,310,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,,,,,,,,,,,,,,-420,325,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,-440,335,-9.5,9.5,-110,-110,222,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-400,310,-8.5,8.5,-115,-105,222.5,-110,-110,,,,,-420,325,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,2:30 PM ET,Mon,12/25/23 @ 2:30 PM ET,,Final,GS,114,False,DEN,120,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","29, 24, 39, 28","26, 28, 35, 25",3,-202,164,-5,5,-112,-109,230.5,-110,-110,,,,,-297,237,-7.5,7.5,-111,-111,235.5,-110,-112,,,,,-290,235,-7.5,7.5,-105,-115,235,-115,-105,,,,,-330,265,-7.5,7.5,-110,-110,235,-112,-108,,,,,-286,235,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,-286,230,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,,,,,,,,,,,,,,-286,235,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,-285,228,-7,7,-110,-110,234.5,-110,-110,,,,,-325,250,-7.5,7.5,-110,-110,235.5,-110,-110,,,,,-300,240,-7.5,7.5,-110,-110,234.5,-115,-105,,,,,-286,235,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:00 PM ET,Sat,12/23/23 @ 7:00 PM ET,,Final,DEN,102,True,CHA,95,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","27, 33, 9, 26","25, 29, 30, 18",3,220,-270,7,-7,-110,-110,226.5,-110,-110,,,,,427,-595,11,-11,-110,-112,224.5,-110,-112,,,,,410,-550,11,-11,-110,-110,225,-110,-110,,,,,420,-560,11,-11,-112,-108,224,-112,-108,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,,,,,,,,,,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,430,-600,11,-11,-110,-110,224.5,-115,-105,,,,,400,-550,10.5,-10.5,-110,-110,224.5,-110,-110,,,,,400,-550,10.5,-10.5,-105,-115,224.5,-110,-110,,,,,440,-625,11,-11,-109,-112,224.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,7:30 PM ET,Fri,12/22/23 @ 7:30 PM ET,,Final,DEN,122,True,BKN,117,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","28, 32, 26, 31","28, 30, 30, 34",3,175,-210,4.5,-4.5,-110,-110,231,-110,-110,,,,,154,-186,4.5,-4.5,-112,-110,230,-112,-109,,,,,160,-192,4.5,-4.5,-105,-115,231,-110,-110,,,,,166,-198,4.5,-4.5,-108,-112,230.5,-110,-110,,,,,150,-180,4.5,-4.5,-113,-108,230,-112,-109,,,,,150,-182,4.5,-4.5,-113,-108,230,-112,-109,,,,,,,,,,,,,,,,,,150,-180,4.5,-4.5,-113,-108,230,-112,-109,,,,,158,-190,5,-5,-105,-115,231,-110,-110,,,,,165,-200,5,-5,-110,-110,230.5,-110,-110,,,,,155,-190,4.5,-4.5,-105,-115,231.5,-110,-110,,,,,150,-180,4.5,-4.5,-113,-108,230,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:30 PM ET,Wed,12/20/23 @ 7:30 PM ET,,Final,DEN,113,True,TOR,104,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","20, 24, 31, 29","29, 32, 29, 23",3,164,-198,5,-5,-110,-110,227.5,-110,-110,,,,,143,-173,4,-4,-113,-108,229,-112,-110,,,,,145,-175,3.5,-3.5,-105,-115,228.5,-105,-115,,,,,142,-168,3.5,-3.5,-108,-112,229,-112,-108,,,,,145,-175,4,-4,-113,-108,229,-112,-109,,,,,143,-177,4,-4,-113,-108,229,-112,-109,,,,,,,,,,,,,,,,,,145,-175,4,-4,-113,-108,229,-112,-109,,,,,143,-170,4,-4,-110,-110,229,-110,-110,,,,,140,-170,3.5,-3.5,-110,-110,229,-110,-110,,,,,135,-165,3.5,-3.5,-110,-110,229.5,-110,-110,,,,,145,-175,4,-4,-113,-108,229,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,9:00 PM ET,Mon,12/18/23 @ 9:00 PM ET,,Final,DAL,104,False,DEN,130,True,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","28, 40, 30, 32","20, 39, 21, 24",3,-275,220,-7,7,-110,-110,238.5,-110,-110,,,,,-353,279,-8.5,8.5,-108,-114,239.5,-109,-113,,,,,-345,275,-8,8,-115,-105,239.5,-110,-110,,,,,-330,265,-8,8,-112,-108,239.5,-112,-108,,,,,-360,285,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,-360,275,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,,,,,,,,,,,,,,-360,285,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,-385,300,-8.5,8.5,-110,-110,238,-115,-105,,,,,-325,250,-8.5,8.5,-110,-110,239,-110,-110,,,,,-350,260,-8.5,8.5,-105,-115,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-107,-114,239.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,9:00 PM ET,Sat,12/16/23 @ 9:00 PM ET,,Final,OKC,118,True,DEN,117,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","31, 25, 31, 30","27, 27, 31, 33",3,-250,205,-6,6,-110,-110,235.5,-110,-110,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,-205,170,-5,5,-110,-110,238,-110,-110,,,,,-215,180,-5,5,-110,-110,237.5,-110,-110,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,-200,160,-4.5,4.5,-113,-108,237,-112,-109,,,,,,,,,,,,,,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,-205,170,-5,5,-110,-110,237.5,-110,-110,,,,,-210,175,-5.5,5.5,-110,-110,238.5,-110,-110,,,,,-200,165,-4.5,4.5,-115,-105,237.5,-110,-110,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,9:00 PM ET,Thu,12/14/23 @ 9:00 PM ET,,Final,BKN,101,False,DEN,124,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","29, 23, 38, 34","22, 17, 28, 34",3,-425,330,-9,9,-110,-110,227.5,-110,-110,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,-410,320,-9,9,-112,-108,231,-112,-108,,,,,-420,330,-9.5,9.5,-110,-110,231,-110,-110,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,-435,325,-9.5,9.5,-107,-114,231,-112,-109,,,,,,,,,,,,,,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,-455,345,-9.5,9.5,-110,-110,231.5,-110,-110,,,,,-400,310,-9.5,9.5,-110,-110,231.5,-110,-110,,,,,-400,310,-9.5,9.5,-110,-110,230.5,-110,-110,,,,,-435,340,-9.5,9.5,-107,-114,231,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,8:00 PM ET,Tue,12/12/23 @ 8:00 PM ET,,Final,DEN,114,True,CHI,106,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","25, 25, 30, 26","32, 25, 35, 22",3,270,-335,8,-8,-110,-110,213.5,-110,-110,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,200,-245,6.5,-6.5,-110,-110,219.5,-118,-102,,,,,215,-260,6.5,-6.5,-110,-110,220,-110,-110,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,,,,,,,,,,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,210,-260,6.5,-6.5,-105,-115,219.5,-115,-105,,,,,220,-275,6.5,-6.5,-110,-110,220.5,-110,-110,,,,,200,-250,6.5,-6.5,-115,-105,219.5,-115,-105,,,,,225,-278,6.5,-6.5,-107,-114,220,-108,-113,,,,,,,,,,,,,,,,,
