Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,3:00 PM ET,Mon,1/15/24 @ 3:00 PM ET,,Scheduled,DET,,False,WAS,,False,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/WAS.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-135,114,-2,2,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,7:30 PM ET,Thu,12/28/23 @ 7:30 PM ET,,F/OT,DET,122,False,BOS,128,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4, OT","27, 20, 35, 26, 20","30, 36, 16, 26, 14",3,-1698,1000,-17.5,17.5,-110,-110,234,-110,-110,,,,,-1545,853,-17,17,-112,-110,233.5,-110,-112,,,,,-1350,800,-17,17,-112,-108,233,-108,-112,,,,,-1400,830,-17,17,-110,-110,233.5,-112,-108,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,,,,,,,,,,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,-1400,800,-17,17,-110,-110,234,-115,-105,,,,,-1499,800,-17,17,-110,-110,234.5,-110,-110,,,,,-1400,800,-17.5,17.5,-105,-115,233.5,-110,-110,,,,,-1667,900,-17,17,-112,-109,233.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,7:00 PM ET,Tue,12/26/23 @ 7:00 PM ET,,Final,BKN,118,True,DET,112,False,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","31, 23, 31, 27","25, 36, 27, 30",3,220,-270,6.5,-6.5,-110,-110,232.5,-110,-110,,,,,203,-250,6.5,-6.5,-110,-111,228.5,-110,-112,,,,,205,-250,6.5,-6.5,-105,-115,228.5,-108,-112,,,,,205,-250,6.5,-6.5,-106,-114,228,-110,-110,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,,,,,,,,,,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,196,-240,6.5,-6.5,-110,-110,228.5,-110,-110,,,,,200,-250,6.5,-6.5,-110,-110,228.5,-110,-110,,,,,200,-250,6.5,-6.5,-110,-110,227.5,-115,-105,,,,,205,-250,6.5,-6.5,-110,-110,228.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:30 PM ET,Sat,12/23/23 @ 7:30 PM ET,,Final,DET,115,False,BKN,126,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","32, 33, 33, 28","21, 35, 26, 33",3,-355,280,-9,9,-110,-110,233.5,-110,-110,,,,,-455,346,-9,9,-109,-112,231,-110,-110,,,,,-440,340,-9.5,9.5,-112,-108,232,-105,-115,,,,,-490,380,-9.5,9.5,-110,-110,231,-114,-108,,,,,-455,350,-9,9,-109,-112,231,-110,-110,,,,,-480,350,-9,9,-109,-112,231,-110,-110,,,,,,,,,,,,,,,,,,-455,350,-9,9,-109,-112,231,-110,-110,,,,,-455,345,-9.5,9.5,-110,-110,231,-110,-110,,,,,-425,330,-10,10,-110,-110,231,-110,-110,,,,,-450,333,-9.5,9.5,-110,-110,231.5,-110,-110,,,,,-455,350,-9,9,-109,-112,231,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,7:00 PM ET,Thu,12/21/23 @ 7:00 PM ET,,Final,UTA,119,True,DET,111,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","32, 26, 30, 23","34, 30, 26, 29",3,,,1.5,-1.5,-110,-110,238.5,-110,-110,,,,,-129,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,-130,110,-2,2,-112,-108,235.5,-115,-105,,,,,-134,114,-2,2,-112,-108,235.5,-110,-110,,,,,-127,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,-129,106,-2.5,2.5,-110,-110,235,-113,-108,,,,,,,,,,,,,,,,,,-127,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,-125,105,-2,2,-115,-105,235,-110,-110,,,,,-130,110,-2,2,-110,-110,234,-110,-110,,,,,-135,110,-2.5,2.5,-105,-115,234.5,-115,-105,,,,,-127,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:30 PM ET,Mon,12/18/23 @ 7:30 PM ET,,Final,DET,124,False,ATL,130,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/ATL.png,,,,,,,"Q1, Q2, Q3, Q4","38, 23, 35, 34","25, 27, 32, 40",3,-520,390,-10.5,10.5,-112,-108,243.5,-112,-108,,,,,-625,460,-12,12,-109,-112,247.5,-109,-112,,,,,-600,440,-11.5,11.5,-110,-110,246.5,-110,-110,,,,,-620,460,-12,12,-108,-112,247,-110,-110,,,,,-625,460,-12,12,-109,-112,247.5,-109,-112,,,,,-625,450,-12,12,-109,-112,247.5,-109,-112,,,,,,,,,,,,,,,,,,-625,460,-12,12,-109,-112,247.5,-109,-112,,,,,-650,460,-12,12,-115,-105,247,-115,-105,,,,,-575,425,-12,12,-110,-110,246.5,-110,-110,,,,,-750,525,-12.5,12.5,-110,-110,246.5,-110,-110,,,,,-625,460,-12,12,-109,-112,247.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,6:00 PM ET,Sat,12/16/23 @ 6:00 PM ET,,Final,DET,114,False,MIL,146,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","43, 38, 33, 32","20, 36, 27, 31",3,-2200,1100,-17,17,-110,-110,240.5,-110,-110,,,,,-1520,833,-16.5,16.5,-110,-111,241.5,-110,-110,,,,,-1350,800,-16.5,16.5,-115,-105,240.5,-110,-110,,,,,-1200,750,-16.5,16.5,-110,-110,241,-110,-110,,,,,-1667,900,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,-1667,850,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,,,,,,,,,,,,,,-1667,900,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,-1400,800,-16.5,16.5,-110,-110,241,-110,-110,,,,,-1250,800,-16.5,16.5,-110,-110,241,-110,-110,,,,,-1400,800,-16.5,16.5,-115,-105,241.5,-110,-110,,,,,-1667,900,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:00 PM ET,Fri,12/15/23 @ 7:00 PM ET,,Final,DET,92,False,PHI,124,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","26, 35, 33, 30","22, 17, 23, 30",3,,,-16,16,-113,-108,235,-110,-110,,,,,-1275,788,-15.5,15.5,-110,-110,234.5,-111,-110,,,,,-1100,700,-15.5,15.5,-110,-110,234.5,-112,-108,,,,,-1150,730,-15.5,15.5,-110,-110,234.5,-112,-108,,,,,-1250,800,-15,15,-113,-108,234.5,-110,-110,,,,,-1430,800,-15,15,-113,-108,234.5,-110,-110,,,,,,,,,,,,,,,,,,-1250,800,-15,15,-113,-108,234.5,-110,-110,,,,,-1400,800,-15.5,15.5,-110,-110,234.5,-110,-110,,,,,-1250,800,-15.5,15.5,-110,-110,234.5,-110,-110,,,,,-1400,775,-15.5,15.5,-110,-110,234.5,-110,-110,,,,,-1250,800,-15,15,-113,-108,234.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,7:00 PM ET,Wed,12/13/23 @ 7:00 PM ET,,Final,PHI,129,True,DET,111,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","26, 30, 24, 31","39, 31, 34, 25",3,450,-600,11,-11,-112,-110,227,-110,-110,,,,,487,-691,11.5,-11.5,-108,-113,233.5,-112,-110,,,,,500,-700,12,-12,-108,-112,233.5,-108,-112,,,,,500,-700,12,-12,-110,-110,233,-110,-110,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,,,,,,,,,,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,500,-700,12,-12,-110,-110,233.5,-110,-110,,,,,500,-750,12.5,-12.5,-110,-110,233,-110,-110,,,,,600,-900,11.5,-11.5,-105,-115,232.5,-115,-105,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,7:00 PM ET,Mon,12/11/23 @ 7:00 PM ET,,Final,IND,131,True,DET,123,False,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","36, 25, 32, 30","33, 33, 32, 33",3,240,-300,6.5,-6.5,-110,-110,250,-110,-110,,,,,226,-280,7.5,-7.5,-114,-107,246.5,-110,-110,,,,,235,-290,7,-7,-108,-112,247.5,-105,-115,,,,,235,-290,7,-7,-108,-112,247.5,-112,-108,,,,,220,-275,7.5,-7.5,-114,-107,246.5,-110,-110,,,,,215,-275,7.5,-7.5,-114,-107,246.5,-110,-110,,,,,,,,,,,,,,,,,,220,-275,7.5,-7.5,-114,-107,246.5,-110,-110,,,,,228,-285,7,-7,-110,-110,247,-110,-110,,,,,240,-300,7.5,-7.5,-110,-110,247.5,-110,-110,,,,,230,-275,7.5,-7.5,-115,-105,247.5,-110,-110,,,,,220,-275,7.5,-7.5,-114,-107,246.5,-110,-110,,,,,,,,,,,,,,,,,
