Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,1:00 PM ET,Mon,1/15/24 @ 1:00 PM ET,,Scheduled,HOU,,False,PHI,,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/PHI.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-298,240,-7.5,7.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,8:00 PM ET,Fri,12/29/23 @ 8:00 PM ET,,Scheduled,PHI,,False,HOU,,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/HOU.png,,,,,,,,,,3,-115,-105,-1,1,-110,-110,216,-110,-110,,,,,-103,-117,1,-1,-111,-111,218.5,-109,-112,,,,,100,-120,1,-1,-105,-115,221,-110,-110,,,,,100,-118,1.5,-1.5,-110,-110,220,-110,-110,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,-107,-114,1,-1,-112,-109,218.5,-109,-112,,,,,,,,,,,,,,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,105,-125,1,-1,-105,-115,221,-110,-110,,,,,100,-120,1,-1,-110,-110,221.5,-110,-110,,,,,100,-120,1.5,-1.5,-115,-105,220.5,-115,-105,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,8:00 PM ET,Wed,12/27/23 @ 8:00 PM ET,,Final,PHO,129,True,HOU,113,False,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","24, 31, 29, 29","30, 43, 31, 25",3,104,-122,1.5,-1.5,-110,-110,222.5,-110,-110,,,,,126,-152,3,-3,-108,-113,225,-111,-110,,,,,124,-148,3,-3,-108,-112,225,-105,-115,,,,,134,-158,3.5,-3.5,-112,-108,225,-108,-112,,,,,125,-148,3,-3,-107,-113,225,-112,-109,,,,,123,-150,3,-3,-107,-113,225,-112,-109,,,,,,,,,,,,,,,,,,125,-148,3,-3,-107,-113,225,-112,-109,,,,,135,-160,3,-3,-105,-115,225,-110,-110,,,,,130,-160,3,-3,-110,-110,225,-110,-110,,,,,125,-155,2.5,-2.5,-105,-115,225.5,-105,-115,,,,,125,-148,3,-3,-107,-113,225,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,Final,IND,123,True,HOU,117,False,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","33, 34, 23, 27","33, 31, 37, 22",3,-138,118,-2.5,2.5,-110,-110,236.5,-110,-110,,,,,-151,125,-3.5,3.5,-108,-113,240.5,-110,-110,,,,,-142,120,-3,3,-105,-115,240,-112,-108,,,,,-148,126,-3,3,-110,-110,240.5,-108,-112,,,,,-155,130,-3.5,3.5,-108,-113,240.5,-110,-110,,,,,-157,128,-3.5,3.5,-108,-113,240.5,-110,-110,,,,,,,,,,,,,,,,,,-155,130,-3.5,3.5,-108,-113,240.5,-110,-110,,,,,-145,122,-3,3,-110,-110,239,-110,-110,,,,,-145,120,-2.5,2.5,-110,-110,240,-110,-110,,,,,-145,120,-2.5,2.5,-115,-105,240.5,-110,-110,,,,,-155,130,-3.5,3.5,-108,-113,240.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:00 PM ET,Sat,12/23/23 @ 7:00 PM ET,,Final,HOU,106,True,NO,104,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","24, 27, 33, 20","26, 21, 32, 27",3,-218,180,-6,6,-110,-110,223.5,-110,-110,,,,,-316,252,-7.5,7.5,-112,-109,225,-113,-108,,,,,-290,235,-7.5,7.5,-112,-108,226.5,-110,-110,,,,,-290,235,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-335,270,-7.5,7.5,-113,-108,225,-113,-108,,,,,-335,260,-7.5,7.5,-113,-108,225,-113,-108,,,,,,,,,,,,,,,,,,-335,270,-7.5,7.5,-113,-108,225,-113,-108,,,,,-305,240,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-300,240,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-300,230,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-335,270,-7.5,7.5,-113,-108,225,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,8:00 PM ET,Fri,12/22/23 @ 8:00 PM ET,,Final,DAL,96,False,HOU,122,True,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","23, 33, 33, 33","17, 22, 21, 36",3,-145,120,-2.5,2.5,-110,-110,233,-110,-110,,,,,-348,274,-8.5,8.5,-110,-112,222,-113,-108,,,,,-355,280,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-340,275,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-345,275,-8.5,8.5,-109,-112,222,-113,-108,,,,,-360,270,-8.5,8.5,-109,-112,222,-113,-108,,,,,,,,,,,,,,,,,,-345,275,-8.5,8.5,-109,-112,222,-113,-108,,,,,-355,278,-8.5,8.5,-115,-105,222,-105,-115,,,,,-350,260,-8,8,-110,-110,222.5,-110,-110,,,,,-350,275,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-345,275,-8.5,8.5,-109,-112,222,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,8:00 PM ET,Wed,12/20/23 @ 8:00 PM ET,,Final,ATL,134,True,HOU,127,False,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","29, 36, 35, 27","39, 38, 21, 36",3,,,-2.5,2.5,-110,-110,233,-110,-110,,,,,-148,123,-3,3,-113,-109,234,-109,-112,,,,,-142,120,-3,3,-105,-115,232.5,-110,-110,,,,,-142,120,-2.5,2.5,-112,-108,234,-108,-112,,,,,-150,125,-3,3,-113,-108,234,-109,-112,,,,,-152,125,-3,3,-113,-108,234,-109,-112,,,,,,,,,,,,,,,,,,-150,125,-3,3,-113,-108,234,-109,-112,,,,,-165,140,-3.5,3.5,-115,-105,233.5,-105,-115,,,,,-145,120,-3,3,-110,-110,234,-110,-110,,,,,-145,120,-2.5,2.5,-110,-110,233.5,-110,-110,,,,,-150,125,-3,3,-113,-108,234,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:00 PM ET,Mon,12/18/23 @ 7:00 PM ET,,F/OT,HOU,130,False,CLE,135,True,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4, OT","33, 24, 42, 23, 13","34, 25, 39, 24, 8",3,-196,164,-4.5,4.5,-115,-105,214.5,-108,-112,,,,,-176,146,-4,4,-113,-109,215.5,-112,-109,,,,,-170,142,-4,4,-108,-112,215,-112,-108,,,,,-164,138,-3.5,3.5,-112,-108,215.5,-110,-110,,,,,-182,150,-4,4,-114,-107,215.5,-112,-109,,,,,-186,150,-4,4,-114,-107,215.5,-112,-109,,,,,,,,,,,,,,,,,,-182,150,-4,4,-114,-107,215.5,-112,-109,,,,,-170,143,-4,4,-105,-115,215,-110,-110,,,,,-175,145,-4,4,-110,-110,215,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,214.5,-110,-110,,,,,-182,150,-4,4,-114,-107,215.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,7:00 PM ET,Sun,12/17/23 @ 7:00 PM ET,,Final,HOU,119,False,MIL,128,True,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","33, 38, 29, 28","28, 32, 31, 28",3,-260,215,-7,7,-110,-110,230.5,-110,-110,,,,,-286,232,-7.5,7.5,-110,-112,231.5,-110,-110,,,,,-285,230,-7,7,-112,-108,231.5,-112,-108,,,,,-270,220,-7,7,-110,-110,231.5,-110,-110,,,,,-295,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,-305,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,,,,,,,,,,,,,,-295,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,-278,222,-7.5,7.5,-110,-110,231.5,-110,-110,,,,,-275,220,-7.5,7.5,-110,-110,231.5,-110,-110,,,,,-275,225,-7.5,7.5,-105,-115,231.5,-110,-110,,,,,-295,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,8:00 PM ET,Fri,12/15/23 @ 8:00 PM ET,,Final,HOU,103,True,MEM,96,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","29, 26, 19, 22","14, 31, 30, 28",3,140,-166,4,-4,-110,-110,211.5,-110,-110,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,124,-148,2.5,-2.5,-110,-110,212.5,-110,-110,,,,,120,-142,2.5,-2.5,-106,-114,212.5,-110,-110,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,,,,,,,,,,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,126,-150,3,-3,-115,-105,213,-110,-110,,,,,125,-150,3,-3,-110,-110,213,-110,-110,,,,,125,-150,3.5,-3.5,-115,-105,212.5,-110,-110,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,,,,,,,,,,,,,
