Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,10:30 PM ET,Fri,12/29/23 @ 10:30 PM ET,,Scheduled,MEM,,False,LAC,,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/LAC.png,,,,,,,,,,3,-275,225,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,-286,229,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-290,235,-7,7,-110,-110,225.5,-112,-108,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,-286,225,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-260,210,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,,,,,,,,,,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,10:30 PM ET,Tue,12/26/23 @ 10:30 PM ET,,Final,CHA,104,False,LAC,113,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","26, 29, 27, 31","27, 23, 30, 24",3,-670,490,-11,11,-112,-108,228.5,-108,-112,,,,,-579,420,-11.5,11.5,-110,-110,226,-113,-108,,,,,-520,390,-11,11,-110,-110,226.5,-110,-110,,,,,-550,410,-11,11,-112,-108,226.5,-112,-108,,,,,-590,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,-625,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,,,,,,,,,,,,,,-590,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,-600,430,-11.5,11.5,-110,-110,226.5,-105,-115,,,,,-550,400,-11,11,-110,-110,226.5,-110,-110,,,,,-550,400,-11.5,11.5,-105,-115,226.5,-110,-110,,,,,-590,430,-11.5,11.5,-110,-110,226,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,3:30 PM ET,Sat,12/23/23 @ 3:30 PM ET,,Final,BOS,145,True,LAC,108,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","21, 30, 30, 27","28, 40, 38, 39",3,-102,-116,1,-1,-110,-110,229.5,-110,-110,,,,,141,-172,4.5,-4.5,-112,-109,232,-110,-112,,,,,154,-185,4.5,-4.5,-110,-110,232,-110,-110,,,,,148,-176,4.5,-4.5,-110,-110,232,-110,-110,,,,,135,-162,4.5,-4.5,-113,-108,232,-109,-112,,,,,133,-165,4.5,-4.5,-113,-108,232,-109,-112,,,,,,,,,,,,,,,,,,135,-162,4.5,-4.5,-113,-108,232,-109,-112,,,,,118,-140,2.5,-2.5,-105,-115,231,-110,-110,,,,,150,-180,4.5,-4.5,-110,-110,232.5,-110,-110,,,,,155,-190,4.5,-4.5,-110,-110,231.5,-115,-105,,,,,135,-162,4.5,-4.5,-113,-108,232,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,8:00 PM ET,Thu,12/21/23 @ 8:00 PM ET,,Final,LAC,115,False,OKC,134,True,/assets/images/nba/logos/LAC.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 29, 45, 25","29, 30, 33, 23",3,-192,160,-4.5,4.5,-110,-110,233.5,-110,-110,,,,,-234,190,-6,6,-113,-109,237.5,-112,-110,,,,,-238,195,-6.5,6.5,-110,-110,238,-112,-108,,,,,-230,190,-6,6,-110,-110,237.5,-110,-110,,,,,-230,190,-6,6,-113,-108,237.5,-112,-109,,,,,-235,185,-6,6,-113,-108,237.5,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-6,6,-113,-108,237.5,-112,-109,,,,,-240,196,-6,6,-110,-110,237.5,-110,-110,,,,,-240,190,-6.5,6.5,-110,-110,238,-110,-110,,,,,-250,190,-6.5,6.5,-105,-115,237.5,-115,-105,,,,,-230,190,-6,6,-113,-108,237.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,8:30 PM ET,Wed,12/20/23 @ 8:30 PM ET,,Final,LAC,120,True,DAL,111,False,/assets/images/nba/logos/LAC.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","22, 34, 27, 28","35, 32, 18, 35",3,,,3.5,-3.5,-110,-110,240.5,-110,-110,,,,,101,-122,1,-1,-110,-110,237,-110,-110,,,,,105,-125,2,-2,-112,-108,237.5,-112,-108,,,,,112,-132,2,-2,-108,-112,237.5,-108,-112,,,,,-104,-115,1,-1,-110,-110,237,-110,-110,,,,,-105,-117,1,-1,-110,-110,237,-110,-110,,,,,,,,,,,,,,,,,,-104,-115,1,-1,-110,-110,237,-110,-110,,,,,110,-130,2,-2,-105,-115,236.5,-110,-110,,,,,105,-125,2,-2,-110,-110,238,-110,-110,,,,,105,-130,1.5,-1.5,-105,-115,237.5,-110,-110,,,,,-104,-115,1,-1,-110,-110,237,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:00 PM ET,Mon,12/18/23 @ 7:00 PM ET,,Final,LAC,151,True,IND,127,False,/assets/images/nba/logos/LAC.png,/assets/images/nba/logos/IND.png,,,,,,,"Q1, Q2, Q3, Q4","38, 28, 28, 33","37, 40, 37, 37",3,120,-145,3,-3,-110,-110,239.5,-110,-110,,,,,139,-167,3.5,-3.5,-112,-109,250,-112,-109,,,,,142,-170,4,-4,-112,-108,253.5,-110,-110,,,,,156,-186,4,-4,-110,-110,252.5,-108,-112,,,,,135,-159,3.5,-3.5,-112,-109,250,-112,-109,,,,,132,-162,3.5,-3.5,-112,-109,250,-112,-109,,,,,,,,,,,,,,,,,,135,-159,3.5,-3.5,-112,-109,250,-112,-109,,,,,143,-170,4,-4,-110,-110,247,-115,-105,,,,,145,-175,4,-4,-110,-110,252.5,-110,-110,,,,,145,-175,3.5,-3.5,-105,-115,253.5,-110,-110,,,,,135,-159,3.5,-3.5,-112,-109,250,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,10:30 PM ET,Sat,12/16/23 @ 10:30 PM ET,,Final,NY,122,False,LAC,144,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 42, 37, 30","33, 33, 32, 24",3,-235,194,-5.5,5.5,-110,-110,228.5,-112,-108,,,,,-280,229,-7,7,-107,-114,230.5,-109,-112,,,,,-258,210,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-260,215,-6.5,6.5,-110,-110,229.5,-112,-108,,,,,-286,235,-7,7,-107,-114,230.5,-109,-112,,,,,-295,230,-7,7,-107,-114,230.5,-109,-112,,,,,,,,,,,,,,,,,,-286,235,-7,7,-107,-114,230.5,-109,-112,,,,,-260,210,-6.5,6.5,-115,-105,229.5,-110,-110,,,,,-260,210,-6.5,6.5,-110,-110,230.5,-110,-110,,,,,-275,220,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-286,235,-7,7,-107,-114,230.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,10:30 PM ET,Thu,12/14/23 @ 10:30 PM ET,,Final,GS,113,False,LAC,121,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","29, 40, 30, 22","28, 28, 37, 20",3,,,-5.5,5.5,-110,-110,231.5,-110,-110,,,,,-146,121,-3,3,-113,-108,230.5,-109,-112,,,,,-125,105,-2,2,-112,-108,231,-112,-108,,,,,-136,116,-2.5,2.5,-112,-108,230.5,-110,-110,,,,,-152,128,-3,3,-113,-108,230.5,-109,-112,,,,,-155,125,-3,3,-113,-108,230.5,-109,-112,,,,,,,,,,,,,,,,,,-152,128,-3,3,-113,-108,230.5,-109,-112,,,,,-225,185,-5.5,5.5,-115,-105,231,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,232,-110,-110,,,,,-135,110,-2.5,2.5,-105,-115,231.5,-110,-110,,,,,-152,128,-3,3,-113,-108,230.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,10:30 PM ET,Tue,12/12/23 @ 10:30 PM ET,,Final,SAC,99,False,LAC,119,True,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","32, 38, 29, 20","24, 24, 22, 29",3,-215,180,-5,5,-110,-110,229.5,-110,-110,,,,,-159,134,-3.5,3.5,-108,-114,237.5,-110,-110,,,,,-170,142,-3.5,3.5,-112,-108,237.5,-112,-108,,,,,-166,140,-3.5,3.5,-110,-110,237,-110,-110,,,,,-157,133,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,-159,130,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,,,,,,,,,,,,,,-157,133,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,237.5,-115,-105,,,,,-170,140,-3.5,3.5,-110,-110,237.5,-110,-110,,,,,-175,145,-3.5,3.5,-115,-105,237.5,-110,-110,,,,,-157,133,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,10:30 PM ET,Mon,12/11/23 @ 10:30 PM ET,,Final,POR,127,False,LAC,132,True,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","43, 23, 39, 27","32, 33, 34, 28",3,-850,590,-12.5,12.5,-110,-110,216.5,-110,-110,,,,,-1101,696,-14.5,14.5,-110,-112,220.5,-110,-112,,,,,-1050,675,-14.5,14.5,-112,-108,220.5,-108,-112,,,,,-1100,700,-14.5,14.5,-112,-108,220.5,-110,-110,,,,,-1115,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,-1250,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,,,,,,,,,,,,,,-1115,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,-1100,700,-14.5,14.5,-115,-105,220.5,-110,-110,,,,,-899,600,-14,14,-110,-110,219.5,-110,-110,,,,,-1200,750,-14.5,14.5,-110,-110,220.5,-110,-110,,,,,-1115,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,,,,,,,,,,,,,
