Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,10:30 PM ET,Mon,1/15/24 @ 10:30 PM ET,,Scheduled,OKC,,False,LAL,,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/LAL.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-192,160,-4.5,4.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,10:30 PM ET,Thu,12/28/23 @ 10:30 PM ET,,Final,CHA,112,False,LAL,133,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/LAL.png,,,,,,,"Q1, Q2, Q3, Q4","28, 30, 41, 34","31, 26, 23, 32",3,-850,590,-12.5,12.5,-110,-110,228.5,-110,-110,,,,,-982,613,-13.5,13.5,-108,-113,228,-109,-112,,,,,-750,525,-13,13,-108,-112,226.5,-112,-108,,,,,-900,610,-13,13,-114,-106,227,-110,-110,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,,,,,,,,,,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,-800,550,-12.5,12.5,-110,-110,226.5,-110,-110,,,,,-899,600,-13,13,-110,-110,227,-110,-110,,,,,-800,550,-13.5,13.5,-105,-115,227.5,-105,-115,,,,,-1115,650,-13.5,13.5,-108,-113,228,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,5:00 PM ET,Mon,12/25/23 @ 5:00 PM ET,,Final,BOS,126,True,LAL,115,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/LAL.png,,,,,,,"Q1, Q2, Q3, Q4","23, 34, 33, 25","32, 26, 41, 27",3,103,-125,1.5,-1.5,-109,-113,239.5,-110,-114,,,,,161,-197,5,-5,-111,-110,235,-109,-112,,,,,160,-192,5,-5,-118,-102,234.5,-115,-105,,,,,166,-198,5,-5,-112,-108,235,-110,-110,,,,,163,-195,5,-5,-110,-110,235,-109,-112,,,,,163,-200,5,-5,-110,-110,235,-109,-112,,,,,,,,,,,,,,,,,,163,-195,5,-5,-110,-110,235,-109,-112,,,,,175,-210,5,-5,-105,-115,236,-110,-110,,,,,165,-200,5,-5,-110,-110,234.5,-110,-110,,,,,155,-190,4.5,-4.5,-105,-115,234.5,-115,-105,,,,,163,-195,5,-5,-110,-110,235,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:00 PM ET,Sat,12/23/23 @ 8:00 PM ET,,Final,LAL,129,True,OKC,120,False,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","39, 20, 32, 29","36, 35, 36, 22",3,-180,152,-4,4,-112,-108,236.5,-110,-110,,,,,-164,136,-3.5,3.5,-110,-110,239,-112,-110,,,,,-155,130,-3.5,3.5,-105,-115,239,-110,-110,,,,,-164,138,-3.5,3.5,-110,-110,239,-110,-110,,,,,-165,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,-167,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,,,,,,,,,,,,,,-165,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,-165,140,-4,4,-110,-110,239,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,239,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,238.5,-115,-105,,,,,-165,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,9:00 PM ET,Thu,12/21/23 @ 9:00 PM ET,,Final,LAL,111,False,MIN,118,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/MIN.png,,,,,,,"Q1, Q2, Q3, Q4","36, 27, 24, 31","32, 27, 24, 28",3,-200,166,-5,5,-110,-110,224.5,-110,-110,,,,,-328,261,-8,8,-112,-109,222,-109,-113,,,,,-345,275,-8.5,8.5,-110,-110,222,-110,-110,,,,,-360,290,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-315,260,-8,8,-112,-109,222,-108,-113,,,,,-335,255,-8,8,-112,-109,222,-108,-113,,,,,,,,,,,,,,,,,,-315,260,-8,8,-112,-109,222,-108,-113,,,,,-355,278,-8.5,8.5,-110,-110,223.5,-110,-110,,,,,-325,250,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-350,260,-8.5,8.5,-110,-110,221.5,-115,-105,,,,,-315,260,-8,8,-112,-109,222,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,8:00 PM ET,Wed,12/20/23 @ 8:00 PM ET,,Final,LAL,108,False,CHI,124,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","33, 28, 29, 34","22, 33, 23, 30",3,215,-265,7,-7,-110,-110,223.5,-110,-110,,,,,141,-170,3.5,-3.5,-111,-110,224,-112,-109,,,,,145,-175,3.5,-3.5,-108,-112,225.5,-110,-110,,,,,142,-168,3.5,-3.5,-108,-112,225,-110,-110,,,,,138,-165,3.5,-3.5,-112,-109,224,-112,-109,,,,,135,-167,3.5,-3.5,-112,-109,224,-112,-109,,,,,,,,,,,,,,,,,,138,-165,3.5,-3.5,-112,-109,224,-112,-109,,,,,150,-178,4,-4,-115,-105,224,-110,-110,,,,,145,-175,3.5,-3.5,-110,-110,225.5,-110,-110,,,,,145,-175,3.5,-3.5,-105,-115,224.5,-115,-105,,,,,138,-165,3.5,-3.5,-112,-109,224,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,10:30 PM ET,Mon,12/18/23 @ 10:30 PM ET,,Final,NY,114,True,LAL,109,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/LAL.png,,,,,,,"Q1, Q2, Q3, Q4","27, 31, 22, 29","35, 22, 33, 24",3,-192,160,-4.5,4.5,-110,-110,226.5,-110,-110,,,,,-195,160,-4.5,4.5,-113,-109,234.5,-109,-112,,,,,-192,160,-4.5,4.5,-112,-108,236,-110,-110,,,,,-190,158,-4.5,4.5,-110,-110,234.5,-110,-110,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,,,,,,,,,,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,-195,162,-4.5,4.5,-115,-105,235.5,-115,-105,,,,,-190,160,-5,5,-110,-110,234.5,-110,-110,,,,,-210,170,-4.5,4.5,-115,-105,235.5,-110,-110,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:30 PM ET,Fri,12/15/23 @ 7:30 PM ET,,Final,LAL,115,False,SA,129,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","42, 27, 29, 31","22, 40, 25, 28",3,142,-168,4,-4,-110,-110,232,-110,-110,,,,,155,-188,4.5,-4.5,-113,-108,235,-113,-108,,,,,150,-180,4,-4,-108,-112,235.5,-110,-110,,,,,150,-178,4,-4,-110,-110,235.5,-110,-110,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,,,,,,,,,,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,152,-180,4,-4,100,-120,236,-110,-110,,,,,145,-175,4.5,-4.5,-110,-110,235.5,-110,-110,,,,,140,-165,3.5,-3.5,-105,-115,236.5,-110,-110,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,8:00 PM ET,Wed,12/13/23 @ 8:00 PM ET,,Final,LAL,122,True,SA,119,False,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","26, 24, 24, 45","34, 29, 29, 30",3,205,-250,6,-6,-110,-110,230,-110,-110,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,140,-166,3.5,-3.5,-108,-112,231,-115,-105,,,,,138,-164,3.5,-3.5,-110,-110,230,-112,-110,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,138,-167,3.5,-3.5,-110,-110,230,-110,-110,,,,,,,,,,,,,,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,140,-165,3.5,-3.5,-110,-110,233,-115,-105,,,,,130,-160,3.5,-3.5,-110,-110,230.5,-110,-110,,,,,140,-165,3.5,-3.5,-110,-110,231.5,-105,-115,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,7:30 PM ET,Tue,12/12/23 @ 7:30 PM ET,,Final,LAL,125,False,DAL,127,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","34, 37, 22, 34","26, 35, 34, 30",3,100,-120,1.5,-1.5,-110,-110,235.5,-110,-110,,,,,122,-146,3,-3,-109,-112,235.5,-113,-109,,,,,130,-155,3.5,-3.5,-115,-105,235.5,-110,-110,,,,,132,-156,3.5,-3.5,-112,-108,236,-110,-110,,,,,118,-139,3,-3,-109,-112,235.5,-112,-109,,,,,116,-141,3,-3,-109,-112,235.5,-112,-109,,,,,,,,,,,,,,,,,,118,-139,3,-3,-109,-112,235.5,-112,-109,,,,,126,-150,3,-3,-105,-115,235.5,-115,-105,,,,,125,-150,3,-3,-110,-110,235.5,-110,-110,,,,,125,-150,3.5,-3.5,-115,-105,235.5,-115,-105,,,,,118,-139,3,-3,-109,-112,235.5,-112,-109,,,,,,,,,,,,,,,,,
