Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,6:00 PM ET,Mon,1/15/24 @ 6:00 PM ET,,Scheduled,GS,,False,MEM,,False,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/MEM.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-120,100,-1,1,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,10:30 PM ET,Fri,12/29/23 @ 10:30 PM ET,,Scheduled,MEM,,False,LAC,,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/LAC.png,,,,,,,,,,3,-275,225,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,-286,229,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-290,235,-7,7,-110,-110,225.5,-112,-108,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,-286,225,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,,-260,210,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,,,,,,,,,,,,,,-286,230,-6.5,6.5,-108,-113,224.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,9:00 PM ET,Thu,12/28/23 @ 9:00 PM ET,,Final,MEM,105,False,DEN,142,True,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","33, 32, 41, 36","27, 21, 35, 22",3,-250,205,-6,6,-110,-110,227.5,-110,-110,,,,,-408,316,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,-395,310,-9,9,-110,-110,222.5,-112,-108,,,,,-375,300,-9,9,-110,-110,223,-108,-112,,,,,-420,325,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,-420,310,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,,,,,,,,,,,,,,-420,325,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,-440,335,-9.5,9.5,-110,-110,222,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-400,310,-8.5,8.5,-115,-105,222.5,-110,-110,,,,,-420,325,-9.5,9.5,-108,-113,221.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,F/OT,MEM,116,True,NO,115,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4, OT","19, 29, 32, 23, 12","24, 19, 24, 36, 13",3,-176,148,-4,4,-110,-110,229.5,-110,-110,,,,,-190,158,-4.5,4.5,-110,-112,229.5,-113,-109,,,,,-185,154,-5,5,-108,-112,229,-112,-108,,,,,-190,160,-5,5,-108,-112,229.5,-110,-110,,,,,-190,160,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,-195,155,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,,,,,,,,,,,,,,-190,160,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,-190,158,-4.5,4.5,-115,-105,229.5,-115,-105,,,,,-190,160,-4.5,4.5,-110,-110,229,-110,-110,,,,,-190,155,-4.5,4.5,-115,-105,229.5,-110,-110,,,,,-190,160,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:30 PM ET,Sat,12/23/23 @ 7:30 PM ET,,Final,MEM,125,True,ATL,119,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/ATL.png,,,,,,,"Q1, Q2, Q3, Q4","32, 28, 33, 26","25, 25, 40, 35",3,-110,-110,1,-1,-115,-105,241.5,-110,-110,,,,,-121,101,-1.5,1.5,-110,-110,237,-111,-110,,,,,-125,105,-2,2,-105,-115,237,-112,-108,,,,,-124,106,-1.5,1.5,-112,-108,237,-112,-108,,,,,-115,-103,-1.5,1.5,-110,-110,237,-110,-110,,,,,-118,-104,-1.5,1.5,-110,-110,237,-110,-110,,,,,,,,,,,,,,,,,,-115,-103,-1.5,1.5,-110,-110,237,-110,-110,,,,,-130,110,-1.5,1.5,-110,-110,237.5,-110,-110,,,,,-125,105,-1.5,1.5,-110,-110,237.5,-110,-110,,,,,-125,105,-1.5,1.5,-110,-110,237.5,-110,-110,,,,,-115,-103,-1.5,1.5,-110,-110,237,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,8:00 PM ET,Thu,12/21/23 @ 8:00 PM ET,,Final,IND,103,False,MEM,116,True,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","35, 23, 28, 30","22, 34, 21, 26",3,-162,136,-4,4,-110,-110,245.5,-110,-110,,,,,-138,115,-2.5,2.5,-114,-108,246,-110,-110,,,,,-130,110,-2,2,-108,-112,247,-105,-115,,,,,-142,120,-2.5,2.5,-110,-110,245.5,-110,-110,,,,,-139,118,-2.5,2.5,-114,-107,246,-110,-110,,,,,-141,116,-2.5,2.5,-114,-107,246,-110,-110,,,,,,,,,,,,,,,,,,-139,118,-2.5,2.5,-114,-107,246,-110,-110,,,,,-140,118,-2,2,-105,-115,246,-110,-110,,,,,-130,110,-2,2,-110,-110,246.5,-110,-110,,,,,-135,110,-2.5,2.5,-105,-115,246.5,-110,-110,,,,,-139,118,-2.5,2.5,-114,-107,246,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,7:30 PM ET,Tue,12/19/23 @ 7:30 PM ET,,Final,MEM,115,True,NO,113,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","21, 39, 27, 26","25, 16, 36, 38",3,-240,190,-6,6,-110,-110,232.5,-110,-110,,,,,-379,298,-8.5,8.5,-112,-109,229.5,-110,-111,,,,,-360,285,-9,9,-110,-110,229.5,-110,-110,,,,,-400,315,-8.5,8.5,-112,-108,229.5,-108,-112,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,,,,,,,,,,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,-345,270,-8.5,8.5,-115,-105,229,-110,-110,,,,,-375,300,-9,9,-110,-110,230,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,229.5,-105,-115,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,8:00 PM ET,Mon,12/18/23 @ 8:00 PM ET,,Final,MEM,97,False,OKC,116,True,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","34, 34, 26, 22","26, 27, 13, 31",3,-400,310,-9,9,-110,-110,227,-110,-110,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,-520,390,-10.5,10.5,-108,-112,229.5,-105,-115,,,,,-520,400,-10.5,10.5,-110,-110,229.5,-108,-112,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,-500,370,-10.5,10.5,-108,-113,230,-110,-110,,,,,,,,,,,,,,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,-550,400,-10.5,10.5,-110,-110,229.5,-110,-110,,,,,-500,375,-10.5,10.5,-110,-110,230,-110,-110,,,,,-500,360,-10.5,10.5,-105,-115,229.5,-110,-110,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,8:00 PM ET,Fri,12/15/23 @ 8:00 PM ET,,Final,HOU,103,True,MEM,96,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","29, 26, 19, 22","14, 31, 30, 28",3,140,-166,4,-4,-110,-110,211.5,-110,-110,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,124,-148,2.5,-2.5,-110,-110,212.5,-110,-110,,,,,120,-142,2.5,-2.5,-106,-114,212.5,-110,-110,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,,,,,,,,,,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,126,-150,3,-3,-115,-105,213,-110,-110,,,,,125,-150,3,-3,-110,-110,213,-110,-110,,,,,125,-150,3.5,-3.5,-115,-105,212.5,-110,-110,,,,,130,-157,3,-3,-106,-115,212.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,8:00 PM ET,Wed,12/13/23 @ 8:00 PM ET,,Final,MEM,104,False,HOU,117,True,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","29, 28, 25, 35","23, 20, 38, 23",3,-290,235,-7,7,-110,-110,211,-112,-108,,,,,-480,370,-10,10,-110,-110,209.5,-113,-108,,,,,-425,330,-10,10,-108,-112,209,-115,-105,,,,,-450,350,-10,10,-112,-108,210.5,-108,-112,,,,,-480,370,-10,10,-110,-110,209.5,-113,-108,,,,,-480,350,-10,10,-110,-110,209.5,-113,-108,,,,,,,,,,,,,,,,,,-480,370,-10,10,-110,-110,209.5,-113,-108,,,,,-430,328,-9.5,9.5,-110,-110,209.5,-105,-115,,,,,-450,350,-9.5,9.5,-110,-110,210,-110,-110,,,,,-600,425,-9.5,9.5,-110,-110,209.5,-115,-105,,,,,-480,370,-10,10,-110,-110,209.5,-113,-108,,,,,,,,,,,,,,,,,
