Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,7:30 PM ET,Mon,1/15/24 @ 7:30 PM ET,,Scheduled,MIA,,False,BKN,,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/BKN.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,110,-130,2,-2,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,10:00 PM ET,Thu,12/28/23 @ 10:00 PM ET,,Final,MIA,114,True,GS,102,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","25, 26, 25, 26","22, 36, 33, 23",3,-132,112,-2,2,-112,-108,224.5,-110,-110,,,,,-247,201,-6.5,6.5,-110,-110,232,-112,-110,,,,,-258,210,-6.5,6.5,-110,-110,232,-112,-108,,,,,-260,215,-6.5,6.5,-110,-110,232,-110,-110,,,,,-245,200,-6.5,6.5,-110,-110,232,-112,-109,,,,,-245,195,-6.5,6.5,-110,-110,232,-112,-109,,,,,,,,,,,,,,,,,,-245,200,-6.5,6.5,-110,-110,232,-112,-109,,,,,-250,205,-6.5,6.5,-115,-105,231,-110,-110,,,,,-240,190,-6.5,6.5,-110,-110,232,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,232.5,-105,-115,,,,,-245,200,-6.5,6.5,-110,-110,232,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,8:00 PM ET,Mon,12/25/23 @ 8:00 PM ET,,Final,PHI,113,False,MIA,119,True,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","26, 37, 23, 33","22, 27, 37, 27",3,-130,107,-2,2,-110,-110,218.5,-110,-110,,,,,-134,111,-2,2,-111,-109,227.5,-110,-112,,,,,-142,120,-2,2,-115,-105,227.5,-112,-108,,,,,-138,118,-2.5,2.5,-110,-110,228,-108,-112,,,,,-127,107,-2,2,-110,-110,227.5,-109,-112,,,,,-129,106,-2,2,-110,-110,227.5,-109,-112,,,,,,,,,,,,,,,,,,-127,107,-2,2,-110,-110,227.5,-109,-112,,,,,-140,118,-2,2,-115,-105,227.5,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,228,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,227.5,-110,-110,,,,,-127,107,-2,2,-110,-110,227.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,8:00 PM ET,Fri,12/22/23 @ 8:00 PM ET,,Final,ATL,113,False,MIA,122,True,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","33, 29, 26, 34","26, 34, 26, 27",3,-120,102,-1.5,1.5,-110,-110,238.5,-110,-110,,,,,-118,-102,-1.5,1.5,-110,-110,238.5,-109,-112,,,,,-115,-105,-1,1,-110,-110,238.5,-112,-108,,,,,-116,-102,-1,1,-110,-110,238.5,-110,-110,,,,,-118,100,-1.5,1.5,-110,-110,238.5,-108,-113,,,,,-120,-103,-1.5,1.5,-110,-110,238.5,-108,-113,,,,,,,,,,,,,,,,,,-118,100,-1.5,1.5,-110,-110,238.5,-108,-113,,,,,-120,100,-1,1,-110,-110,238.5,-110,-110,,,,,-120,100,-1,1,-110,-110,239,-110,-110,,,,,-115,-105,-1.5,1.5,-105,-115,238.5,-110,-110,,,,,-118,100,-1.5,1.5,-110,-110,238.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:00 PM ET,Wed,12/20/23 @ 7:00 PM ET,,Final,MIA,115,True,ORL,106,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/ORL.png,,,,,,,"Q1, Q2, Q3, Q4","24, 26, 22, 34","25, 43, 21, 26",3,-185,154,-5,5,-110,-110,217.5,-110,-110,,,,,-212,173,-5.5,5.5,-111,-110,219,-108,-113,,,,,-205,170,-5.5,5.5,-110,-110,219.5,-108,-112,,,,,-215,180,-5.5,5.5,-110,-110,219.5,-108,-112,,,,,-215,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,-220,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,,,,,,,,,,,,,,-215,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,-205,170,-5.5,5.5,-110,-110,219,-105,-115,,,,,-210,175,-5.5,5.5,-110,-110,219.5,-110,-110,,,,,-210,170,-5.5,5.5,-110,-110,219.5,-110,-110,,,,,-215,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:30 PM ET,Mon,12/18/23 @ 7:30 PM ET,,Final,MIN,112,True,MIA,108,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","33, 33, 17, 25","22, 32, 23, 35",3,130,-160,3,-3,-110,-110,220,-110,-110,,,,,105,-125,2,-2,-110,-110,218,-108,-113,,,,,105,-125,1.5,-1.5,-108,-112,217,-112,-108,,,,,108,-126,2,-2,-112,-108,217,-112,-108,,,,,105,-124,2,-2,-110,-110,218,-108,-113,,,,,104,-125,2,-2,-110,-110,218,-108,-113,,,,,,,,,,,,,,,,,,105,-124,2,-2,-110,-110,218,-108,-113,,,,,115,-135,2,-2,-105,-115,217.5,-110,-110,,,,,110,-130,2,-2,-110,-110,217,-110,-110,,,,,110,-135,1.5,-1.5,-105,-115,217.5,-105,-115,,,,,105,-124,2,-2,-110,-110,218,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,8:00 PM ET,Sat,12/16/23 @ 8:00 PM ET,,Final,CHI,116,False,MIA,118,True,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","36, 22, 33, 27","24, 33, 23, 36",3,-200,168,-5,5,-110,-110,215.5,-110,-110,,,,,-226,186,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,-192,160,-4.5,4.5,-115,-105,219.5,-115,-105,,,,,-194,162,-5,5,-110,-110,219.5,-110,-110,,,,,-230,190,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,-235,185,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,-210,175,-5,5,-110,-110,218,-110,-110,,,,,-210,175,-5.5,5.5,-110,-110,220,-110,-110,,,,,-190,155,-4.5,4.5,-110,-110,219.5,-110,-110,,,,,-230,190,-5.5,5.5,-114,-107,219.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,7:30 PM ET,Thu,12/14/23 @ 7:30 PM ET,,Final,CHI,124,True,MIA,116,False,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","22, 34, 32, 28","36, 24, 33, 31",3,-225,185,-5.5,5.5,-110,-110,216,-110,-110,,,,,-166,138,-3.5,3.5,-112,-109,214,-112,-108,,,,,-166,140,-3.5,3.5,-110,-110,213,-110,-110,,,,,-162,136,-3.5,3.5,-110,-110,213,-110,-110,,,,,-167,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,-175,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,,,,,,,,,,,,,,-167,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,-165,140,-3.5,3.5,-110,-110,213,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,213,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,212.5,-115,-105,,,,,-167,140,-3.5,3.5,-114,-107,214,-112,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,7:30 PM ET,Wed,12/13/23 @ 7:30 PM ET,,Final,CHA,104,False,MIA,115,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","22, 34, 35, 24","23, 22, 25, 34",3,-400,315,-9,9,-110,-110,226.5,-110,-110,,,,,-336,270,-8,8,-107,-114,222.5,-109,-112,,,,,-340,270,-7.5,7.5,-115,-105,222,-115,-105,,,,,-320,260,-7.5,7.5,-110,-110,222.5,-108,-112,,,,,-335,270,-8,8,-107,-114,222.5,-109,-112,,,,,-335,265,-8,8,-107,-114,222.5,-109,-112,,,,,,,,,,,,,,,,,,-335,270,-8,8,-107,-114,222.5,-109,-112,,,,,-345,270,-7.5,7.5,-120,100,222,-110,-110,,,,,-350,280,-8,8,-110,-110,222,-110,-110,,,,,-350,270,-7.5,7.5,-115,-105,222.5,-105,-115,,,,,-335,270,-8,8,-107,-114,222.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,7:00 PM ET,Mon,12/11/23 @ 7:00 PM ET,,Final,MIA,116,True,CHA,114,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","24, 26, 27, 37","29, 30, 30, 27",3,126,-148,3,-3,-110,-110,219.5,-111,-109,,,,,146,-179,4,-4,-110,-110,221,-110,-110,,,,,154,-185,4.5,-4.5,-112,-108,222.5,-112,-108,,,,,158,-188,4.5,-4.5,-110,-110,222.5,-112,-108,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,,,,,,,,,,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,140,-165,3.5,-3.5,-110,-110,221,-110,-110,,,,,150,-180,4.5,-4.5,-110,-110,222.5,-110,-110,,,,,150,-185,3.5,-3.5,-105,-115,222.5,-115,-105,,,,,143,-175,4,-4,-110,-110,221,-110,-110,,,,,,,,,,,,,,,,,
