Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,MIL,,False,CLE,,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/CLE.png,,,,,,,,,,3,175,-210,5,-5,-110,-110,239,-110,-110,,,,,182,-223,5,-5,-109,-112,239,-109,-112,,,,,205,-250,5.5,-5.5,-112,-108,239.5,-110,-110,,,,,200,-245,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,170,-210,5,-5,-109,-112,239,-109,-112,,,,,,,,,,,,,,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,185,-225,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,185,-225,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,190,-250,5.5,-5.5,-110,-110,239.5,-110,-110,,,,,175,-210,5,-5,-109,-112,239,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,7:30 PM ET,Wed,12/27/23 @ 7:30 PM ET,,Final,MIL,144,True,BKN,122,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","31, 28, 33, 30","32, 34, 34, 44",3,120,-142,2.5,-2.5,-110,-110,241,-110,-110,,,,,348,-455,9.5,-9.5,-108,-113,244,-109,-112,,,,,360,-470,10,-10,-105,-115,244,-115,-105,,,,,350,-450,10,-10,-110,-110,244,-110,-110,,,,,340,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,330,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,,340,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,360,-480,10,-10,-110,-110,244,-110,-110,,,,,375,-500,10,-10,-110,-110,244,-110,-110,,,,,360,-500,10.5,-10.5,-115,-105,244.5,-110,-110,,,,,340,-435,9.5,-9.5,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,12:00 PM ET,Mon,12/25/23 @ 12:00 PM ET,,Final,MIL,122,False,NY,129,True,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/NY.png,,,,,,,"Q1, Q2, Q3, Q4","36, 26, 36, 31","27, 24, 36, 35",3,144,-178,4,-4,-110,-110,224.5,-110,-110,,,,,135,-162,3.5,-3.5,-111,-110,243,-109,-112,,,,,140,-166,3.5,-3.5,-112,-108,242.5,-110,-110,,,,,140,-166,3.5,-3.5,-112,-108,243.5,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,243,-109,-112,,,,,133,-162,3.5,-3.5,-110,-110,243,-109,-112,,,,,,,,,,,,,,,,,,135,-159,3.5,-3.5,-110,-110,243,-109,-112,,,,,140,-165,3,-3,-110,-110,242,-110,-110,,,,,130,-160,3,-3,-110,-110,243.5,-110,-110,,,,,135,-160,3.5,-3.5,-115,-105,242.5,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,243,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,12:30 PM ET,Sat,12/23/23 @ 12:30 PM ET,,Final,MIL,130,True,NY,111,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/NY.png,,,,,,,"Q1, Q2, Q3, Q4","27, 27, 33, 24","36, 26, 38, 30",3,105,-125,2,-2,-110,-110,239.5,-110,-110,,,,,110,-132,2,-2,-108,-114,244,-109,-112,,,,,110,-130,2,-2,-105,-115,244,-110,-110,,,,,116,-136,2,-2,-106,-114,244,-110,-110,,,,,110,-130,2,-2,-108,-113,244,-108,-113,,,,,108,-132,2,-2,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,,110,-130,2,-2,-108,-113,244,-108,-113,,,,,110,-130,2.5,-2.5,-110,-110,242.5,-110,-110,,,,,110,-130,2,-2,-110,-110,244,-110,-110,,,,,115,-140,2.5,-2.5,-110,-110,243.5,-115,-105,,,,,110,-130,2,-2,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,8:00 PM ET,Thu,12/21/23 @ 8:00 PM ET,,Final,ORL,114,False,MIL,118,True,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","28, 31, 32, 27","31, 25, 26, 32",3,,,-7.5,7.5,-110,-110,239.5,-110,-110,,,,,-384,300,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-110,-110,238.5,-108,-112,,,,,-360,290,-8.5,8.5,-114,-106,238,-110,-110,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,-365,285,-8.5,8.5,-110,-110,238,-110,-110,,,,,-375,300,-9,9,-110,-110,239,-110,-110,,,,,-375,290,-8.5,8.5,-110,-110,238.5,-110,-110,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,8:00 PM ET,Tue,12/19/23 @ 8:00 PM ET,,Final,SA,119,False,MIL,132,True,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","44, 28, 35, 25","26, 33, 26, 34",3,-750,500,-13.5,13.5,-110,-110,247.5,-110,-110,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,-1450,850,-16.5,16.5,-112,-108,248.5,-110,-110,,,,,-1500,870,-16.5,16.5,-110,-110,249.5,-110,-110,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,-2500,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,,,,,,,,,,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,-1600,900,-16.5,16.5,-110,-110,249,-115,-105,,,,,-1399,800,-16.5,16.5,-110,-110,249,-110,-110,,,,,-2000,1000,-16.5,16.5,-110,-110,249.5,-105,-115,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,7:00 PM ET,Sun,12/17/23 @ 7:00 PM ET,,Final,HOU,119,False,MIL,128,True,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","33, 38, 29, 28","28, 32, 31, 28",3,-260,215,-7,7,-110,-110,230.5,-110,-110,,,,,-286,232,-7.5,7.5,-110,-112,231.5,-110,-110,,,,,-285,230,-7,7,-112,-108,231.5,-112,-108,,,,,-270,220,-7,7,-110,-110,231.5,-110,-110,,,,,-295,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,-305,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,,,,,,,,,,,,,,-295,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,-278,222,-7.5,7.5,-110,-110,231.5,-110,-110,,,,,-275,220,-7.5,7.5,-110,-110,231.5,-110,-110,,,,,-275,225,-7.5,7.5,-105,-115,231.5,-110,-110,,,,,-295,240,-7.5,7.5,-109,-112,232.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,6:00 PM ET,Sat,12/16/23 @ 6:00 PM ET,,Final,DET,114,False,MIL,146,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","43, 38, 33, 32","20, 36, 27, 31",3,-2200,1100,-17,17,-110,-110,240.5,-110,-110,,,,,-1520,833,-16.5,16.5,-110,-111,241.5,-110,-110,,,,,-1350,800,-16.5,16.5,-115,-105,240.5,-110,-110,,,,,-1200,750,-16.5,16.5,-110,-110,241,-110,-110,,,,,-1667,900,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,-1667,850,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,,,,,,,,,,,,,,-1667,900,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,-1400,800,-16.5,16.5,-110,-110,241,-110,-110,,,,,-1250,800,-16.5,16.5,-110,-110,241,-110,-110,,,,,-1400,800,-16.5,16.5,-115,-105,241.5,-110,-110,,,,,-1667,900,-16.5,16.5,-108,-113,241.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,8:00 PM ET,Wed,12/13/23 @ 8:00 PM ET,,Final,IND,126,False,MIL,140,True,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","36, 34, 31, 39","33, 30, 31, 32",3,-235,194,-6,6,-110,-110,258.5,-110,-110,,,,,-250,205,-6.5,6.5,-109,-112,258.5,-113,-108,,,,,-258,210,-6.5,6.5,-115,-105,257,-110,-110,,,,,-250,205,-6.5,6.5,-108,-112,258.5,-110,-110,,,,,-250,205,-6.5,6.5,-109,-112,258.5,-113,-108,,,,,-250,200,-6.5,6.5,-109,-112,258.5,-113,-108,,,,,,,,,,,,,,,,,,-250,205,-6.5,6.5,-109,-112,258.5,-113,-108,,,,,-260,210,-6.5,6.5,-110,-110,258,-110,-110,,,,,-275,220,-6.5,6.5,-110,-110,257.5,-110,-110,,,,,-275,225,-6.5,6.5,-115,-105,257.5,-110,-110,,,,,-250,205,-6.5,6.5,-109,-112,258.5,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,8:00 PM ET,Mon,12/11/23 @ 8:00 PM ET,,F/OT,CHI,129,False,MIL,133,True,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4, OT","37, 37, 17, 27, 15","32, 33, 24, 29, 11",3,-590,440,-10.5,10.5,-110,-110,230.5,-110,-110,,,,,-670,473,-12,12,-113,-108,233.5,-109,-112,,,,,-625,455,-11.5,11.5,-110,-110,233,-110,-110,,,,,-650,480,-12,12,-108,-112,233,-110,-110,,,,,-670,480,-12,12,-113,-108,233.5,-109,-112,,,,,-670,450,-12,12,-113,-108,233.5,-109,-112,,,,,,,,,,,,,,,,,,-670,480,-12,12,-113,-108,233.5,-109,-112,,,,,-600,430,-11.5,11.5,-110,-110,233,-110,-110,,,,,-625,450,-11.5,11.5,-110,-110,233,-110,-110,,,,,-650,475,-11.5,11.5,-110,-110,232.5,-115,-105,,,,,-670,480,-12,12,-113,-108,233.5,-109,-112,,,,,,,,,,,,,,,,,
