Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/28/23,8:00 PM ET,Thu,12/28/23 @ 8:00 PM ET,,Final,DAL,110,False,MIN,118,True,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/MIN.png,,,,,,,"Q1, Q2, Q3, Q4","37, 24, 37, 20","26, 30, 35, 19",3,-360,290,-8.5,8.5,-110,-110,228.5,-110,-110,,,,,-710,497,-12,12,-113,-107,227.5,-112,-109,,,,,-750,525,-12,12,-115,-105,228,-112,-108,,,,,-750,530,-12.5,12.5,-106,-114,228,-110,-110,,,,,-670,475,-12,12,-113,-107,227.5,-112,-109,,,,,-670,460,-12,12,-113,-107,227.5,-112,-109,,,,,,,,,,,,,,,,,,-670,475,-12,12,-113,-107,227.5,-112,-109,,,,,-900,600,-12.5,12.5,-110,-110,228,-110,-110,,,,,-750,500,-12,12,-110,-110,228,-110,-110,,,,,-750,525,-12.5,12.5,-105,-115,228.5,-105,-115,,,,,-670,475,-12,12,-113,-107,227.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,Final,MIN,106,False,OKC,129,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","40, 26, 36, 27","35, 25, 31, 15",3,-175,143,-4,4,-109,-112,225.5,-112,-109,,,,,-124,103,-1.5,1.5,-110,-110,231,-109,-112,,,,,-125,105,-2,2,-108,-112,230.5,-112,-108,,,,,-126,108,-2,2,-108,-112,230.5,-112,-108,,,,,-122,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,-124,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,,,,,,,,,,,,,,-122,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,-140,118,-3,3,-115,-105,228.5,-115,-105,,,,,-120,100,-1.5,1.5,-110,-110,230.5,-110,-110,,,,,-125,105,-1.5,1.5,-115,-105,230.5,-115,-105,,,,,-122,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,10:00 PM ET,Sat,12/23/23 @ 10:00 PM ET,,Final,MIN,110,True,SAC,98,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","20, 27, 23, 28","28, 31, 22, 29",3,-116,-102,-1,1,-110,-110,232.5,-110,-110,,,,,-138,115,-2.5,2.5,-112,-110,233,-112,-109,,,,,-135,114,-2.5,2.5,-108,-112,232.5,-112,-108,,,,,-130,110,-2,2,-110,-110,232.5,-112,-108,,,,,-139,118,-2.5,2.5,-112,-109,233,-112,-109,,,,,-141,116,-2.5,2.5,-112,-109,233,-112,-109,,,,,,,,,,,,,,,,,,-139,118,-2.5,2.5,-112,-109,233,-112,-109,,,,,-155,130,-3,3,-110,-110,233.5,-110,-110,,,,,-130,110,-2,2,-110,-110,232.5,-110,-110,,,,,-135,110,-2.5,2.5,-105,-115,232.5,-110,-110,,,,,-139,118,-2.5,2.5,-112,-109,233,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,9:00 PM ET,Thu,12/21/23 @ 9:00 PM ET,,Final,LAL,111,False,MIN,118,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/MIN.png,,,,,,,"Q1, Q2, Q3, Q4","36, 27, 24, 31","32, 27, 24, 28",3,-200,166,-5,5,-110,-110,224.5,-110,-110,,,,,-328,261,-8,8,-112,-109,222,-109,-113,,,,,-345,275,-8.5,8.5,-110,-110,222,-110,-110,,,,,-360,290,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-315,260,-8,8,-112,-109,222,-108,-113,,,,,-335,255,-8,8,-112,-109,222,-108,-113,,,,,,,,,,,,,,,,,,-315,260,-8,8,-112,-109,222,-108,-113,,,,,-355,278,-8.5,8.5,-110,-110,223.5,-110,-110,,,,,-325,250,-8.5,8.5,-110,-110,222.5,-110,-110,,,,,-350,260,-8.5,8.5,-110,-110,221.5,-115,-105,,,,,-315,260,-8,8,-112,-109,222,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:00 PM ET,Wed,12/20/23 @ 7:00 PM ET,,Final,MIN,113,False,PHI,127,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","28, 36, 26, 37","24, 36, 27, 26",3,-148,124,-3.5,3.5,-110,-110,224,-110,-110,,,,,-167,139,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,-170,142,-4,4,-110,-110,226,-115,-105,,,,,-172,142,-4,4,-110,-110,226,-110,-110,,,,,-165,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,-167,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,,,,,,,,,,,,,,-165,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,-160,135,-4,4,-105,-115,225,-105,-115,,,,,-170,140,-4,4,-110,-110,226,-110,-110,,,,,-165,140,-3.5,3.5,-115,-105,225.5,-115,-105,,,,,-165,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:30 PM ET,Mon,12/18/23 @ 7:30 PM ET,,Final,MIN,112,True,MIA,108,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","33, 33, 17, 25","22, 32, 23, 35",3,130,-160,3,-3,-110,-110,220,-110,-110,,,,,105,-125,2,-2,-110,-110,218,-108,-113,,,,,105,-125,1.5,-1.5,-108,-112,217,-112,-108,,,,,108,-126,2,-2,-112,-108,217,-112,-108,,,,,105,-124,2,-2,-110,-110,218,-108,-113,,,,,104,-125,2,-2,-110,-110,218,-108,-113,,,,,,,,,,,,,,,,,,105,-124,2,-2,-110,-110,218,-108,-113,,,,,115,-135,2,-2,-105,-115,217.5,-110,-110,,,,,110,-130,2,-2,-110,-110,217,-110,-110,,,,,110,-135,1.5,-1.5,-105,-115,217.5,-105,-115,,,,,105,-124,2,-2,-110,-110,218,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,8:00 PM ET,Sat,12/16/23 @ 8:00 PM ET,,Final,IND,109,False,MIN,127,True,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/MIN.png,,,,,,,"Q1, Q2, Q3, Q4","23, 34, 38, 32","20, 35, 23, 31",3,-218,180,-6,6,-110,-110,247,-110,-110,,,,,-572,425,-11,11,-113,-108,240,-109,-112,,,,,-520,390,-10.5,10.5,-110,-110,238,-115,-105,,,,,-500,385,-10.5,10.5,-112,-108,238.5,-110,-110,,,,,-590,440,-11,11,-113,-108,240,-109,-112,,,,,-590,420,-11,11,-113,-108,240,-109,-112,,,,,,,,,,,,,,,,,,-590,440,-11,11,-113,-108,240,-109,-112,,,,,-430,328,-9.5,9.5,-110,-110,241,-110,-110,,,,,-550,400,-11,11,-110,-110,239.5,-110,-110,,,,,-550,400,-10.5,10.5,-110,-110,239.5,-110,-110,,,,,-590,440,-11,11,-113,-108,240,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,8:30 PM ET,Thu,12/14/23 @ 8:30 PM ET,,Final,MIN,119,True,DAL,101,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","30, 30, 22, 19","26, 33, 28, 32",3,-136,116,-2.5,2.5,-110,-110,229.5,-110,-110,,,,,104,-123,1.5,-1.5,-108,-113,231,-108,-113,,,,,110,-130,1.5,-1.5,-102,-118,231,-108,-112,,,,,106,-124,2,-2,-112,-108,231,-108,-112,,,,,102,-120,1.5,-1.5,-108,-113,231,-108,-113,,,,,100,-121,1.5,-1.5,-108,-113,231,-108,-113,,,,,,,,,,,,,,,,,,102,-120,1.5,-1.5,-108,-113,231,-108,-113,,,,,115,-135,2,-2,-110,-110,231.5,-110,-110,,,,,105,-125,2,-2,-110,-110,231.5,-110,-110,,,,,110,-135,2.5,-2.5,-110,-110,230.5,-115,-105,,,,,102,-120,1.5,-1.5,-108,-113,231,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,8:00 PM ET,Mon,12/11/23 @ 8:00 PM ET,,Final,MIN,107,False,NO,121,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","29, 30, 31, 31","29, 23, 34, 21",3,-130,110,-2,2,-110,-110,222,-110,-110,,,,,-175,144,-4.5,4.5,-109,-112,222,-110,-110,,,,,-170,142,-4,4,-110,-110,222.5,-105,-115,,,,,-166,140,-4,4,-114,-106,222,-112,-108,,,,,-175,145,-4.5,4.5,-109,-112,222,-110,-110,,,,,-175,143,-4.5,4.5,-109,-112,222,-110,-110,,,,,,,,,,,,,,,,,,-175,145,-4.5,4.5,-109,-112,222,-110,-110,,,,,-170,143,-4,4,-110,-110,222.5,-110,-110,,,,,-180,150,-4,4,-110,-110,222.5,-110,-110,,,,,-175,145,-3.5,3.5,-115,-105,222.5,-105,-115,,,,,-175,145,-4.5,4.5,-109,-112,222,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/8/23,8:00 PM ET,Fri,12/8/23 @ 8:00 PM ET,,Final,MIN,127,True,MEM,103,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","31, 24, 24, 24","33, 27, 38, 29",3,220,-275,6.5,-6.5,-110,-110,217.5,-110,-110,,,,,185,-225,5,-5,-107,-114,213.5,-109,-112,,,,,180,-218,5.5,-5.5,-110,-110,213.5,-108,-112,,,,,184,-220,5.5,-5.5,-108,-112,213.5,-110,-110,,,,,185,-225,5,-5,-107,-114,213.5,-109,-112,,,,,180,-225,5,-5,-107,-114,213.5,-109,-112,,,,,,,,,,,,,,,,,,185,-225,5,-5,-107,-114,213.5,-109,-112,,,,,205,-250,6,-6,-110,-110,214,-110,-110,,,,,185,-225,5.5,-5.5,-110,-110,213.5,-110,-110,,,,,185,-225,5.5,-5.5,-110,-110,213.5,-110,-110,,,,,185,-225,5,-5,-107,-114,213.5,-109,-112,,,,,,,,,,,,,,,,,
