Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,2:30 PM ET,Mon,1/15/24 @ 2:30 PM ET,,Scheduled,NO,,False,DAL,,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/DAL.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-162,136,-3.5,3.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,8:00 PM ET,Thu,12/28/23 @ 8:00 PM ET,,Final,UTA,105,False,NO,112,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","39, 20, 22, 31","37, 14, 25, 29",3,-350,260,-8.5,8.5,-110,-110,237,-110,-110,,,,,-383,299,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,-410,320,-9,9,-105,-115,239,-108,-112,,,,,-400,315,-9,9,-108,-114,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,-375,280,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,,,,,,,,,,,,,,-360,285,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,-440,335,-9.5,9.5,-110,-110,239.5,-110,-110,,,,,-400,310,-9,9,-110,-110,240,-110,-110,,,,,-400,310,-8.5,8.5,-115,-105,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,F/OT,MEM,116,True,NO,115,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4, OT","19, 29, 32, 23, 12","24, 19, 24, 36, 13",3,-176,148,-4,4,-110,-110,229.5,-110,-110,,,,,-190,158,-4.5,4.5,-110,-112,229.5,-113,-109,,,,,-185,154,-5,5,-108,-112,229,-112,-108,,,,,-190,160,-5,5,-108,-112,229.5,-110,-110,,,,,-190,160,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,-195,155,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,,,,,,,,,,,,,,-190,160,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,-190,158,-4.5,4.5,-115,-105,229.5,-115,-105,,,,,-190,160,-4.5,4.5,-110,-110,229,-110,-110,,,,,-190,155,-4.5,4.5,-115,-105,229.5,-110,-110,,,,,-190,160,-4.5,4.5,-108,-113,229.5,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:00 PM ET,Sat,12/23/23 @ 7:00 PM ET,,Final,HOU,106,True,NO,104,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","24, 27, 33, 20","26, 21, 32, 27",3,-218,180,-6,6,-110,-110,223.5,-110,-110,,,,,-316,252,-7.5,7.5,-112,-109,225,-113,-108,,,,,-290,235,-7.5,7.5,-112,-108,226.5,-110,-110,,,,,-290,235,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-335,270,-7.5,7.5,-113,-108,225,-113,-108,,,,,-335,260,-7.5,7.5,-113,-108,225,-113,-108,,,,,,,,,,,,,,,,,,-335,270,-7.5,7.5,-113,-108,225,-113,-108,,,,,-305,240,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-300,240,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-300,230,-7.5,7.5,-110,-110,226.5,-110,-110,,,,,-335,270,-7.5,7.5,-113,-108,225,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,7:30 PM ET,Thu,12/21/23 @ 7:30 PM ET,,Final,NO,123,True,CLE,104,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","28, 24, 24, 28","36, 30, 28, 29",3,-120,102,-1.5,1.5,-110,-110,226.5,-110,-110,,,,,131,-157,3.5,-3.5,-110,-112,224.5,-112,-109,,,,,140,-166,3.5,-3.5,-105,-115,224.5,-110,-110,,,,,134,-158,3.5,-3.5,-110,-110,225,-110,-110,,,,,128,-152,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,128,-155,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,,,,,,,,,,,,,,128,-152,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,140,-165,3.5,-3.5,-110,-110,224.5,-110,-110,,,,,125,-150,3.5,-3.5,-110,-110,226.5,-110,-110,,,,,135,-165,3.5,-3.5,-105,-115,224.5,-110,-110,,,,,128,-152,3.5,-3.5,-109,-112,224.5,-112,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,7:30 PM ET,Tue,12/19/23 @ 7:30 PM ET,,Final,MEM,115,True,NO,113,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","21, 39, 27, 26","25, 16, 36, 38",3,-240,190,-6,6,-110,-110,232.5,-110,-110,,,,,-379,298,-8.5,8.5,-112,-109,229.5,-110,-111,,,,,-360,285,-9,9,-110,-110,229.5,-110,-110,,,,,-400,315,-8.5,8.5,-112,-108,229.5,-108,-112,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,,,,,,,,,,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,-345,270,-8.5,8.5,-115,-105,229,-110,-110,,,,,-375,300,-9,9,-110,-110,230,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,229.5,-105,-115,,,,,-385,300,-8.5,8.5,-112,-109,229.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,3:30 PM ET,Sun,12/17/23 @ 3:30 PM ET,,Final,NO,146,True,SA,110,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","20, 31, 27, 32","33, 28, 44, 41",3,230,-290,8,-8,-110,-110,237.5,-110,-110,,,,,257,-319,7.5,-7.5,-109,-112,238,-110,-110,,,,,240,-298,7.5,-7.5,-108,-112,238.5,-112,-108,,,,,260,-320,7.5,-7.5,-108,-112,239,-110,-110,,,,,260,-315,7.5,-7.5,-109,-112,238,-110,-110,,,,,255,-335,7.5,-7.5,-109,-112,238,-110,-110,,,,,,,,,,,,,,,,,,260,-315,7.5,-7.5,-109,-112,238,-110,-110,,,,,250,-320,8,-8,-105,-115,237.5,-110,-110,,,,,240,-300,7.5,-7.5,-110,-110,239,-110,-110,,,,,260,-350,7.5,-7.5,-110,-110,238.5,-110,-110,,,,,260,-315,7.5,-7.5,-109,-112,238,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:00 PM ET,Fri,12/15/23 @ 7:00 PM ET,,Final,NO,112,True,CHA,107,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","20, 19, 37, 31","21, 29, 26, 36",3,176,-210,5,-5,-110,-110,233,-110,-110,,,,,308,-396,9,-9,-108,-113,233.5,-109,-112,,,,,330,-425,9.5,-9.5,-105,-115,233,-108,-112,,,,,320,-405,9.5,-9.5,-112,-108,234,-110,-110,,,,,300,-385,9,-9,-108,-113,233.5,-108,-113,,,,,295,-385,9,-9,-108,-113,233.5,-108,-113,,,,,,,,,,,,,,,,,,300,-385,9,-9,-108,-113,233.5,-108,-113,,,,,320,-420,9.5,-9.5,-110,-110,233.5,-110,-110,,,,,300,-375,9,-9,-110,-110,233.5,-110,-110,,,,,350,-450,9.5,-9.5,-110,-110,233.5,-110,-110,,,,,300,-385,9,-9,-108,-113,233.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,7:00 PM ET,Wed,12/13/23 @ 7:00 PM ET,,Final,NO,142,True,WAS,122,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","30, 34, 29, 29","28, 47, 35, 32",3,240,-295,7,-7,-110,-110,245.5,-110,-110,,,,,228,-282,7,-7,-109,-112,239.5,-110,-110,,,,,215,-265,6.5,-6.5,-108,-112,240,-108,-112,,,,,215,-260,7,-7,-112,-108,240,-108,-112,,,,,240,-295,7,-7,-108,-113,239.5,-110,-110,,,,,235,-305,7,-7,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,,240,-295,7,-7,-108,-113,239.5,-110,-110,,,,,222,-278,7,-7,-115,-105,240,-110,-110,,,,,220,-275,7,-7,-110,-110,239.5,-110,-110,,,,,195,-250,6.5,-6.5,-110,-110,240.5,-110,-110,,,,,240,-295,7,-7,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,8:00 PM ET,Mon,12/11/23 @ 8:00 PM ET,,Final,MIN,107,False,NO,121,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","29, 30, 31, 31","29, 23, 34, 21",3,-130,110,-2,2,-110,-110,222,-110,-110,,,,,-175,144,-4.5,4.5,-109,-112,222,-110,-110,,,,,-170,142,-4,4,-110,-110,222.5,-105,-115,,,,,-166,140,-4,4,-114,-106,222,-112,-108,,,,,-175,145,-4.5,4.5,-109,-112,222,-110,-110,,,,,-175,143,-4.5,4.5,-109,-112,222,-110,-110,,,,,,,,,,,,,,,,,,-175,145,-4.5,4.5,-109,-112,222,-110,-110,,,,,-170,143,-4,4,-110,-110,222.5,-110,-110,,,,,-180,150,-4,4,-110,-110,222.5,-110,-110,,,,,-175,145,-3.5,3.5,-115,-105,222.5,-105,-115,,,,,-175,145,-4.5,4.5,-109,-112,222,-110,-110,,,,,,,,,,,,,,,,,
