Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,3:00 PM ET,Mon,1/15/24 @ 3:00 PM ET,,Scheduled,ORL,,False,NY,,False,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/NY.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-225,185,-5.5,5.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:00 PM ET,Fri,12/29/23 @ 7:00 PM ET,,Scheduled,NY,,False,ORL,,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/ORL.png,,,,,,,,,,3,-115,-105,-1,1,-110,-110,224.5,-110,-110,,,,,-119,-101,-1.5,1.5,-111,-110,227.5,-110,-110,,,,,-118,-102,-1.5,1.5,-110,-110,228,-110,-110,,,,,-120,102,-1.5,1.5,-110,-110,228,-110,-110,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,-120,-103,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,,,,,,,,,,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,228,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,227.5,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,227.5,-110,-110,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,8:00 PM ET,Wed,12/27/23 @ 8:00 PM ET,,Final,NY,120,False,OKC,129,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","38, 31, 24, 36","25, 35, 29, 31",3,-132,112,-2,2,-110,-110,236.5,-110,-110,,,,,-164,136,-3.5,3.5,-110,-110,242,-110,-110,,,,,-162,136,-3.5,3.5,-110,-110,241,-112,-108,,,,,-158,134,-3.5,3.5,-108,-112,241,-110,-110,,,,,-165,138,-3.5,3.5,-110,-110,242,-110,-110,,,,,-165,135,-3.5,3.5,-110,-110,242,-110,-110,,,,,,,,,,,,,,,,,,-165,138,-3.5,3.5,-110,-110,242,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,241,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,241.5,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,241.5,-110,-110,,,,,-165,138,-3.5,3.5,-110,-110,242,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,12:00 PM ET,Mon,12/25/23 @ 12:00 PM ET,,Final,MIL,122,False,NY,129,True,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/NY.png,,,,,,,"Q1, Q2, Q3, Q4","36, 26, 36, 31","27, 24, 36, 35",3,144,-178,4,-4,-110,-110,224.5,-110,-110,,,,,135,-162,3.5,-3.5,-111,-110,243,-109,-112,,,,,140,-166,3.5,-3.5,-112,-108,242.5,-110,-110,,,,,140,-166,3.5,-3.5,-112,-108,243.5,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,243,-109,-112,,,,,133,-162,3.5,-3.5,-110,-110,243,-109,-112,,,,,,,,,,,,,,,,,,135,-159,3.5,-3.5,-110,-110,243,-109,-112,,,,,140,-165,3,-3,-110,-110,242,-110,-110,,,,,130,-160,3,-3,-110,-110,243.5,-110,-110,,,,,135,-160,3.5,-3.5,-115,-105,242.5,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,243,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,12:30 PM ET,Sat,12/23/23 @ 12:30 PM ET,,Final,MIL,130,True,NY,111,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/NY.png,,,,,,,"Q1, Q2, Q3, Q4","27, 27, 33, 24","36, 26, 38, 30",3,105,-125,2,-2,-110,-110,239.5,-110,-110,,,,,110,-132,2,-2,-108,-114,244,-109,-112,,,,,110,-130,2,-2,-105,-115,244,-110,-110,,,,,116,-136,2,-2,-106,-114,244,-110,-110,,,,,110,-130,2,-2,-108,-113,244,-108,-113,,,,,108,-132,2,-2,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,,110,-130,2,-2,-108,-113,244,-108,-113,,,,,110,-130,2.5,-2.5,-110,-110,242.5,-110,-110,,,,,110,-130,2,-2,-110,-110,244,-110,-110,,,,,115,-140,2.5,-2.5,-110,-110,243.5,-115,-105,,,,,110,-130,2,-2,-108,-113,244,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:30 PM ET,Wed,12/20/23 @ 7:30 PM ET,,Final,NY,121,True,BKN,102,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","20, 31, 26, 25","32, 28, 30, 31",3,,,1,-1,-110,-110,233,-110,-110,,,,,-105,-114,1,-1,-110,-110,232.5,-112,-110,,,,,-105,-115,1,-1,-110,-110,233,-110,-110,,,,,-104,-112,1,-1,-110,-110,232.5,-110,-110,,,,,-105,-113,1,-1,-110,-110,232.5,-112,-109,,,,,-107,-114,1,-1,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,,-105,-113,1,-1,-110,-110,232.5,-112,-109,,,,,-105,-115,1,-1,-110,-110,232.5,-110,-110,,,,,-105,-115,1,-1,-110,-110,232,-110,-110,,,,,-105,-115,1.5,-1.5,-115,-105,233.5,-105,-115,,,,,-105,-113,1,-1,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,10:30 PM ET,Mon,12/18/23 @ 10:30 PM ET,,Final,NY,114,True,LAL,109,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/LAL.png,,,,,,,"Q1, Q2, Q3, Q4","27, 31, 22, 29","35, 22, 33, 24",3,-192,160,-4.5,4.5,-110,-110,226.5,-110,-110,,,,,-195,160,-4.5,4.5,-113,-109,234.5,-109,-112,,,,,-192,160,-4.5,4.5,-112,-108,236,-110,-110,,,,,-190,158,-4.5,4.5,-110,-110,234.5,-110,-110,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,,,,,,,,,,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,-195,162,-4.5,4.5,-115,-105,235.5,-115,-105,,,,,-190,160,-5,5,-110,-110,234.5,-110,-110,,,,,-210,170,-4.5,4.5,-115,-105,235.5,-110,-110,,,,,-195,160,-4.5,4.5,-112,-109,234.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,10:30 PM ET,Sat,12/16/23 @ 10:30 PM ET,,Final,NY,122,False,LAC,144,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 42, 37, 30","33, 33, 32, 24",3,-235,194,-5.5,5.5,-110,-110,228.5,-112,-108,,,,,-280,229,-7,7,-107,-114,230.5,-109,-112,,,,,-258,210,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-260,215,-6.5,6.5,-110,-110,229.5,-112,-108,,,,,-286,235,-7,7,-107,-114,230.5,-109,-112,,,,,-295,230,-7,7,-107,-114,230.5,-109,-112,,,,,,,,,,,,,,,,,,-286,235,-7,7,-107,-114,230.5,-109,-112,,,,,-260,210,-6.5,6.5,-115,-105,229.5,-110,-110,,,,,-260,210,-6.5,6.5,-110,-110,230.5,-110,-110,,,,,-275,220,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-286,235,-7,7,-107,-114,230.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,10:00 PM ET,Fri,12/15/23 @ 10:00 PM ET,,Final,NY,139,True,PHO,122,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","30, 38, 31, 23","31, 32, 34, 42",3,-200,165,-5.5,5.5,-110,-110,230.5,-110,-110,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,-218,180,-5.5,5.5,-110,-110,230.5,-110,-110,,,,,-210,176,-5,5,-110,-110,230,-112,-108,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,,,,,,,,,,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,-210,175,-5.5,5.5,-105,-115,230.5,-110,-110,,,,,-210,175,-6,6,-110,-110,230.5,-110,-110,,,,,-200,165,-4.5,4.5,-115,-105,230.5,-110,-110,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,9:00 PM ET,Wed,12/13/23 @ 9:00 PM ET,,Final,NY,113,False,UTA,117,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/UTA.png,,,,,,,"Q1, Q2, Q3, Q4","22, 30, 37, 28","31, 19, 34, 29",3,172,-205,5,-5,-110,-110,229.5,-110,-112,,,,,181,-222,5.5,-5.5,-111,-111,230,-112,-109,,,,,185,-225,6,-6,-105,-115,229.5,-115,-105,,,,,188,-225,6,-6,-112,-108,229,-110,-110,,,,,180,-220,5.5,-5.5,-112,-109,230,-112,-109,,,,,180,-225,5.5,-5.5,-112,-109,230,-112,-109,,,,,,,,,,,,,,,,,,180,-220,5.5,-5.5,-112,-109,230,-112,-109,,,,,185,-225,5.5,-5.5,-105,-115,229.5,-110,-110,,,,,185,-225,6,-6,-125,-110,229,-110,-110,,,,,170,-210,5.5,-5.5,-105,-115,229.5,-115,-105,,,,,180,-220,5.5,-5.5,-112,-109,230,-112,-109,,,,,,,,,,,,,,,,,
