Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,10:30 PM ET,Mon,1/15/24 @ 10:30 PM ET,,Scheduled,OKC,,False,LAL,,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/LAL.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-192,160,-4.5,4.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,9:00 PM ET,Fri,12/29/23 @ 9:00 PM ET,,Scheduled,OKC,,False,DEN,,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/DEN.png,,,,,,,,,,3,-162,136,-4,4,-110,-110,229.5,-110,-110,,,,,-162,134,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-162,136,-3.5,3.5,-110,-110,232,-110,-110,,,,,-158,134,-3.5,3.5,-110,-110,232,-110,-110,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-162,132,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,,,,,,,,,,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,-165,140,-3.5,3.5,-110,-110,231.5,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,231,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,231.5,-115,-105,,,,,-162,135,-3.5,3.5,-110,-110,231.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,8:00 PM ET,Wed,12/27/23 @ 8:00 PM ET,,Final,NY,120,False,OKC,129,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","38, 31, 24, 36","25, 35, 29, 31",3,-132,112,-2,2,-110,-110,236.5,-110,-110,,,,,-164,136,-3.5,3.5,-110,-110,242,-110,-110,,,,,-162,136,-3.5,3.5,-110,-110,241,-112,-108,,,,,-158,134,-3.5,3.5,-108,-112,241,-110,-110,,,,,-165,138,-3.5,3.5,-110,-110,242,-110,-110,,,,,-165,135,-3.5,3.5,-110,-110,242,-110,-110,,,,,,,,,,,,,,,,,,-165,138,-3.5,3.5,-110,-110,242,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,241,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,241.5,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,241.5,-110,-110,,,,,-165,138,-3.5,3.5,-110,-110,242,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,Final,MIN,106,False,OKC,129,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","40, 26, 36, 27","35, 25, 31, 15",3,-175,143,-4,4,-109,-112,225.5,-112,-109,,,,,-124,103,-1.5,1.5,-110,-110,231,-109,-112,,,,,-125,105,-2,2,-108,-112,230.5,-112,-108,,,,,-126,108,-2,2,-108,-112,230.5,-112,-108,,,,,-122,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,-124,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,,,,,,,,,,,,,,-122,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,-140,118,-3,3,-115,-105,228.5,-115,-105,,,,,-120,100,-1.5,1.5,-110,-110,230.5,-110,-110,,,,,-125,105,-1.5,1.5,-115,-105,230.5,-115,-105,,,,,-122,102,-1.5,1.5,-110,-110,231,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:00 PM ET,Sat,12/23/23 @ 8:00 PM ET,,Final,LAL,129,True,OKC,120,False,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","39, 20, 32, 29","36, 35, 36, 22",3,-180,152,-4,4,-112,-108,236.5,-110,-110,,,,,-164,136,-3.5,3.5,-110,-110,239,-112,-110,,,,,-155,130,-3.5,3.5,-105,-115,239,-110,-110,,,,,-164,138,-3.5,3.5,-110,-110,239,-110,-110,,,,,-165,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,-167,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,,,,,,,,,,,,,,-165,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,-165,140,-4,4,-110,-110,239,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,239,-110,-110,,,,,-160,135,-3.5,3.5,-110,-110,238.5,-115,-105,,,,,-165,138,-3.5,3.5,-110,-110,239,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,8:00 PM ET,Thu,12/21/23 @ 8:00 PM ET,,Final,LAC,115,False,OKC,134,True,/assets/images/nba/logos/LAC.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 29, 45, 25","29, 30, 33, 23",3,-192,160,-4.5,4.5,-110,-110,233.5,-110,-110,,,,,-234,190,-6,6,-113,-109,237.5,-112,-110,,,,,-238,195,-6.5,6.5,-110,-110,238,-112,-108,,,,,-230,190,-6,6,-110,-110,237.5,-110,-110,,,,,-230,190,-6,6,-113,-108,237.5,-112,-109,,,,,-235,185,-6,6,-113,-108,237.5,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-6,6,-113,-108,237.5,-112,-109,,,,,-240,196,-6,6,-110,-110,237.5,-110,-110,,,,,-240,190,-6.5,6.5,-110,-110,238,-110,-110,,,,,-250,190,-6.5,6.5,-105,-115,237.5,-115,-105,,,,,-230,190,-6,6,-113,-108,237.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,8:00 PM ET,Mon,12/18/23 @ 8:00 PM ET,,Final,MEM,97,False,OKC,116,True,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","34, 34, 26, 22","26, 27, 13, 31",3,-400,310,-9,9,-110,-110,227,-110,-110,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,-520,390,-10.5,10.5,-108,-112,229.5,-105,-115,,,,,-520,400,-10.5,10.5,-110,-110,229.5,-108,-112,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,-500,370,-10.5,10.5,-108,-113,230,-110,-110,,,,,,,,,,,,,,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,-550,400,-10.5,10.5,-110,-110,229.5,-110,-110,,,,,-500,375,-10.5,10.5,-110,-110,230,-110,-110,,,,,-500,360,-10.5,10.5,-105,-115,229.5,-110,-110,,,,,-500,380,-10.5,10.5,-108,-113,230,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,9:00 PM ET,Sat,12/16/23 @ 9:00 PM ET,,Final,OKC,118,True,DEN,117,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","31, 25, 31, 30","27, 27, 31, 33",3,-250,205,-6,6,-110,-110,235.5,-110,-110,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,-205,170,-5,5,-110,-110,238,-110,-110,,,,,-215,180,-5,5,-110,-110,237.5,-110,-110,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,-200,160,-4.5,4.5,-113,-108,237,-112,-109,,,,,,,,,,,,,,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,-205,170,-5,5,-110,-110,237.5,-110,-110,,,,,-210,175,-5.5,5.5,-110,-110,238.5,-110,-110,,,,,-200,165,-4.5,4.5,-115,-105,237.5,-110,-110,,,,,-195,163,-4.5,4.5,-113,-108,237,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,10:00 PM ET,Thu,12/14/23 @ 10:00 PM ET,,Final,OKC,123,False,SAC,128,True,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","29, 30, 41, 28","30, 23, 39, 31",3,-120,100,-1.5,1.5,-110,-110,240.5,-110,-110,,,,,-130,109,-2,2,-110,-110,245,-109,-112,,,,,-130,110,-2,2,-112,-108,245.5,-110,-110,,,,,-132,112,-2,2,-110,-110,245.5,-110,-110,,,,,-127,108,-2,2,-110,-110,245,-109,-112,,,,,-129,107,-2,2,-110,-110,245,-109,-112,,,,,,,,,,,,,,,,,,-127,108,-2,2,-110,-110,245,-109,-112,,,,,-135,115,-2.5,2.5,-110,-110,245.5,-110,-110,,,,,-130,110,-2,2,-110,-110,245,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,245.5,-110,-110,,,,,-127,108,-2,2,-110,-110,245,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,8:00 PM ET,Mon,12/11/23 @ 8:00 PM ET,,Final,UTA,120,False,OKC,134,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","34, 32, 45, 23","20, 32, 23, 45",3,-1250,800,-13,13,-110,-110,232.5,-110,-110,,,,,-770,550,-13,13,-109,-112,235.5,-109,-112,,,,,-800,550,-13,13,-110,-110,236,-108,-112,,,,,-750,530,-13,13,-110,-110,235.5,-112,-108,,,,,-770,550,-13,13,-109,-112,235.5,-109,-112,,,,,-770,525,-13,13,-109,-112,235.5,-109,-112,,,,,,,,,,,,,,,,,,-770,550,-13,13,-109,-112,235.5,-109,-112,,,,,-800,550,-12.5,12.5,-110,-110,233.5,-110,-110,,,,,-750,500,-13,13,-110,-110,236.5,-110,-110,,,,,-800,575,-12.5,12.5,-115,-105,236.5,-110,-110,,,,,-770,550,-13,13,-109,-112,235.5,-109,-112,,,,,,,,,,,,,,,,,
