Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,3:00 PM ET,Mon,1/15/24 @ 3:00 PM ET,,Scheduled,ORL,,False,NY,,False,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/NY.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-225,185,-5.5,5.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:00 PM ET,Fri,12/29/23 @ 7:00 PM ET,,Scheduled,NY,,False,ORL,,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/ORL.png,,,,,,,,,,3,-115,-105,-1,1,-110,-110,224.5,-110,-110,,,,,-119,-101,-1.5,1.5,-111,-110,227.5,-110,-110,,,,,-118,-102,-1.5,1.5,-110,-110,228,-110,-110,,,,,-120,102,-1.5,1.5,-110,-110,228,-110,-110,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,-120,-103,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,,,,,,,,,,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,228,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,227.5,-110,-110,,,,,-120,100,-1.5,1.5,-110,-110,227.5,-110,-110,,,,,-118,100,-1.5,1.5,-112,-109,227.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,7:00 PM ET,Wed,12/27/23 @ 7:00 PM ET,,Final,PHI,112,True,ORL,92,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/ORL.png,,,,,,,"Q1, Q2, Q3, Q4","25, 21, 29, 17","26, 26, 32, 28",3,-112,-104,-1,1,-108,-112,224.5,-110,-110,,,,,-135,112,-2,2,-114,-107,228.5,-110,-110,,,,,-142,120,-2.5,2.5,-110,-110,228.5,-110,-110,,,,,-138,118,-2,2,-112,-108,228.5,-110,-110,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,,,,,,,,,,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,-135,115,-2.5,2.5,-110,-110,228.5,-105,-115,,,,,-133,115,-2.5,2.5,-105,-110,228.5,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,228.5,-110,-110,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,7:00 PM ET,Tue,12/26/23 @ 7:00 PM ET,,Final,ORL,127,True,WAS,119,False,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","33, 27, 28, 31","33, 30, 35, 29",3,225,-275,6.5,-6.5,-110,-110,237,-110,-110,,,,,233,-288,7.5,-7.5,-112,-109,238,-112,-109,,,,,225,-278,7,-7,-110,-110,236.5,-110,-110,,,,,235,-290,7,-7,-110,-110,237,-110,-110,,,,,240,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,235,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,,,,,,,,,,,,,,240,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,228,-285,7,-7,-110,-110,237,-105,-115,,,,,230,-290,7,-7,-110,-110,237,-110,-110,,,,,230,-275,7.5,-7.5,-115,-105,236.5,-110,-110,,,,,240,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:00 PM ET,Sat,12/23/23 @ 7:00 PM ET,,Final,ORL,117,True,IND,110,False,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/IND.png,,,,,,,"Q1, Q2, Q3, Q4","27, 32, 33, 18","36, 37, 20, 24",3,-115,-105,-1,1,-110,-110,244,-110,-110,,,,,-136,114,-3,3,-109,-112,245.5,-110,-110,,,,,-135,114,-2.5,2.5,-108,-112,245.5,-110,-110,,,,,-138,118,-2.5,2.5,-108,-112,245,-110,-110,,,,,-134,114,-3,3,-109,-112,245.5,-110,-110,,,,,-136,112,-3,3,-109,-112,245.5,-110,-110,,,,,,,,,,,,,,,,,,-134,114,-3,3,-109,-112,245.5,-110,-110,,,,,-135,115,-2,2,-110,-110,246,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,245,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,245.5,-110,-110,,,,,-134,114,-3,3,-109,-112,245.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,8:00 PM ET,Thu,12/21/23 @ 8:00 PM ET,,Final,ORL,114,False,MIL,118,True,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","28, 31, 32, 27","31, 25, 26, 32",3,,,-7.5,7.5,-110,-110,239.5,-110,-110,,,,,-384,300,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-110,-110,238.5,-108,-112,,,,,-360,290,-8.5,8.5,-114,-106,238,-110,-110,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,-365,285,-8.5,8.5,-110,-110,238,-110,-110,,,,,-375,300,-9,9,-110,-110,239,-110,-110,,,,,-375,290,-8.5,8.5,-110,-110,238.5,-110,-110,,,,,-400,310,-9.5,9.5,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:00 PM ET,Wed,12/20/23 @ 7:00 PM ET,,Final,MIA,115,True,ORL,106,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/ORL.png,,,,,,,"Q1, Q2, Q3, Q4","24, 26, 22, 34","25, 43, 21, 26",3,-185,154,-5,5,-110,-110,217.5,-110,-110,,,,,-212,173,-5.5,5.5,-111,-110,219,-108,-113,,,,,-205,170,-5.5,5.5,-110,-110,219.5,-108,-112,,,,,-215,180,-5.5,5.5,-110,-110,219.5,-108,-112,,,,,-215,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,-220,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,,,,,,,,,,,,,,-215,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,-205,170,-5.5,5.5,-110,-110,219,-105,-115,,,,,-210,175,-5.5,5.5,-110,-110,219.5,-110,-110,,,,,-210,170,-5.5,5.5,-110,-110,219.5,-110,-110,,,,,-215,175,-5.5,5.5,-112,-109,219,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,3:00 PM ET,Sun,12/17/23 @ 3:00 PM ET,,Final,ORL,97,False,BOS,114,True,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","27, 34, 22, 31","31, 19, 24, 23",3,-238,195,-6.5,6.5,-110,-110,227.5,-110,-110,,,,,-358,279,-8.5,8.5,-111,-110,227.5,-110,-110,,,,,-360,285,-8.5,8.5,-112,-108,227,-110,-110,,,,,-375,300,-8.5,8.5,-110,-110,227,-108,-112,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,,,,,,,,,,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,-385,300,-9,9,-110,-110,226.5,-105,-115,,,,,-350,260,-8.5,8.5,-110,-110,227,-110,-110,,,,,-400,310,-8.5,8.5,-110,-110,226.5,-110,-110,,,,,-345,270,-8.5,8.5,-110,-110,227.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:30 PM ET,Fri,12/15/23 @ 7:30 PM ET,,Final,ORL,111,False,BOS,128,True,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","30, 34, 37, 27","24, 27, 27, 33",3,-218,180,-6,6,-110,-110,222.5,-110,-110,,,,,-211,174,-5,5,-112,-109,225.5,-112,-110,,,,,-218,180,-6,6,-108,-112,226,-110,-110,,,,,-225,188,-5.5,5.5,-110,-110,226.5,-110,-110,,,,,-205,170,-5,5,-112,-109,225.5,-112,-109,,,,,-210,170,-5,5,-112,-109,225.5,-112,-109,,,,,,,,,,,,,,,,,,-205,170,-5,5,-112,-109,225.5,-112,-109,,,,,-240,196,-5.5,5.5,-110,-110,226,-110,-110,,,,,-200,165,-5.5,5.5,-110,-110,225.5,-110,-110,,,,,-225,185,-5.5,5.5,-115,-105,225.5,-110,-110,,,,,-205,170,-5,5,-112,-109,225.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,7:00 PM ET,Mon,12/11/23 @ 7:00 PM ET,,Final,CLE,94,False,ORL,104,True,/assets/images/nba/logos/CLE.png,/assets/images/nba/logos/ORL.png,,,,,,,"Q1, Q2, Q3, Q4","22, 29, 30, 23","29, 25, 15, 25",3,-115,-105,-1,1,-110,-110,225.5,-110,-110,,,,,-134,112,-2.5,2.5,-111,-110,226.5,-113,-108,,,,,-142,120,-2.5,2.5,-108,-112,225.5,-110,-110,,,,,-138,118,-2.5,2.5,-108,-112,226,-110,-110,,,,,-130,110,-2.5,2.5,-112,-109,226.5,-113,-108,,,,,-132,110,-2.5,2.5,-112,-109,226.5,-113,-108,,,,,,,,,,,,,,,,,,-130,110,-2.5,2.5,-112,-109,226.5,-113,-108,,,,,-125,105,-1.5,1.5,-110,-110,227,-110,-110,,,,,-145,120,-2.5,2.5,-110,-110,225.5,-110,-110,,,,,-140,115,-2.5,2.5,-105,-115,225.5,-110,-110,,,,,-130,110,-2.5,2.5,-112,-109,226.5,-113,-108,,,,,,,,,,,,,,,,,
