Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,1:00 PM ET,Mon,1/15/24 @ 1:00 PM ET,,Scheduled,HOU,,False,PHI,,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/PHI.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-298,240,-7.5,7.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,8:00 PM ET,Fri,12/29/23 @ 8:00 PM ET,,Scheduled,PHI,,False,HOU,,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/HOU.png,,,,,,,,,,3,-115,-105,-1,1,-110,-110,216,-110,-110,,,,,-103,-117,1,-1,-111,-111,218.5,-109,-112,,,,,100,-120,1,-1,-105,-115,221,-110,-110,,,,,100,-118,1.5,-1.5,-110,-110,221.5,-110,-110,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,-107,-114,1,-1,-112,-109,218.5,-109,-112,,,,,,,,,,,,,,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,105,-125,1,-1,-105,-115,221.5,-110,-110,,,,,100,-120,1,-1,-110,-110,220,-110,-110,,,,,100,-120,1.5,-1.5,-115,-105,220.5,-115,-105,,,,,-106,-113,1,-1,-112,-109,218.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,7:00 PM ET,Wed,12/27/23 @ 7:00 PM ET,,Final,PHI,112,True,ORL,92,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/ORL.png,,,,,,,"Q1, Q2, Q3, Q4","25, 21, 29, 17","26, 26, 32, 28",3,-112,-104,-1,1,-108,-112,224.5,-110,-110,,,,,-135,112,-2,2,-114,-107,228.5,-110,-110,,,,,-142,120,-2.5,2.5,-110,-110,228.5,-110,-110,,,,,-138,118,-2,2,-112,-108,228.5,-110,-110,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,,,,,,,,,,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,-135,115,-2.5,2.5,-110,-110,228.5,-105,-115,,,,,-133,115,-2.5,2.5,-105,-110,228.5,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,228.5,-110,-110,,,,,-132,110,-2,2,-114,-107,229,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,8:00 PM ET,Mon,12/25/23 @ 8:00 PM ET,,Final,PHI,113,False,MIA,119,True,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","26, 37, 23, 33","22, 27, 37, 27",3,-130,107,-2,2,-110,-110,218.5,-110,-110,,,,,-134,111,-2,2,-111,-109,227.5,-110,-112,,,,,-142,120,-2,2,-115,-105,227.5,-112,-108,,,,,-138,118,-2.5,2.5,-110,-110,228,-108,-112,,,,,-127,107,-2,2,-110,-110,227.5,-109,-112,,,,,-129,106,-2,2,-110,-110,227.5,-109,-112,,,,,,,,,,,,,,,,,,-127,107,-2,2,-110,-110,227.5,-109,-112,,,,,-140,118,-2,2,-115,-105,227.5,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,228,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,227.5,-110,-110,,,,,-127,107,-2,2,-110,-110,227.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,7:00 PM ET,Fri,12/22/23 @ 7:00 PM ET,,Final,TOR,111,False,PHI,121,True,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","28, 33, 32, 28","37, 21, 31, 22",3,-325,250,-7,7,-110,-110,229,-110,-110,,,,,-330,260,-8,8,-112,-110,230.5,-112,-110,,,,,-310,250,-8,8,-105,-115,230,-110,-110,,,,,-300,245,-8,8,-112,-108,230.5,-110,-110,,,,,-335,270,-8,8,-112,-109,230.5,-112,-109,,,,,-345,265,-8,8,-112,-109,230.5,-112,-109,,,,,,,,,,,,,,,,,,-335,270,-8,8,-112,-109,230.5,-112,-109,,,,,-320,250,-7.5,7.5,-105,-115,230.5,-110,-110,,,,,-325,250,-8,8,-110,-110,230,-110,-110,,,,,-350,260,-7.5,7.5,-110,-110,230.5,-110,-110,,,,,-335,270,-8,8,-112,-109,230.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:00 PM ET,Wed,12/20/23 @ 7:00 PM ET,,Final,MIN,113,False,PHI,127,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","28, 36, 26, 37","24, 36, 27, 26",3,-148,124,-3.5,3.5,-110,-110,224,-110,-110,,,,,-167,139,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,-170,142,-4,4,-110,-110,226,-115,-105,,,,,-172,142,-4,4,-110,-110,226,-110,-110,,,,,-165,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,-167,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,,,,,,,,,,,,,,-165,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,-160,135,-4,4,-105,-115,225,-105,-115,,,,,-170,140,-4,4,-110,-110,226,-110,-110,,,,,-165,140,-3.5,3.5,-115,-105,225.5,-115,-105,,,,,-165,138,-3.5,3.5,-112,-109,226.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:00 PM ET,Mon,12/18/23 @ 7:00 PM ET,,Final,CHI,108,True,PHI,104,False,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","24, 20, 25, 35","25, 30, 26, 27",3,-450,350,-10,10,-110,-110,229,-110,-110,,,,,-538,397,-11,11,-108,-113,227,-109,-112,,,,,-485,370,-10,10,-112,-108,227.5,-110,-110,,,,,-480,370,-10,10,-112,-108,227.5,-110,-110,,,,,-560,410,-11,11,-108,-113,227,-109,-112,,,,,-590,410,-11,11,-108,-113,227,-109,-112,,,,,,,,,,,,,,,,,,-560,410,-11,11,-108,-113,227,-109,-112,,,,,-550,400,-10,10,-110,-110,225.5,-105,-115,,,,,-425,330,-10.5,10.5,-110,-110,226.5,-110,-110,,,,,-550,400,-10.5,10.5,-110,-110,227.5,-105,-115,,,,,-560,410,-11,11,-108,-113,227,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,7:00 PM ET,Sat,12/16/23 @ 7:00 PM ET,,Final,PHI,135,True,CHA,82,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/CHA.png,,,,,,,"Q1, Q2, Q3, Q4","17, 27, 15, 23","33, 40, 27, 35",3,285,-360,9,-9,-110,-110,234.5,-110,-110,,,,,457,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,500,-700,12,-12,-110,-110,230,-108,-112,,,,,490,-670,12,-12,-110,-110,230,-110,-110,,,,,460,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,450,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,,,,,,,,,,,,,,460,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,430,-600,11,-11,-105,-115,230,-105,-115,,,,,450,-625,12,-12,-110,-110,230,-110,-110,,,,,525,-750,11.5,-11.5,-110,-110,229.5,-110,-110,,,,,460,-625,12.5,-12.5,-113,-108,230.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:00 PM ET,Fri,12/15/23 @ 7:00 PM ET,,Final,DET,92,False,PHI,124,True,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","26, 35, 33, 30","22, 17, 23, 30",3,,,-16,16,-113,-108,235,-110,-110,,,,,-1275,788,-15.5,15.5,-110,-110,234.5,-111,-110,,,,,-1100,700,-15.5,15.5,-110,-110,234.5,-112,-108,,,,,-1150,730,-15.5,15.5,-110,-110,234.5,-112,-108,,,,,-1250,800,-15,15,-113,-108,234.5,-110,-110,,,,,-1430,800,-15,15,-113,-108,234.5,-110,-110,,,,,,,,,,,,,,,,,,-1250,800,-15,15,-113,-108,234.5,-110,-110,,,,,-1400,800,-15.5,15.5,-110,-110,234.5,-110,-110,,,,,-1250,800,-15.5,15.5,-110,-110,234.5,-110,-110,,,,,-1400,775,-15.5,15.5,-110,-110,234.5,-110,-110,,,,,-1250,800,-15,15,-113,-108,234.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,7:00 PM ET,Wed,12/13/23 @ 7:00 PM ET,,Final,PHI,129,True,DET,111,False,/assets/images/nba/logos/PHI.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","26, 30, 24, 31","39, 31, 34, 25",3,450,-600,11,-11,-112,-110,227,-110,-110,,,,,487,-691,11.5,-11.5,-108,-113,233.5,-112,-110,,,,,500,-700,12,-12,-108,-112,233.5,-108,-112,,,,,500,-700,12,-12,-110,-110,233,-110,-110,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,,,,,,,,,,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,500,-700,12,-12,-110,-110,233.5,-110,-110,,,,,500,-750,12.5,-12.5,-110,-110,233,-110,-110,,,,,600,-900,11.5,-11.5,-105,-115,232.5,-115,-105,,,,,475,-670,11.5,-11.5,-108,-113,233.5,-112,-109,,,,,,,,,,,,,,,,,
