Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,9:00 PM ET,Fri,12/29/23 @ 9:00 PM ET,,Scheduled,CHA,,False,PHO,,False,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/PHO.png,,,,,,,,,,3,-850,575,-13.5,13.5,-110,-110,233.5,-110,-110,,,,,-1389,762,-15.5,15.5,-110,-110,232.5,-112,-109,,,,,-1200,750,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1200,750,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,-1667,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,-1400,800,-15.5,15.5,-110,-110,232,-110,-110,,,,,-1399,800,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1400,800,-15.5,15.5,-110,-110,231.5,-110,-110,,,,,-1430,750,-14.5,14.5,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,8:00 PM ET,Wed,12/27/23 @ 8:00 PM ET,,Final,PHO,129,True,HOU,113,False,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","24, 31, 29, 29","30, 43, 31, 25",3,104,-122,1.5,-1.5,-110,-110,222.5,-110,-110,,,,,126,-152,3,-3,-108,-113,225,-111,-110,,,,,124,-148,3,-3,-108,-112,225,-105,-115,,,,,134,-158,3.5,-3.5,-112,-108,225,-108,-112,,,,,125,-148,3,-3,-107,-113,225,-112,-109,,,,,123,-150,3,-3,-107,-113,225,-112,-109,,,,,,,,,,,,,,,,,,125,-148,3,-3,-107,-113,225,-112,-109,,,,,135,-160,3,-3,-105,-115,225,-110,-110,,,,,130,-160,3,-3,-110,-110,225,-110,-110,,,,,125,-155,2.5,-2.5,-105,-115,225.5,-105,-115,,,,,125,-148,3,-3,-107,-113,225,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,10:30 PM ET,Mon,12/25/23 @ 10:30 PM ET,,Final,DAL,128,True,PHO,114,False,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","24, 30, 38, 22","36, 28, 27, 37",3,-245,195,-6.5,6.5,-108,-113,225.5,-110,-110,,,,,-175,146,-4.5,4.5,-107,-114,243.5,-109,-113,,,,,-175,150,-4,4,-112,-108,243,-110,-110,,,,,-174,146,-4,4,-112,-108,243,-110,-110,,,,,-175,145,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,-175,143,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,,,,,,,,,,,,,,-175,145,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,-175,148,-4,4,-110,-110,243.5,-110,-110,,,,,-180,150,-4.5,4.5,-110,-110,243,-110,-110,,,,,-175,145,-4.5,4.5,-105,-115,243.5,-110,-110,,,,,-175,145,-4.5,4.5,-107,-114,243.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,10:00 PM ET,Fri,12/22/23 @ 10:00 PM ET,,Final,PHO,105,False,SAC,120,True,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 30, 38, 17","30, 24, 30, 21",3,-142,118,-2.5,2.5,-110,-110,245,-110,-110,,,,,-168,141,-4,4,-110,-112,244.5,-110,-110,,,,,-162,136,-3.5,3.5,-112,-108,245,-110,-110,,,,,-180,152,-4,4,-110,-110,244.5,-108,-112,,,,,-167,143,-4,4,-109,-112,244.5,-110,-110,,,,,-175,140,-4,4,-109,-112,244.5,-110,-110,,,,,,,,,,,,,,,,,,-167,143,-4,4,-109,-112,244.5,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,245,-110,-110,,,,,-170,140,-4,4,-110,-110,244.5,-110,-110,,,,,-165,140,-3.5,3.5,-115,-105,244.5,-110,-110,,,,,-167,143,-4,4,-109,-112,244.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,10:00 PM ET,Tue,12/19/23 @ 10:00 PM ET,,Final,PHO,104,False,POR,109,True,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","20, 29, 38, 22","36, 25, 20, 23",3,210,-258,6.5,-6.5,-110,-110,231,-110,-110,,,,,235,-288,7,-7,-114,-107,230.5,-110,-110,,,,,240,-298,7,-7,-110,-110,230.5,-110,-110,,,,,240,-295,7.5,-7.5,-112,-108,230.5,-110,-110,,,,,235,-286,7,-7,-114,-107,230.5,-112,-109,,,,,230,-286,7,-7,-114,-107,230.5,-112,-109,,,,,,,,,,,,,,,,,,235,-286,7,-7,-114,-107,230.5,-112,-109,,,,,240,-305,7.5,-7.5,-110,-110,230,-110,-110,,,,,240,-300,7.5,-7.5,-110,-110,230.5,-110,-110,,,,,230,-275,7.5,-7.5,-115,-105,230.5,-110,-110,,,,,235,-286,7,-7,-114,-107,230.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,8:00 PM ET,Sun,12/17/23 @ 8:00 PM ET,,Final,WAS,108,False,PHO,112,True,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","21, 25, 35, 31","29, 29, 31, 19",3,-899,600,-12.5,12.5,-110,-110,244.5,-110,-110,,,,,-794,546,-13,13,-110,-112,246,-113,-108,,,,,-800,550,-13,13,-115,-105,246.5,-110,-110,,,,,-820,570,-13,13,-110,-110,246,-112,-108,,,,,-770,540,-13,13,-109,-112,246,-113,-108,,,,,-835,540,-13,13,-109,-112,246,-113,-108,,,,,,,,,,,,,,,,,,-770,540,-13,13,-109,-112,246,-113,-108,,,,,-800,550,-13,13,-115,-105,245.5,-105,-115,,,,,-800,550,-13,13,-110,-110,246.5,-110,-110,,,,,-800,550,-13.5,13.5,-105,-115,246.5,-110,-110,,,,,-770,540,-13,13,-109,-112,246,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,10:00 PM ET,Fri,12/15/23 @ 10:00 PM ET,,Final,NY,139,True,PHO,122,False,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","30, 38, 31, 23","31, 32, 34, 42",3,-200,165,-5.5,5.5,-110,-110,230.5,-110,-110,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,-218,180,-5.5,5.5,-110,-110,230.5,-110,-110,,,,,-210,176,-5,5,-110,-110,230,-112,-108,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,,,,,,,,,,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,-210,175,-5.5,5.5,-105,-115,230.5,-110,-110,,,,,-210,175,-6,6,-110,-110,230.5,-110,-110,,,,,-200,165,-4.5,4.5,-115,-105,230.5,-110,-110,,,,,-200,165,-5,5,-110,-110,230.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,9:00 PM ET,Wed,12/13/23 @ 9:00 PM ET,,Final,BKN,116,True,PHO,112,False,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","22, 34, 32, 24","31, 33, 22, 30",3,-215,180,-5,5,-110,-110,228.5,-110,-110,,,,,-183,152,-4,4,-112,-109,231,-110,-110,,,,,-192,160,-4.5,4.5,-112,-108,229.5,-110,-110,,,,,-190,160,-5,5,-108,-112,230.5,-110,-110,,,,,-175,145,-4,4,-112,-109,231,-110,-110,,,,,-177,143,-4,4,-112,-109,231,-110,-110,,,,,,,,,,,,,,,,,,-175,145,-4,4,-112,-109,231,-110,-110,,,,,-190,158,-4.5,4.5,-110,-110,231,-105,-115,,,,,-190,160,-4.5,4.5,-110,-110,231,-110,-110,,,,,-200,165,-4.5,4.5,-110,-110,230.5,-110,-110,,,,,-175,145,-4,4,-112,-109,231,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,10:00 PM ET,Tue,12/12/23 @ 10:00 PM ET,,Final,GS,116,False,PHO,119,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","25, 28, 35, 31","25, 31, 31, 29",3,-162,136,-3.5,3.5,-110,-110,231.5,-110,-110,,,,,-105,-114,1,-1,-114,-108,228.5,-109,-112,,,,,100,-120,1,-1,-105,-115,228.5,-110,-110,,,,,102,-120,1.5,-1.5,-110,-110,228.5,-110,-110,,,,,-107,-110,1,-1,-114,-107,228.5,-108,-112,,,,,-109,-112,1,-1,-114,-107,228.5,-108,-112,,,,,,,,,,,,,,,,,,-107,-110,1,-1,-114,-107,228.5,-108,-112,,,,,100,-120,1.5,-1.5,-105,-115,228,-105,-115,,,,,-105,-115,1,-1,-110,-110,228.5,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,229.5,-105,-115,,,,,-107,-110,1,-1,-114,-107,228.5,-108,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/8/23,9:00 PM ET,Fri,12/8/23 @ 9:00 PM ET,,Final,SAC,114,True,PHO,106,False,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","26, 33, 12, 35","24, 26, 33, 31",3,100,-118,1.5,-1.5,-110,-110,225.5,-110,-110,,,,,129,-155,3.5,-3.5,-114,-107,235,-108,-113,,,,,124,-148,3,-3,-108,-112,235.5,-110,-110,,,,,130,-154,3,-3,-108,-112,235.5,-110,-110,,,,,133,-157,3.5,-3.5,-114,-107,235,-108,-113,,,,,130,-159,3.5,-3.5,-114,-107,235,-108,-113,,,,,,,,,,,,,,,,,,133,-157,3.5,-3.5,-114,-107,235,-108,-113,,,,,110,-130,2,-2,-110,-110,235,-110,-110,,,,,125,-150,3.5,-3.5,-110,-110,235.5,-110,-110,,,,,125,-150,3.5,-3.5,-115,-105,235.5,-110,-110,,,,,133,-157,3.5,-3.5,-114,-107,235,-108,-113,,,,,,,,,,,,,,,,,
