Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,10:00 PM ET,Fri,12/29/23 @ 10:00 PM ET,,Scheduled,SA,,False,POR,,False,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/POR.png,,,,,,,,,,3,-190,155,-5,5,-110,-110,232.5,-110,-118,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-255,210,-6,6,-112,-108,226,-110,-110,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-240,190,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,-190,155,-4.5,4.5,-115,-105,234.5,-105,-115,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,10:00 PM ET,Thu,12/28/23 @ 10:00 PM ET,,Final,SA,118,True,POR,105,False,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","14, 31, 29, 31","38, 21, 28, 31",3,-155,130,-3.5,3.5,-110,-110,234.5,-110,-110,,,,,-153,127,-3,3,-110,-110,232.5,-112,-110,,,,,-162,136,-3,3,-112,-108,232.5,-110,-110,,,,,-152,128,-3,3,-110,-110,233,-108,-112,,,,,-148,125,-3,3,-110,-110,232.5,-112,-109,,,,,-150,123,-3,3,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,,-148,125,-3,3,-110,-110,232.5,-112,-109,,,,,-170,143,-4,4,-110,-110,233,-110,-110,,,,,-160,130,-3,3,-110,-110,233,-110,-110,,,,,-155,125,-3.5,3.5,-105,-115,232.5,-110,-110,,,,,-148,125,-3,3,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,10:00 PM ET,Tue,12/26/23 @ 10:00 PM ET,,Final,SAC,113,False,POR,130,True,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","32, 35, 37, 26","33, 27, 35, 18",3,190,-235,5.5,-5.5,-110,-110,235.5,-110,-112,,,,,316,-406,9,-9,-112,-110,236.5,-110,-112,,,,,310,-395,9,-9,-110,-110,236.5,-110,-110,,,,,315,-400,9,-9,-110,-112,236.5,-110,-110,,,,,325,-420,9,-9,-112,-109,236.5,-109,-112,,,,,325,-435,9,-9,-112,-109,236.5,-109,-112,,,,,,,,,,,,,,,,,,325,-420,9,-9,-112,-109,236.5,-109,-112,,,,,275,-350,8,-8,-110,-110,237,-110,-110,,,,,300,-375,9,-9,-110,-110,236.5,-110,-110,,,,,310,-400,9.5,-9.5,-115,-105,236.5,-110,-110,,,,,325,-420,9,-9,-112,-109,236.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:30 PM ET,Sat,12/23/23 @ 8:30 PM ET,,Final,POR,106,False,GS,126,True,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","23, 34, 32, 37","30, 16, 31, 29",3,-350,260,-9,9,-110,-110,233.5,-110,-110,,,,,-372,292,-8.5,8.5,-109,-112,232,-112,-109,,,,,-355,280,-8,8,-110,-110,231.5,-110,-110,,,,,-350,280,-8,8,-112,-108,231,-110,-110,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,,,,,,,,,,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,-385,300,-8.5,8.5,-110,-110,230.5,-105,-115,,,,,-350,280,-8,8,-110,-110,232,-110,-110,,,,,-350,280,-8.5,8.5,-105,-115,231.5,-110,-110,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,10:00 PM ET,Thu,12/21/23 @ 10:00 PM ET,,Final,WAS,118,True,POR,117,False,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","24, 30, 26, 37","33, 34, 26, 25",3,-148,124,-3.5,3.5,-110,-110,238.5,-110,-110,,,,,-176,145,-4,4,-114,-108,239,-112,-109,,,,,-180,150,-4,4,-115,-105,238,-105,-115,,,,,-174,146,-4,4,-110,-110,238.5,-108,-112,,,,,-175,145,-4,4,-114,-107,239,-112,-109,,,,,-177,145,-4,4,-114,-107,239,-112,-109,,,,,,,,,,,,,,,,,,-175,145,-4,4,-114,-107,239,-112,-109,,,,,-165,140,-4,4,-110,-110,238.5,-110,-110,,,,,-175,145,-4.5,4.5,-110,-110,239.5,-110,-110,,,,,-175,145,-4.5,4.5,-105,-115,238.5,-110,-110,,,,,-175,145,-4,4,-114,-107,239,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,10:00 PM ET,Tue,12/19/23 @ 10:00 PM ET,,Final,PHO,104,False,POR,109,True,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","20, 29, 38, 22","36, 25, 20, 23",3,210,-258,6.5,-6.5,-110,-110,231,-110,-110,,,,,235,-288,7,-7,-114,-107,230.5,-110,-110,,,,,240,-298,7,-7,-110,-110,230.5,-110,-110,,,,,240,-295,7.5,-7.5,-112,-108,230.5,-110,-110,,,,,235,-286,7,-7,-114,-107,230.5,-112,-109,,,,,230,-286,7,-7,-114,-107,230.5,-112,-109,,,,,,,,,,,,,,,,,,235,-286,7,-7,-114,-107,230.5,-112,-109,,,,,240,-305,7.5,-7.5,-110,-110,230,-110,-110,,,,,240,-300,7.5,-7.5,-110,-110,230.5,-110,-110,,,,,230,-275,7.5,-7.5,-115,-105,230.5,-110,-110,,,,,235,-286,7,-7,-114,-107,230.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,9:00 PM ET,Sun,12/17/23 @ 9:00 PM ET,,Final,GS,118,True,POR,114,False,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","23, 26, 35, 30","27, 38, 24, 29",3,,,4,-4,-110,-110,233,-110,-110,,,,,190,-231,6,-6,-113,-108,232.5,-112,-109,,,,,190,-230,6,-6,-112,-108,232.5,-110,-110,,,,,188,-225,6,-6,-110,-110,233,-110,-110,,,,,190,-230,6,-6,-113,-108,232.5,-112,-109,,,,,185,-235,6,-6,-113,-108,232.5,-112,-109,,,,,,,,,,,,,,,,,,190,-230,6,-6,-113,-108,232.5,-112,-109,,,,,185,-225,6,-6,-110,-110,232.5,-110,-110,,,,,185,-225,6,-6,-110,-110,233.5,-110,-110,,,,,190,-250,5.5,-5.5,-105,-115,233.5,-110,-110,,,,,190,-230,6,-6,-113,-108,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,9:00 PM ET,Sat,12/16/23 @ 9:00 PM ET,,Final,DAL,131,True,POR,120,False,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","39, 24, 36, 21","36, 38, 36, 21",3,205,-250,6,-6,-110,-110,231,-110,-110,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,160,-192,4.5,-4.5,-110,-110,232.5,-115,-105,,,,,158,-188,4.5,-4.5,-110,-110,233,-112,-108,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,175,-220,5,-5,-110,-110,233.5,-112,-109,,,,,,,,,,,,,,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,170,-205,5,-5,-110,-110,233,-110,-110,,,,,165,-200,4.5,-4.5,-110,-110,232.5,-110,-110,,,,,155,-190,4.5,-4.5,-110,-110,232.5,-110,-110,,,,,175,-215,5,-5,-110,-110,233.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,10:00 PM ET,Thu,12/14/23 @ 10:00 PM ET,,Final,UTA,122,True,POR,114,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","30, 24, 22, 38","38, 31, 34, 19",3,,,-1.5,1.5,-110,-110,231.5,-110,-110,,,,,-200,164,-5,5,-112,-110,226,-112,-109,,,,,-198,164,-5,5,-110,-110,226,-112,-108,,,,,-200,168,-5,5,-110,-110,226.5,-110,-110,,,,,-200,165,-5,5,-112,-109,226,-112,-109,,,,,-205,165,-5,5,-112,-109,226,-112,-109,,,,,,,,,,,,,,,,,,-200,165,-5,5,-112,-109,226,-112,-109,,,,,-190,158,-5,5,-110,-110,225,-105,-115,,,,,-200,165,-5,5,-110,-110,226,-110,-110,,,,,-200,165,-4.5,4.5,-115,-105,226.5,-105,-115,,,,,-200,165,-5,5,-112,-109,226,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,10:30 PM ET,Mon,12/11/23 @ 10:30 PM ET,,Final,POR,127,False,LAC,132,True,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","43, 23, 39, 27","32, 33, 34, 28",3,-850,590,-12.5,12.5,-110,-110,216.5,-110,-110,,,,,-1101,696,-14.5,14.5,-110,-112,220.5,-110,-112,,,,,-1050,675,-14.5,14.5,-112,-108,220.5,-108,-112,,,,,-1100,700,-14.5,14.5,-112,-108,220.5,-110,-110,,,,,-1115,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,-1250,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,,,,,,,,,,,,,,-1115,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,-1100,700,-14.5,14.5,-115,-105,220.5,-110,-110,,,,,-899,600,-14,14,-110,-110,219.5,-110,-110,,,,,-1200,750,-14.5,14.5,-110,-110,220.5,-110,-110,,,,,-1115,700,-14.5,14.5,-108,-113,220.5,-109,-112,,,,,,,,,,,,,,,,,
