Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,SAC,,False,ATL,,False,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/ATL.png,,,,,,,,,,3,-120,100,-1.5,1.5,-110,-110,252.5,-110,-110,,,,,-115,-105,-1.5,1.5,-109,-112,250,-110,-110,,,,,-112,-108,-1,1,-105,-115,250.5,-110,-110,,,,,-104,-112,1,-1,-114,-108,251,-110,-110,,,,,-115,-104,-1.5,1.5,-109,-112,250,-110,-110,,,,,-117,-105,-1.5,1.5,-109,-112,250,-110,-110,,,,,,,,,,,,,,,,,,-115,-104,-1.5,1.5,-109,-112,250,-110,-110,,,,,-115,-105,-1,1,-110,-110,251.5,-110,-110,,,,,-115,-105,-1,1,-110,-110,250.5,-110,-110,,,,,-115,-105,-0.5,0.5,-115,-105,250.5,-110,-110,,,,,-115,-104,-1.5,1.5,-109,-112,250,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,10:00 PM ET,Tue,12/26/23 @ 10:00 PM ET,,Final,SAC,113,False,POR,130,True,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","32, 35, 37, 26","33, 27, 35, 18",3,190,-235,5.5,-5.5,-110,-110,235.5,-110,-112,,,,,316,-406,9,-9,-112,-110,236.5,-110,-112,,,,,310,-395,9,-9,-110,-110,236.5,-110,-110,,,,,315,-400,9,-9,-110,-112,236.5,-110,-110,,,,,325,-420,9,-9,-112,-109,236.5,-109,-112,,,,,325,-435,9,-9,-112,-109,236.5,-109,-112,,,,,,,,,,,,,,,,,,325,-420,9,-9,-112,-109,236.5,-109,-112,,,,,275,-350,8,-8,-110,-110,237,-110,-110,,,,,300,-375,9,-9,-110,-110,236.5,-110,-110,,,,,310,-400,9.5,-9.5,-115,-105,236.5,-110,-110,,,,,325,-420,9,-9,-112,-109,236.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,10:00 PM ET,Sat,12/23/23 @ 10:00 PM ET,,Final,MIN,110,True,SAC,98,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","20, 27, 23, 28","28, 31, 22, 29",3,-116,-102,-1,1,-110,-110,232.5,-110,-110,,,,,-138,115,-2.5,2.5,-112,-110,233,-112,-109,,,,,-135,114,-2.5,2.5,-108,-112,232.5,-112,-108,,,,,-130,110,-2,2,-110,-110,232.5,-112,-108,,,,,-139,118,-2.5,2.5,-112,-109,233,-112,-109,,,,,-141,116,-2.5,2.5,-112,-109,233,-112,-109,,,,,,,,,,,,,,,,,,-139,118,-2.5,2.5,-112,-109,233,-112,-109,,,,,-155,130,-3,3,-110,-110,233.5,-110,-110,,,,,-130,110,-2,2,-110,-110,232.5,-110,-110,,,,,-135,110,-2.5,2.5,-105,-115,232.5,-110,-110,,,,,-139,118,-2.5,2.5,-112,-109,233,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,10:00 PM ET,Fri,12/22/23 @ 10:00 PM ET,,Final,PHO,105,False,SAC,120,True,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 30, 38, 17","30, 24, 30, 21",3,-142,118,-2.5,2.5,-110,-110,245,-110,-110,,,,,-168,141,-4,4,-110,-112,244.5,-110,-110,,,,,-162,136,-3.5,3.5,-112,-108,245,-110,-110,,,,,-180,152,-4,4,-110,-110,244.5,-108,-112,,,,,-167,143,-4,4,-109,-112,244.5,-110,-110,,,,,-175,140,-4,4,-109,-112,244.5,-110,-110,,,,,,,,,,,,,,,,,,-167,143,-4,4,-109,-112,244.5,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,245,-110,-110,,,,,-170,140,-4,4,-110,-110,244.5,-110,-110,,,,,-165,140,-3.5,3.5,-115,-105,244.5,-110,-110,,,,,-167,143,-4,4,-109,-112,244.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,10:00 PM ET,Wed,12/20/23 @ 10:00 PM ET,,Final,BOS,144,True,SAC,119,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","41, 25, 24, 29","38, 36, 39, 31",3,110,-130,2.5,-2.5,-110,-110,231.5,-110,-110,,,,,-163,136,-3.5,3.5,-112,-110,239,-109,-112,,,,,-170,142,-4,4,-110,-110,239,-110,-110,,,,,-166,140,-3.5,3.5,-108,-112,238.5,-110,-110,,,,,-159,135,-3.5,3.5,-112,-109,239,-109,-112,,,,,-162,133,-3.5,3.5,-112,-109,239,-109,-112,,,,,,,,,,,,,,,,,,-159,135,-3.5,3.5,-112,-109,239,-109,-112,,,,,-170,143,-3.5,3.5,-115,-105,238.5,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,238.5,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,238.5,-110,-110,,,,,-159,135,-3.5,3.5,-112,-109,239,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,10:00 PM ET,Mon,12/18/23 @ 10:00 PM ET,,Final,WAS,131,False,SAC,143,True,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","27, 39, 46, 31","31, 25, 35, 40",3,-625,455,-11.5,11.5,-110,-110,245,-110,-110,,,,,-1079,685,-14,14,-110,-111,251.5,-110,-110,,,,,-1000,650,-14,14,-112,-108,252,-112,-108,,,,,-950,640,-14,14,-110,-110,251,-110,-110,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,,,,,,,,,,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,-1000,650,-14,14,-115,-105,250.5,-115,-105,,,,,-1099,700,-14.5,14.5,-110,-110,251,-110,-110,,,,,-1200,750,-14.5,14.5,-110,-110,251.5,-110,-110,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,10:00 PM ET,Sat,12/16/23 @ 10:00 PM ET,,Final,UTA,104,False,SAC,125,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 27, 44, 19","23, 27, 26, 28",3,-560,420,-10.5,10.5,-110,-110,238.5,-110,-110,,,,,-371,288,-8.5,8.5,-109,-112,235,-109,-112,,,,,-340,270,-8,8,-112,-108,235,-112,-108,,,,,-330,265,-8,8,-112,-108,234.5,-110,-110,,,,,-385,300,-8.5,8.5,-109,-112,235,-109,-112,,,,,-385,295,-8.5,8.5,-109,-112,235,-109,-112,,,,,,,,,,,,,,,,,,-385,300,-8.5,8.5,-109,-112,235,-109,-112,,,,,-455,345,-10,10,-110,-110,240.5,-110,-110,,,,,-350,260,-8,8,-110,-110,235.5,-110,-110,,,,,-350,260,-8.5,8.5,-105,-115,233.5,-120,100,,,,,-385,300,-8.5,8.5,-109,-112,235,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,10:00 PM ET,Thu,12/14/23 @ 10:00 PM ET,,Final,OKC,123,False,SAC,128,True,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","29, 30, 41, 28","30, 23, 39, 31",3,-120,100,-1.5,1.5,-110,-110,240.5,-110,-110,,,,,-130,109,-2,2,-110,-110,245,-109,-112,,,,,-130,110,-2,2,-112,-108,245.5,-110,-110,,,,,-132,112,-2,2,-110,-110,245.5,-110,-110,,,,,-127,108,-2,2,-110,-110,245,-109,-112,,,,,-129,107,-2,2,-110,-110,245,-109,-112,,,,,,,,,,,,,,,,,,-127,108,-2,2,-110,-110,245,-109,-112,,,,,-135,115,-2.5,2.5,-110,-110,245.5,-110,-110,,,,,-130,110,-2,2,-110,-110,245,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,245.5,-110,-110,,,,,-127,108,-2,2,-110,-110,245,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,10:30 PM ET,Tue,12/12/23 @ 10:30 PM ET,,Final,SAC,99,False,LAC,119,True,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","32, 38, 29, 20","24, 24, 22, 29",3,-215,180,-5,5,-110,-110,229.5,-110,-110,,,,,-159,134,-3.5,3.5,-108,-114,237.5,-110,-110,,,,,-170,142,-3.5,3.5,-112,-108,237.5,-112,-108,,,,,-166,140,-3.5,3.5,-110,-110,237,-110,-110,,,,,-157,133,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,-159,130,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,,,,,,,,,,,,,,-157,133,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,-165,140,-3.5,3.5,-110,-110,237.5,-115,-105,,,,,-170,140,-3.5,3.5,-110,-110,237.5,-110,-110,,,,,-175,145,-3.5,3.5,-115,-105,237.5,-110,-110,,,,,-157,133,-3.5,3.5,-107,-114,237.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,10:00 PM ET,Mon,12/11/23 @ 10:00 PM ET,,Final,BKN,118,False,SAC,131,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","26, 28, 44, 33","18, 30, 37, 33",3,-218,180,-5.5,5.5,-110,-110,230.5,-110,-110,,,,,-181,150,-4.5,4.5,-114,-107,237.5,-108,-113,,,,,-198,164,-5,5,-108,-112,237,-110,-110,,,,,-184,154,-4.5,4.5,-114,-106,237,-110,-110,,,,,-182,150,-5,5,-107,-114,237.5,-109,-112,,,,,-186,150,-5,5,-107,-114,237.5,-109,-112,,,,,,,,,,,,,,,,,,-182,150,-5,5,-107,-114,237.5,-109,-112,,,,,-190,158,-4.5,4.5,-110,-110,236,-110,-110,,,,,-190,160,-5,5,-110,-110,238,-110,-110,,,,,-190,160,-4.5,4.5,-115,-105,237.5,-110,-110,,,,,-182,150,-5,5,-107,-114,237.5,-109,-112,,,,,,,,,,,,,,,,,
