Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,3:30 PM ET,Mon,1/15/24 @ 3:30 PM ET,,Scheduled,SA,,False,ATL,,False,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/ATL.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-310,250,-7.5,7.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,10:00 PM ET,Fri,12/29/23 @ 10:00 PM ET,,Scheduled,SA,,False,POR,,False,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/POR.png,,,,,,,,,,3,-190,155,-5,5,-110,-110,232.5,-110,-118,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-255,210,-6,6,-112,-108,226,-110,-110,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,,-240,190,-6.5,6.5,-110,-110,224.5,-110,-110,,,,,-190,155,-4.5,4.5,-115,-105,234.5,-105,-115,,,,,-250,205,-6,6,-112,-109,225.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,10:00 PM ET,Thu,12/28/23 @ 10:00 PM ET,,Final,SA,118,True,POR,105,False,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","14, 31, 29, 31","38, 21, 28, 31",3,-155,130,-3.5,3.5,-110,-110,234.5,-110,-110,,,,,-153,127,-3,3,-110,-110,232.5,-112,-110,,,,,-162,136,-3,3,-112,-108,232.5,-110,-110,,,,,-152,128,-3,3,-110,-110,233,-108,-112,,,,,-148,125,-3,3,-110,-110,232.5,-112,-109,,,,,-150,123,-3,3,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,,-148,125,-3,3,-110,-110,232.5,-112,-109,,,,,-170,143,-4,4,-110,-110,233,-110,-110,,,,,-160,130,-3,3,-110,-110,233,-110,-110,,,,,-155,125,-3.5,3.5,-105,-115,232.5,-110,-110,,,,,-148,125,-3,3,-110,-110,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,Final,UTA,130,True,SA,118,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","32, 28, 33, 25","27, 37, 36, 30",3,102,-120,1.5,-1.5,-110,-110,242.5,-110,-110,,,,,128,-155,3.5,-3.5,-112,-108,241.5,-109,-112,,,,,130,-155,2.5,-2.5,-105,-115,241.5,-110,-110,,,,,130,-154,2.5,-2.5,-106,-114,241.5,-110,-110,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,,,,,,,,,,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,126,-150,2.5,-2.5,-110,-110,242.5,-110,-110,,,,,120,-145,3,-3,-110,-110,241.5,-110,-110,,,,,125,-150,2.5,-2.5,-105,-115,241.5,-110,-110,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:30 PM ET,Sat,12/23/23 @ 8:30 PM ET,,Final,SA,119,False,DAL,144,True,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","40, 32, 45, 27","29, 37, 20, 33",3,-295,240,-7,7,-110,-110,239.5,-110,-110,,,,,-365,285,-8,8,-114,-108,243,-108,-113,,,,,-355,280,-8,8,-112,-108,243.5,-110,-110,,,,,-340,275,-8.5,8.5,-110,-110,243,-110,-110,,,,,-375,295,-8,8,-114,-107,243,-108,-113,,,,,-375,285,-8,8,-114,-107,243,-108,-113,,,,,,,,,,,,,,,,,,-375,295,-8,8,-114,-107,243,-108,-113,,,,,-355,278,-8.5,8.5,-110,-110,242.5,-115,-105,,,,,-350,260,-8,8,-110,-110,243.5,-110,-110,,,,,-350,275,-7.5,7.5,-115,-105,243.5,-110,-110,,,,,-375,295,-8,8,-114,-107,243,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,8:00 PM ET,Thu,12/21/23 @ 8:00 PM ET,,Final,SA,95,False,CHI,114,True,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","27, 25, 25, 37","28, 20, 22, 25",3,-162,136,-4,4,-110,-110,229.5,-110,-110,,,,,-229,186,-5.5,5.5,-112,-109,229,-113,-108,,,,,-238,195,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-240,198,-6.5,6.5,-108,-112,229.5,-110,-110,,,,,-220,180,-5.5,5.5,-112,-109,229,-113,-108,,,,,-220,175,-5.5,5.5,-112,-109,229,-113,-108,,,,,,,,,,,,,,,,,,-220,180,-5.5,5.5,-112,-109,229,-113,-108,,,,,-235,192,-6,6,-115,-105,229.5,-110,-110,,,,,-240,190,-6,6,-110,-110,229,-110,-110,,,,,-250,195,-6.5,6.5,-110,-110,229.5,-110,-110,,,,,-220,180,-5.5,5.5,-112,-109,229,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,8:00 PM ET,Tue,12/19/23 @ 8:00 PM ET,,Final,SA,119,False,MIL,132,True,/assets/images/nba/logos/SA.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","44, 28, 35, 25","26, 33, 26, 34",3,-750,500,-13.5,13.5,-110,-110,247.5,-110,-110,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,-1450,850,-16.5,16.5,-112,-108,248.5,-110,-110,,,,,-1500,870,-16.5,16.5,-110,-110,249.5,-110,-110,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,-2500,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,,,,,,,,,,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,-1600,900,-16.5,16.5,-110,-110,249,-115,-105,,,,,-1399,800,-16.5,16.5,-110,-110,249,-110,-110,,,,,-2000,1000,-16.5,16.5,-110,-110,249.5,-105,-115,,,,,-2000,1000,-16.5,16.5,-112,-109,248.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,3:30 PM ET,Sun,12/17/23 @ 3:30 PM ET,,Final,NO,146,True,SA,110,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","20, 31, 27, 32","33, 28, 44, 41",3,230,-290,8,-8,-110,-110,237.5,-110,-110,,,,,257,-319,7.5,-7.5,-109,-112,238,-110,-110,,,,,240,-298,7.5,-7.5,-108,-112,238.5,-112,-108,,,,,260,-320,7.5,-7.5,-108,-112,239,-110,-110,,,,,260,-315,7.5,-7.5,-109,-112,238,-110,-110,,,,,255,-335,7.5,-7.5,-109,-112,238,-110,-110,,,,,,,,,,,,,,,,,,260,-315,7.5,-7.5,-109,-112,238,-110,-110,,,,,250,-320,8,-8,-105,-115,237.5,-110,-110,,,,,240,-300,7.5,-7.5,-110,-110,239,-110,-110,,,,,260,-350,7.5,-7.5,-110,-110,238.5,-110,-110,,,,,260,-315,7.5,-7.5,-109,-112,238,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:30 PM ET,Fri,12/15/23 @ 7:30 PM ET,,Final,LAL,115,False,SA,129,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","42, 27, 29, 31","22, 40, 25, 28",3,142,-168,4,-4,-110,-110,232,-110,-110,,,,,155,-188,4.5,-4.5,-113,-108,235,-113,-108,,,,,150,-180,4,-4,-108,-112,235.5,-110,-110,,,,,150,-178,4,-4,-110,-110,235.5,-110,-110,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,,,,,,,,,,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,152,-180,4,-4,100,-120,236,-110,-110,,,,,145,-175,4.5,-4.5,-110,-110,235.5,-110,-110,,,,,140,-165,3.5,-3.5,-105,-115,236.5,-110,-110,,,,,160,-195,4.5,-4.5,-113,-108,235,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,8:00 PM ET,Wed,12/13/23 @ 8:00 PM ET,,Final,LAL,122,True,SA,119,False,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","26, 24, 24, 45","34, 29, 29, 30",3,205,-250,6,-6,-110,-110,230,-110,-110,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,140,-166,3.5,-3.5,-108,-112,231,-115,-105,,,,,138,-164,3.5,-3.5,-110,-110,230,-112,-110,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,138,-167,3.5,-3.5,-110,-110,230,-110,-110,,,,,,,,,,,,,,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,140,-165,3.5,-3.5,-110,-110,233,-115,-105,,,,,130,-160,3.5,-3.5,-110,-110,230.5,-110,-110,,,,,140,-165,3.5,-3.5,-110,-110,231.5,-105,-115,,,,,138,-165,3.5,-3.5,-110,-110,230,-110,-110,,,,,,,,,,,,,,,,,
