Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,7:30 PM ET,Mon,1/15/24 @ 7:30 PM ET,,Scheduled,BOS,,False,TOR,,False,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/TOR.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,160,-192,4.5,-4.5,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:30 PM ET,Fri,12/29/23 @ 7:30 PM ET,,Scheduled,TOR,,False,BOS,,False,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/BOS.png,,,,,,,,,,3,-1000,650,-12.5,12.5,-110,-110,223.5,-110,-110,,,,,-454,346,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-390,310,-9,9,-110,-110,224.5,-108,-112,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,-455,330,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,,-450,350,-9.5,9.5,-110,-110,222.5,-110,-110,,,,,,,,,,,,,,,,,,-455,350,-9,9,-112,-109,224,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,7:00 PM ET,Wed,12/27/23 @ 7:00 PM ET,,Final,TOR,132,True,WAS,102,False,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","25, 25, 31, 21","31, 28, 38, 35",3,154,-185,4.5,-4.5,-110,-110,240,-110,-110,,,,,219,-273,6.5,-6.5,-110,-112,242,-108,-113,,,,,215,-265,7,-7,-115,-105,241.5,-110,-110,,,,,220,-270,6.5,-6.5,-110,-110,242,-110,-110,,,,,220,-275,6.5,-6.5,-109,-112,242,-108,-113,,,,,220,-278,6.5,-6.5,-109,-112,242,-108,-113,,,,,,,,,,,,,,,,,,220,-275,6.5,-6.5,-109,-112,242,-108,-113,,,,,196,-240,6.5,-6.5,-110,-110,242,-105,-115,,,,,220,-275,6.5,-6.5,-110,-110,242.5,-110,-110,,,,,220,-275,6.5,-6.5,-110,-110,242.5,-110,-110,,,,,220,-275,6.5,-6.5,-109,-112,242,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:30 PM ET,Sat,12/23/23 @ 7:30 PM ET,,Final,UTA,126,True,TOR,119,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","34, 37, 27, 21","31, 24, 30, 41",3,-200,165,-5.5,5.5,-110,-110,230.5,-110,-110,,,,,-222,184,-5.5,5.5,-112,-110,232,-112,-109,,,,,-218,180,-5.5,5.5,-108,-112,233.5,-110,-110,,,,,-210,176,-5.5,5.5,-108,-112,232.5,-110,-110,,,,,-230,190,-5.5,5.5,-113,-108,232,-112,-109,,,,,-235,188,-5.5,5.5,-113,-108,232,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-5.5,5.5,-113,-108,232,-112,-109,,,,,-225,185,-5.5,5.5,-110,-110,231.5,-110,-110,,,,,-210,175,-5.5,5.5,-110,-110,232.5,-110,-110,,,,,-210,170,-5.5,5.5,-110,-110,233.5,-105,-115,,,,,-230,190,-5.5,5.5,-113,-108,232,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,7:00 PM ET,Fri,12/22/23 @ 7:00 PM ET,,Final,TOR,111,False,PHI,121,True,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","28, 33, 32, 28","37, 21, 31, 22",3,-325,250,-7,7,-110,-110,229,-110,-110,,,,,-330,260,-8,8,-112,-110,230.5,-112,-110,,,,,-310,250,-8,8,-105,-115,230,-110,-110,,,,,-300,245,-8,8,-112,-108,230.5,-110,-110,,,,,-335,270,-8,8,-112,-109,230.5,-112,-109,,,,,-345,265,-8,8,-112,-109,230.5,-112,-109,,,,,,,,,,,,,,,,,,-335,270,-8,8,-112,-109,230.5,-112,-109,,,,,-320,250,-7.5,7.5,-105,-115,230.5,-110,-110,,,,,-325,250,-8,8,-110,-110,230,-110,-110,,,,,-350,260,-7.5,7.5,-110,-110,230.5,-110,-110,,,,,-335,270,-8,8,-112,-109,230.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:30 PM ET,Wed,12/20/23 @ 7:30 PM ET,,Final,DEN,113,True,TOR,104,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","20, 24, 31, 29","29, 32, 29, 23",3,164,-198,5,-5,-110,-110,227.5,-110,-110,,,,,143,-173,4,-4,-113,-108,229,-112,-110,,,,,145,-175,3.5,-3.5,-105,-115,228.5,-105,-115,,,,,142,-168,3.5,-3.5,-108,-112,229,-112,-108,,,,,145,-175,4,-4,-113,-108,229,-112,-109,,,,,143,-177,4,-4,-113,-108,229,-112,-109,,,,,,,,,,,,,,,,,,145,-175,4,-4,-113,-108,229,-112,-109,,,,,143,-170,4,-4,-110,-110,229,-110,-110,,,,,140,-170,3.5,-3.5,-110,-110,229,-110,-110,,,,,135,-165,3.5,-3.5,-110,-110,229.5,-110,-110,,,,,145,-175,4,-4,-113,-108,229,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,7:30 PM ET,Mon,12/18/23 @ 7:30 PM ET,,Final,CHA,99,False,TOR,114,True,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","19, 29, 31, 35","27, 25, 29, 18",3,-500,385,-10,10,-110,-110,227,-110,-110,,,,,-835,566,-12,12,-112,-109,223.5,-113,-108,,,,,-750,525,-12.5,12.5,-112,-108,224,-110,-110,,,,,-750,530,-12.5,12.5,-112,-108,224,-112,-110,,,,,-835,575,-12,12,-112,-109,223.5,-113,-108,,,,,-835,540,-12,12,-112,-109,223.5,-113,-108,,,,,,,,,,,,,,,,,,-835,575,-12,12,-112,-109,223.5,-113,-108,,,,,-700,500,-12,12,-115,-105,224,-110,-110,,,,,-800,550,-12.5,12.5,-110,-110,224,-110,-110,,,,,-750,525,-12.5,12.5,-110,-110,223.5,-110,-110,,,,,-835,575,-12,12,-112,-109,223.5,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:30 PM ET,Fri,12/15/23 @ 7:30 PM ET,,Final,ATL,125,True,TOR,104,False,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","24, 25, 29, 26","30, 29, 28, 38",3,-140,115,-3,3,-110,-110,244.5,-110,-110,,,,,-129,108,-2,2,-110,-110,241.5,-110,-110,,,,,-125,105,-1.5,1.5,-110,-110,240.5,-110,-110,,,,,-132,112,-2,2,-112,-108,240.5,-110,-110,,,,,-129,108,-2,2,-110,-110,241.5,-110,-110,,,,,-130,108,-2,2,-110,-110,241.5,-110,-110,,,,,,,,,,,,,,,,,,-129,108,-2,2,-110,-110,241.5,-110,-110,,,,,-135,115,-1.5,1.5,-110,-110,241,-110,-110,,,,,-125,105,-1.5,1.5,-110,-110,241,-110,-110,,,,,-125,105,-1.5,1.5,-110,-110,241.5,-110,-110,,,,,-129,108,-2,2,-110,-110,241.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,7:30 PM ET,Wed,12/13/23 @ 7:30 PM ET,,Final,ATL,128,False,TOR,135,True,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","31, 33, 39, 32","39, 27, 29, 33",3,-130,110,-2,2,-110,-110,238.5,-110,-110,,,,,-130,108,-2.5,2.5,-109,-112,241.5,-113,-108,,,,,-135,114,-2.5,2.5,-110,-110,240.5,-110,-110,,,,,-134,114,-2,2,-112,-108,240.5,-112,-108,,,,,-129,108,-2.5,2.5,-109,-112,241.5,-113,-108,,,,,-130,107,-2.5,2.5,-109,-112,241.5,-113,-108,,,,,,,,,,,,,,,,,,-129,108,-2.5,2.5,-109,-112,241.5,-113,-108,,,,,-130,110,-2,2,-110,-110,241,-115,-105,,,,,-145,120,-2.5,2.5,-110,-110,240.5,-110,-110,,,,,-145,120,-2.5,2.5,-110,-110,240.5,-115,-105,,,,,-129,108,-2.5,2.5,-109,-112,241.5,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/11/23,7:30 PM ET,Mon,12/11/23 @ 7:30 PM ET,,Final,TOR,130,False,NY,136,True,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/NY.png,,,,,,,"Q1, Q2, Q3, Q4","35, 31, 32, 38","35, 25, 37, 33",3,,,-5,5,-110,-110,217.5,-110,-110,,,,,-177,148,-4,4,-113,-108,221.5,-112,-109,,,,,-166,140,-3.5,3.5,-112,-108,221.5,-115,-105,,,,,-162,136,-4,4,-108,-112,221.5,-112,-108,,,,,-177,148,-4,4,-113,-108,221.5,-112,-109,,,,,-180,148,-4,4,-113,-108,221.5,-112,-109,,,,,,,,,,,,,,,,,,-177,148,-4,4,-113,-108,221.5,-112,-109,,,,,-178,150,-4,4,-110,-110,221,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,222,-110,-110,,,,,-165,140,-3.5,3.5,-115,-105,221.5,-115,-105,,,,,-177,148,-4,4,-113,-108,221.5,-112,-109,,,,,,,,,,,,,,,,,
