Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,9:00 PM ET,Mon,1/15/24 @ 9:00 PM ET,,Scheduled,IND,,False,UTA,,False,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/UTA.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-118,-102,-1,1,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,8:00 PM ET,Thu,12/28/23 @ 8:00 PM ET,,Final,UTA,105,False,NO,112,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","39, 20, 22, 31","37, 14, 25, 29",3,-350,260,-8.5,8.5,-110,-110,237,-110,-110,,,,,-383,299,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,-410,320,-9,9,-105,-115,239,-108,-112,,,,,-400,315,-9,9,-108,-114,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,-375,280,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,,,,,,,,,,,,,,-360,285,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,-440,335,-9.5,9.5,-110,-110,239.5,-110,-110,,,,,-400,310,-9,9,-110,-110,240,-110,-110,,,,,-400,310,-8.5,8.5,-115,-105,239.5,-110,-110,,,,,-360,285,-8.5,8.5,-113,-108,239.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,8:00 PM ET,Tue,12/26/23 @ 8:00 PM ET,,Final,UTA,130,True,SA,118,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","32, 28, 33, 25","27, 37, 36, 30",3,102,-120,1.5,-1.5,-110,-110,242.5,-110,-110,,,,,128,-155,3.5,-3.5,-112,-108,241.5,-109,-112,,,,,130,-155,2.5,-2.5,-105,-115,241.5,-110,-110,,,,,130,-154,2.5,-2.5,-106,-114,241.5,-110,-110,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,,,,,,,,,,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,126,-150,2.5,-2.5,-110,-110,242.5,-110,-110,,,,,120,-145,3,-3,-110,-110,241.5,-110,-110,,,,,125,-150,2.5,-2.5,-105,-115,241.5,-110,-110,,,,,130,-157,3.5,-3.5,-112,-108,241.5,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,7:30 PM ET,Sat,12/23/23 @ 7:30 PM ET,,Final,UTA,126,True,TOR,119,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4","34, 37, 27, 21","31, 24, 30, 41",3,-200,165,-5.5,5.5,-110,-110,230.5,-110,-110,,,,,-222,184,-5.5,5.5,-112,-110,232,-112,-109,,,,,-218,180,-5.5,5.5,-108,-112,233.5,-110,-110,,,,,-210,176,-5.5,5.5,-108,-112,232.5,-110,-110,,,,,-230,190,-5.5,5.5,-113,-108,232,-112,-109,,,,,-235,188,-5.5,5.5,-113,-108,232,-112,-109,,,,,,,,,,,,,,,,,,-230,190,-5.5,5.5,-113,-108,232,-112,-109,,,,,-225,185,-5.5,5.5,-110,-110,231.5,-110,-110,,,,,-210,175,-5.5,5.5,-110,-110,232.5,-110,-110,,,,,-210,170,-5.5,5.5,-110,-110,233.5,-105,-115,,,,,-230,190,-5.5,5.5,-113,-108,232,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,7:00 PM ET,Thu,12/21/23 @ 7:00 PM ET,,Final,UTA,119,True,DET,111,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","32, 26, 30, 23","34, 30, 26, 29",3,,,1.5,-1.5,-110,-110,238.5,-110,-110,,,,,-129,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,-130,110,-2,2,-112,-108,235.5,-115,-105,,,,,-134,114,-2,2,-112,-108,235.5,-110,-110,,,,,-127,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,-129,106,-2.5,2.5,-110,-110,235,-113,-108,,,,,,,,,,,,,,,,,,-127,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,-125,105,-2,2,-115,-105,235,-110,-110,,,,,-130,110,-2,2,-110,-110,234,-110,-110,,,,,-135,110,-2.5,2.5,-105,-115,234.5,-115,-105,,,,,-127,108,-2.5,2.5,-110,-110,235,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/20/23,7:00 PM ET,Wed,12/20/23 @ 7:00 PM ET,,Final,UTA,116,False,CLE,124,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","36, 26, 30, 32","27, 29, 37, 23",3,-330,265,-7.5,7.5,-110,-110,227.5,-110,-110,,,,,-160,133,-3,3,-113,-108,225.5,-111,-110,,,,,-148,124,-3,3,-112,-108,226,-112,-108,,,,,-158,134,-3.5,3.5,-108,-112,225.5,-112,-108,,,,,-159,135,-3,3,-113,-108,225.5,-110,-110,,,,,-162,132,-3,3,-113,-108,225.5,-110,-110,,,,,,,,,,,,,,,,,,-159,135,-3,3,-113,-108,225.5,-110,-110,,,,,-205,170,-5,5,-105,-115,227,-110,-110,,,,,-170,140,-3.5,3.5,-110,-110,226,-110,-110,,,,,-150,125,-2.5,2.5,-115,-105,225.5,-115,-105,,,,,-159,135,-3,3,-113,-108,225.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,9:00 PM ET,Mon,12/18/23 @ 9:00 PM ET,,Final,BKN,108,False,UTA,125,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/UTA.png,,,,,,,"Q1, Q2, Q3, Q4","28, 26, 34, 37","28, 31, 23, 26",3,140,-170,3.5,-3.5,-110,-110,231.5,-110,-110,,,,,133,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,130,-155,3,-3,-110,-110,233,-112,-108,,,,,130,-154,3,-3,-106,-114,233,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,133,-162,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,,,,,,,,,,,,,,135,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,135,-160,3.5,-3.5,-115,-105,234.5,-110,-110,,,,,130,-160,3,-3,-110,-110,233,-110,-110,,,,,140,-165,3.5,-3.5,-105,-115,233.5,-110,-110,,,,,135,-159,3.5,-3.5,-110,-110,232.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,10:00 PM ET,Sat,12/16/23 @ 10:00 PM ET,,Final,UTA,104,False,SAC,125,True,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","35, 27, 44, 19","23, 27, 26, 28",3,-560,420,-10.5,10.5,-110,-110,238.5,-110,-110,,,,,-371,288,-8.5,8.5,-109,-112,235,-109,-112,,,,,-340,270,-8,8,-112,-108,235,-112,-108,,,,,-330,265,-8,8,-112,-108,234.5,-110,-110,,,,,-385,300,-8.5,8.5,-109,-112,235,-109,-112,,,,,-385,295,-8.5,8.5,-109,-112,235,-109,-112,,,,,,,,,,,,,,,,,,-385,300,-8.5,8.5,-109,-112,235,-109,-112,,,,,-455,345,-10,10,-110,-110,240.5,-110,-110,,,,,-350,260,-8,8,-110,-110,235.5,-110,-110,,,,,-350,260,-8.5,8.5,-105,-115,233.5,-120,100,,,,,-385,300,-8.5,8.5,-109,-112,235,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,10:00 PM ET,Thu,12/14/23 @ 10:00 PM ET,,Final,UTA,122,True,POR,114,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","30, 24, 22, 38","38, 31, 34, 19",3,,,-1.5,1.5,-110,-110,231.5,-110,-110,,,,,-200,164,-5,5,-112,-110,226,-112,-109,,,,,-198,164,-5,5,-110,-110,226,-112,-108,,,,,-200,168,-5,5,-110,-110,226.5,-110,-110,,,,,-200,165,-5,5,-112,-109,226,-112,-109,,,,,-205,165,-5,5,-112,-109,226,-112,-109,,,,,,,,,,,,,,,,,,-200,165,-5,5,-112,-109,226,-112,-109,,,,,-190,158,-5,5,-110,-110,225,-105,-115,,,,,-200,165,-5,5,-110,-110,226,-110,-110,,,,,-200,165,-4.5,4.5,-115,-105,226.5,-105,-115,,,,,-200,165,-5,5,-112,-109,226,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,9:00 PM ET,Wed,12/13/23 @ 9:00 PM ET,,Final,NY,113,False,UTA,117,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/UTA.png,,,,,,,"Q1, Q2, Q3, Q4","22, 30, 37, 28","31, 19, 34, 29",3,172,-205,5,-5,-110,-110,229.5,-110,-112,,,,,181,-222,5.5,-5.5,-111,-111,230,-112,-109,,,,,185,-225,6,-6,-105,-115,229.5,-115,-105,,,,,188,-225,6,-6,-112,-108,229,-110,-110,,,,,180,-220,5.5,-5.5,-112,-109,230,-112,-109,,,,,180,-225,5.5,-5.5,-112,-109,230,-112,-109,,,,,,,,,,,,,,,,,,180,-220,5.5,-5.5,-112,-109,230,-112,-109,,,,,185,-225,5.5,-5.5,-105,-115,229.5,-110,-110,,,,,185,-225,6,-6,-125,-110,229,-110,-110,,,,,170,-210,5.5,-5.5,-105,-115,229.5,-115,-105,,,,,180,-220,5.5,-5.5,-112,-109,230,-112,-109,,,,,,,,,,,,,,,,,
