Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,3:00 PM ET,Mon,1/15/24 @ 3:00 PM ET,,Scheduled,DET,,False,WAS,,False,/assets/images/nba/logos/DET.png,/assets/images/nba/logos/WAS.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-135,114,-2,2,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/29/23,7:00 PM ET,Fri,12/29/23 @ 7:00 PM ET,,Scheduled,BKN,,False,WAS,,False,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/WAS.png,,,,,,,,,,3,164,-198,5.5,-5.5,-110,-110,239,-110,-110,,,,,203,-250,6,-6,-110,-112,241.5,-110,-110,,,,,200,-245,6.5,-6.5,-112,-108,242,-108,-112,,,,,205,-250,6,-6,-106,-114,242,-110,-110,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,,,,,,,,,,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,205,-250,6,-6,-110,-110,241.5,-110,-110,,,,,200,-250,6,-6,-110,-110,241.5,-110,-110,,,,,200,-250,6.5,-6.5,-115,-105,241.5,-115,-105,,,,,205,-250,6,-6,-109,-112,241.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/27/23,7:00 PM ET,Wed,12/27/23 @ 7:00 PM ET,,Final,TOR,132,True,WAS,102,False,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","25, 25, 31, 21","31, 28, 38, 35",3,154,-185,4.5,-4.5,-110,-110,240,-110,-110,,,,,219,-273,6.5,-6.5,-110,-112,242,-108,-113,,,,,215,-265,7,-7,-115,-105,241.5,-110,-110,,,,,220,-270,6.5,-6.5,-110,-110,242,-110,-110,,,,,220,-275,6.5,-6.5,-109,-112,242,-108,-113,,,,,220,-278,6.5,-6.5,-109,-112,242,-108,-113,,,,,,,,,,,,,,,,,,220,-275,6.5,-6.5,-109,-112,242,-108,-113,,,,,196,-240,6.5,-6.5,-110,-110,242,-105,-115,,,,,220,-275,6.5,-6.5,-110,-110,242.5,-110,-110,,,,,220,-275,6.5,-6.5,-110,-110,242.5,-110,-110,,,,,220,-275,6.5,-6.5,-109,-112,242,-108,-113,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/26/23,7:00 PM ET,Tue,12/26/23 @ 7:00 PM ET,,Final,ORL,127,True,WAS,119,False,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","33, 27, 28, 31","33, 30, 35, 29",3,225,-275,6.5,-6.5,-110,-110,237,-110,-110,,,,,233,-288,7.5,-7.5,-112,-109,238,-112,-109,,,,,225,-278,7,-7,-110,-110,236.5,-110,-110,,,,,235,-290,7,-7,-110,-110,237,-110,-110,,,,,240,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,235,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,,,,,,,,,,,,,,240,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,228,-285,7,-7,-110,-110,237,-105,-115,,,,,230,-290,7,-7,-110,-110,237,-110,-110,,,,,230,-275,7.5,-7.5,-115,-105,236.5,-110,-110,,,,,240,-295,7.5,-7.5,-112,-109,238,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,10:00 PM ET,Fri,12/22/23 @ 10:00 PM ET,,Final,WAS,118,False,GS,129,True,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","28, 35, 38, 28","25, 36, 22, 35",3,-750,500,-12,12,-110,-110,247.5,-110,-110,,,,,-604,438,-10.5,10.5,-113,-108,248,-108,-113,,,,,-575,425,-10.5,10.5,-112,-108,250,-110,-110,,,,,-560,420,-11,11,-108,-112,248.5,-108,-112,,,,,-590,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,-625,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,,,,,,,,,,,,,,-590,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,-600,430,-11,11,-105,-115,248.5,-110,-110,,,,,-550,400,-10.5,10.5,-110,-110,249,-110,-110,,,,,-600,425,-10.5,10.5,-110,-110,248.5,-115,-105,,,,,-590,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/21/23,10:00 PM ET,Thu,12/21/23 @ 10:00 PM ET,,Final,WAS,118,True,POR,117,False,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","24, 30, 26, 37","33, 34, 26, 25",3,-148,124,-3.5,3.5,-110,-110,238.5,-110,-110,,,,,-176,145,-4,4,-114,-108,239,-112,-109,,,,,-180,150,-4,4,-115,-105,238,-105,-115,,,,,-174,146,-4,4,-110,-110,238.5,-108,-112,,,,,-175,145,-4,4,-114,-107,239,-112,-109,,,,,-177,145,-4,4,-114,-107,239,-112,-109,,,,,,,,,,,,,,,,,,-175,145,-4,4,-114,-107,239,-112,-109,,,,,-165,140,-4,4,-110,-110,238.5,-110,-110,,,,,-175,145,-4.5,4.5,-110,-110,239.5,-110,-110,,,,,-175,145,-4.5,4.5,-105,-115,238.5,-110,-110,,,,,-175,145,-4,4,-114,-107,239,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/18/23,10:00 PM ET,Mon,12/18/23 @ 10:00 PM ET,,Final,WAS,131,False,SAC,143,True,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","27, 39, 46, 31","31, 25, 35, 40",3,-625,455,-11.5,11.5,-110,-110,245,-110,-110,,,,,-1079,685,-14,14,-110,-111,251.5,-110,-110,,,,,-1000,650,-14,14,-112,-108,252,-112,-108,,,,,-950,640,-14,14,-110,-110,251,-110,-110,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,,,,,,,,,,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,-1000,650,-14,14,-115,-105,250.5,-115,-105,,,,,-1099,700,-14.5,14.5,-110,-110,251,-110,-110,,,,,-1200,750,-14.5,14.5,-110,-110,251.5,-110,-110,,,,,-1115,700,-14,14,-109,-112,251.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,8:00 PM ET,Sun,12/17/23 @ 8:00 PM ET,,Final,WAS,108,False,PHO,112,True,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","21, 25, 35, 31","29, 29, 31, 19",3,-899,600,-12.5,12.5,-110,-110,244.5,-110,-110,,,,,-794,546,-13,13,-110,-112,246,-113,-108,,,,,-800,550,-13,13,-115,-105,246.5,-110,-110,,,,,-820,570,-13,13,-110,-110,246,-112,-108,,,,,-770,540,-13,13,-109,-112,246,-113,-108,,,,,-835,540,-13,13,-109,-112,246,-113,-108,,,,,,,,,,,,,,,,,,-770,540,-13,13,-109,-112,246,-113,-108,,,,,-800,550,-13,13,-115,-105,245.5,-105,-115,,,,,-800,550,-13,13,-110,-110,246.5,-110,-110,,,,,-800,550,-13.5,13.5,-105,-115,246.5,-110,-110,,,,,-770,540,-13,13,-109,-112,246,-113,-108,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/15/23,7:00 PM ET,Fri,12/15/23 @ 7:00 PM ET,,Final,IND,123,False,WAS,137,True,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","30, 39, 39, 29","37, 18, 32, 36",3,220,-270,7.5,-7.5,-110,-110,257.5,-110,-110,,,,,276,-351,8.5,-8.5,-108,-114,259.5,-109,-112,,,,,260,-325,8,-8,-105,-115,260,-112,-108,,,,,265,-330,8,-8,-110,-110,260,-110,-110,,,,,280,-360,8.5,-8.5,-107,-114,259.5,-109,-112,,,,,280,-360,8.5,-8.5,-107,-114,259.5,-109,-112,,,,,,,,,,,,,,,,,,280,-360,8.5,-8.5,-107,-114,259.5,-109,-112,,,,,270,-345,8.5,-8.5,-105,-115,260,-110,-110,,,,,280,-350,8.5,-8.5,-110,-110,260.5,-110,-110,,,,,280,-350,8.5,-8.5,-110,-110,259.5,-110,-110,,,,,280,-360,8.5,-8.5,-107,-114,259.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/13/23,7:00 PM ET,Wed,12/13/23 @ 7:00 PM ET,,Final,NO,142,True,WAS,122,False,/assets/images/nba/logos/NO.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4","30, 34, 29, 29","28, 47, 35, 32",3,240,-295,7,-7,-110,-110,245.5,-110,-110,,,,,228,-282,7,-7,-109,-112,239.5,-110,-110,,,,,215,-265,6.5,-6.5,-108,-112,240,-108,-112,,,,,215,-260,7,-7,-112,-108,240,-108,-112,,,,,240,-295,7,-7,-108,-113,239.5,-110,-110,,,,,235,-305,7,-7,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,,240,-295,7,-7,-108,-113,239.5,-110,-110,,,,,222,-278,7,-7,-115,-105,240,-110,-110,,,,,220,-275,7,-7,-110,-110,239.5,-110,-110,,,,,195,-250,6.5,-6.5,-110,-110,240.5,-110,-110,,,,,240,-295,7,-7,-108,-113,239.5,-110,-110,,,,,,,,,,,,,,,,,
