,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals
MIL,MIL,773,164,1041,2692,0.499,1342,801,0.779,624,30,7250,Milwaukee Bucks,299,788,130,967,2842,0.47,1336,663,0.824,546,350,627,3573,209,1023,0.347,355,1317,379,1819,0.539,981,609,3736,1,207,1126,0.38,428,1340,405,1566,0.584,914
DEN,DEN,938,172,1061,2882,0.489,1410,661,0.737,487,32,7680,Denver Nuggets,367,794,165,1022,2804,0.46,1291,738,0.795,587,352,612,3525,215,1001,0.356,356,1374,403,1803,0.519,935,606,3684,2,229,1001,0.377,377,1428,389,1881,0.549,1033
DAL,DAL,757,130,955,2741,0.471,1290,707,0.75,530,30,7200,Dallas Mavericks,316,813,116,1041,2733,0.485,1325,644,0.769,495,348,642,3533,213,1061,0.366,388,1389,426,1672,0.56,937,549,3580,3,194,1276,0.368,470,1271,357,1465,0.56,820
ATL,ATL,752,131,900,2716,0.472,1283,687,0.831,571,29,6985,Atlanta Hawks,378,822,165,939,2638,0.502,1324,664,0.791,525,341,581,3565,219,1018,0.385,392,1280,439,1620,0.575,932,559,3557,4,239,1119,0.375,420,1278,396,1597,0.54,863
IND,IND,857,182,832,2629,0.506,1330,600,0.795,477,28,6720,Indiana Pacers,282,713,164,887,2530,0.51,1291,777,0.822,639,307,526,3522,177,759,0.397,301,1194,406,1771,0.559,990,630,3541,5,221,1063,0.38,404,1114,373,1566,0.591,926
PHI,PHI,754,173,979,2587,0.483,1250,798,0.85,678,29,6985,Philadelphia 76ers,322,752,169,919,2546,0.462,1176,691,0.79,546,311,577,3226,187,950,0.345,328,1230,418,1596,0.531,848,597,3537,6,259,943,0.381,359,1301,373,1644,0.542,891
LAL,LAL,841,170,1092,2703,0.485,1312,751,0.764,574,31,7490,Los Angeles Lakers,273,833,149,1046,2868,0.463,1328,591,0.782,462,339,627,3552,253,1168,0.372,434,1385,420,1700,0.526,894,528,3536,7,232,949,0.356,338,1365,437,1754,0.555,974
GSW,GSW,841,100,1026,2713,0.46,1249,714,0.797,569,30,7275,Golden State Warriors,397,755,136,968,2694,0.463,1246,767,0.798,612,327,602,3477,242,1074,0.347,373,1295,388,1620,0.539,873,639,3514,8,209,1207,0.37,447,1423,458,1506,0.533,802
BOS,BOS,744,183,1043,2612,0.48,1255,624,0.803,501,29,7035,Boston Celtics,319,696,110,925,2650,0.448,1188,553,0.736,407,319,536,3187,190,1089,0.371,404,1244,356,1561,0.502,784,509,3482,9,196,1254,0.376,471,1362,379,1358,0.577,784
NOP,NOP,792,133,1002,2633,0.482,1269,774,0.767,594,30,7200,New Orleans Pelicans,329,811,150,995,2650,0.465,1233,684,0.772,528,314,608,3398,188,1174,0.344,404,1309,430,1476,0.562,829,598,3471,10,245,927,0.366,339,1331,406,1706,0.545,930
CHI,CHI,735,149,966,2779,0.455,1264,637,0.791,504,31,7540,Chicago Bulls,354,852,155,1060,2640,0.471,1243,719,0.779,560,330,578,3484,199,1183,0.37,438,1390,467,1457,0.553,805,612,3409,11,249,1031,0.366,377,1320,373,1748,0.507,887
MIA,MIA,787,96,954,2560,0.473,1210,712,0.83,591,30,7200,Miami Heat,287,800,149,983,2575,0.48,1237,617,0.76,469,282,611,3356,217,1099,0.376,413,1265,435,1476,0.558,824,556,3402,12,226,989,0.395,391,1241,399,1571,0.521,819
UTA,UTA,810,178,983,2712,0.456,1236,637,0.818,521,30,7275,Utah Jazz,396,851,189,935,2744,0.484,1327,645,0.771,497,336,575,3581,265,1137,0.378,430,1271,393,1607,0.558,897,589,3390,13,209,1113,0.357,397,1379,501,1599,0.525,839
LAC,LAC,736,154,959,2549,0.485,1237,681,0.805,548,29,6985,Los Angeles Clippers,306,752,136,909,2584,0.459,1187,668,0.781,522,335,587,3267,205,1042,0.356,371,1244,397,1542,0.529,816,589,3384,14,238,952,0.38,362,1265,382,1597,0.548,875
BRK,BRK,767,169,993,2656,0.468,1242,594,0.774,460,29,6985,Brooklyn Nets,362,750,135,962,2648,0.46,1219,620,0.831,515,319,534,3350,203,1067,0.372,397,1281,336,1581,0.52,822,548,3363,15,178,1089,0.385,419,1355,380,1567,0.525,823
CLE,CLE,779,138,987,2649,0.473,1254,626,0.767,480,30,7250,Cleveland Cavaliers,330,746,158,962,2628,0.461,1212,708,0.797,564,325,587,3356,234,1015,0.363,368,1287,431,1613,0.523,844,578,3361,16,233,1058,0.353,373,1317,424,1591,0.554,881
NYK,NYK,687,98,948,2605,0.464,1210,708,0.764,541,29,6960,New York Knicks,371,755,146,896,2542,0.475,1207,581,0.78,453,305,608,3259,194,1051,0.373,392,1201,387,1491,0.547,815,523,3337,17,218,999,0.376,376,1319,374,1606,0.519,834
PHO,PHO,755,183,959,2497,0.47,1174,772,0.825,637,29,7035,Phoenix Suns,323,732,151,867,2613,0.465,1215,676,0.796,538,332,640,3321,242,988,0.357,353,1199,362,1625,0.53,862,553,3320,18,203,916,0.366,335,1282,434,1581,0.531,839
SAC,SAC,797,113,917,2522,0.472,1190,656,0.738,484,28,6770,Sacramento Kings,292,761,134,960,2465,0.49,1207,662,0.804,532,264,548,3288,210,906,0.377,342,1224,386,1559,0.555,865,581,3291,19,201,1160,0.368,427,1209,374,1362,0.56,763
WAS,WAS,771,142,869,2534,0.483,1225,621,0.776,482,28,6720,Washington Wizards,229,844,151,1016,2653,0.5,1326,667,0.781,521,368,540,3544,224,994,0.373,371,1384,408,1659,0.576,955,553,3277,20,212,965,0.358,345,1098,386,1569,0.561,880
TOR,TOR,845,137,946,2614,0.471,1232,640,0.738,472,29,7010,Toronto Raptors,357,794,157,959,2607,0.483,1259,551,0.791,436,298,538,3329,197,982,0.382,375,1257,393,1625,0.544,884,528,3260,21,216,956,0.339,324,1303,407,1658,0.548,908
OKC,OKC,696,173,887,2417,0.492,1188,634,0.855,542,27,6530,Oklahoma City Thunder,232,732,137,888,2443,0.444,1085,656,0.791,519,364,538,3068,184,1050,0.361,379,1252,444,1393,0.507,706,534,3259,22,230,891,0.383,341,1119,344,1526,0.555,847
MIN,MIN,733,172,986,2393,0.485,1161,657,0.796,523,28,6745,Minnesota Timberwolves,273,674,131,855,2498,0.441,1102,593,0.804,477,298,573,2984,208,913,0.332,303,1153,397,1585,0.504,799,541,3179,23,211,887,0.377,334,1259,419,1506,0.549,827
ORL,ORL,703,154,910,2425,0.475,1152,763,0.767,585,28,6720,Orlando Magic,312,658,144,880,2382,0.47,1120,682,0.748,510,260,646,3090,221,922,0.369,340,1140,438,1460,0.534,780,604,3168,24,232,832,0.335,279,1222,413,1593,0.548,873
DET,DET,741,153,924,2555,0.465,1189,633,0.791,501,29,6960,Detroit Pistons,322,746,182,956,2588,0.488,1263,785,0.82,644,300,537,3506,265,888,0.378,336,1256,362,1700,0.545,927,663,3166,25,181,859,0.334,287,1246,478,1696,0.532,902
SAS,SAS,808,163,936,2561,0.454,1162,535,0.779,417,28,6770,San Antonio Spurs,277,798,112,1008,2568,0.494,1268,656,0.767,503,282,516,3444,257,1032,0.392,405,1290,378,1536,0.562,863,532,3098,26,191,1045,0.342,357,1213,441,1516,0.531,805
